,author_id,verified_purchase,review_title,reviews,country,date,reviewer_name,ratings,people_find_helpful,start_time,end_time,product_name,average_rating,price,total_reviews,product_category,product_id,meta_data,rank,product_image_url
0,R28CNJNMLLRMEA,True,Super Lampe,"Ich war auf der Suche nach einer einfachen aber guten Taschenlampen die mit AA-Akkus betrieben werden kann.
Bei der Fenix E25 wurde ich fündig. Klein, handlich und superhell. Leuchtweite und Helligkeit entsprechen der Beschreibung.
Zusammen mit den Sanyo Eneloop auch super in der Ausdauer.Kann man nur empfehlen.",germany,"October 14, 2013",RON,5.0,0,2020-11-12 11:33:18.487088,2020-11-12 11:33:18.643989,Fenix E25 Flashlight-187 Lumens,3.9,118.45,,Tools & Home Improvement,B0091TRPVI,"{'product dimensions': '2.4 x 14.6 x 2.4 cm; 73.71 Grams', 'batteries': '2 AA batteries required. (included)', 'item model number': 'E25R4BK', 'is discontinued by manufacturer': 'No', 'color': 'Black', 'bulb type': 'Led', 'material': 'Aircraft-Grade Aluminum', 'power source': 'Battery-Powered', 'batteries included?': 'Yes', 'brand': 'Fenix Flashlights', 'item weight': '73.6 g'}","#709,662 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#5,767 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/5145cvG%2BbKL._AC_SX425_.jpg
1,RFTVX74LQEMOW,True,"Wow, Fenix E25 is a winner!","I did a lot of research before purchasing Fenix E25 flashlights as gifts for several family members. These lights are amazing. Compared to similar lights in this class and size that I have seen, the Fenix seems to be brighter and the beam carries much farther. I was able to easily cast a bright spotlight on a playground structure ~ 100 yards away, for example, even with considerable ambient light also in the area. Compared side by side with a similarly priced and featured flashlight, the TerraLUX LighStar300, the Fenix E25 had a noticeably brighter, more concentrated beam, and was also quite a bit smaller. I won't say it put out more light in total volume, because the TerraLUX beam was much more dispersed and lit up a wider area up close, but the Fenix E25 was definitely more impressive and the beam carried at least twice as far as that on the LightStar300.

The build quality of the E25 is impressive, the three different brightness settings are very useful, and this flashlight is SMALL! I was surprised how small the E25 is and that might be it's best feature of all, this would fit so easily in any backpack or pocket, and it runs on two AA batteries so it is easy and cheap to carry backups batteries with you if you are hiking or camping for example.

Very impressed, couldn't recommend this flashlight more.",the united states,"January 24, 2013",Josef K,5.0,0,2020-11-12 11:33:18.648975,2020-11-12 11:33:18.795095,Fenix E25 Flashlight-187 Lumens,3.9,118.45,,Tools & Home Improvement,B0091TRPVI,,"#709,662 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#5,767 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/5145cvG%2BbKL._AC_SX425_.jpg
2,R29JQN1SN6ME4Y,True,Almost Perfect,"I loved the very long throw of this light, but it's case is a little long for my use, and I wanted the lighter weight and higher power density of a LION battery, so bought the E35. Unfortunately, the E35 has a BAD doughnut hole artifact that leaves what you're pointing it at in the dark.

Bottom line, I'm probably going to keep the E25 and return the E35. They're both good lights though, so I hate to return either of them, but of the two, this one has a MUCH better beam pattern, and I can't say I notice the few meters of advertised throw I give up with the E25.

I guess I'll just have to buy some high-end AA NiMh cells, and put up with the extra weight on my bicycle helmet. The issue there is neck strain on long rides.

If you haven't used a Fenix light, and want one with a very tight beam, you're in for a real treat with this light. For reference, IIRC, a 6 D-Cell MagLite with a Xeon bulb is about 80 lumens. You can get that much light out of an LD01, powered by a single AAA cell. I have one, and 3 other Fenix lights. You'll be spoiled for life.",the united states,"December 21, 2012",KOI,5.0,0,2020-11-12 11:33:18.800081,2020-11-12 11:33:18.959655,Fenix E25 Flashlight-187 Lumens,3.9,118.45,,Tools & Home Improvement,B0091TRPVI,,"#709,662 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#5,767 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/5145cvG%2BbKL._AC_SX425_.jpg
3,R30STDSQKIY079,True,Awesome bright,"Pros: Brighter than previous L2D Fenix flashlight and has more crisp light edges. Has different brightness settings which helps when hunting and not wanting to ""over shine"" your light and allows your batteries last a longer on lower settings. Quite, easy and seamless function. Fits in older head mount clamp. Works on 2 Enelope AA batteries just fine. Lightweight cool design. More simple than previous Fenix designs which allows for less malfunction. Cheaper than previous Fenix lights as well. Would definitely recommend.

Cons: I like the switch better than the rear button switch although I can see the light accidentally turning on easier than other lights cause of the ease at pushing the soft button switch and it's location on the side. Especially if you keep it in your pocket and bend over putting pressure on the switch. No options for remote on/off switch and location/type of switch does not lend itself easily for use mounted on a firearm or bow. This isn't what the light was meant for as every flashlight maker has their ""tactical"" line but usually the tactical versions run twice the cost. If this light had either a remote switch or it's switch was in a different location and not delayed it could easily be used as a tactical light. But because of the switch it really isn't ideal for that at all. Best for hand or head mounted use.",the united states,"April 8, 2013",Isa C.,4.0,0,2020-11-12 11:33:18.964641,2020-11-12 11:33:19.105265,Fenix E25 Flashlight-187 Lumens,3.9,118.45,,Tools & Home Improvement,B0091TRPVI,,"#709,662 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#5,767 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/5145cvG%2BbKL._AC_SX425_.jpg
4,R36G0SA6W6RLKN,True,Great utility light,"I was looking for another flashlight, and had three requirements: handily small, runs on AAs, and is bright enough to make you notice. This hits two out of three.

The good points:
* Runs on two AAs. Lithium cells are great in flashlights, but expensive and disposable unless you have a lithium ion battery charger, which most people don't. 1 AA cell lights can be pretty small, but don't get bright enough or don't last long enough.
* Regulated. This means the brightness stays constant until the batteries get low, at which point you get the dim setting, and then nothing.
* Bright. I thought it was plenty bright when I first turned it on, then found the high setting. You don't want to look into it.
* Good beam color, good ""throw"", only a little dimmed circle in the center of the spot.
* Good build quality. Solid, not heavy. Can ""tail stand"" if you don't use the lanyard and that kind of thing is important to you.

The so-so points. These aren't necessarily bad, just things to note:
* Bigger than single AA or CR123A lights. Not as comfortably pocketable.
* User interface isn't immediately obvious. You need to long press to turn it on and off, short press to toggle modes; if you don't know this, you will be wondering why it isn't working. Thus, no ""instant on"" capability.

A lot of the people looking for those two things are probably looking for an ""EDC"" light, maybe for possible personal defense use, and were drawn to this light because of the manufacturer (Fenix *Tactical*), a well known tactical light brand. This particular light is not ideal for that, but as a flashlight for the house or car, it is excellent.

Maglite makes a comparable flashlight, the Mini Maglite Pro (http://www.amazon.com/Maglite-SP2P01H-2Cell-Flashlight-Black/dp/B005UUSAAM), that you might also consider. Regulated, brighter (226 lumens) and cheaper, but less throw. Also looks like a ""normal"" flashlight vs. the tactical styling of this model.",the united states,"March 12, 2013",Jin Choi,5.0,0,2020-11-12 11:33:19.110253,2020-11-12 11:33:19.259853,Fenix E25 Flashlight-187 Lumens,3.9,118.45,,Tools & Home Improvement,B0091TRPVI,,"#709,662 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#5,767 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/5145cvG%2BbKL._AC_SX425_.jpg
5,R7AOAY11PVCLS,True,Good Flashlight,"I bought this flashlight to replace my 100 lumens work flashlight. I very much like the 27, 90, and 187 lumens light intensity, One good thing is I like the intelligent memory that goes back to the last lumens light setting. It took me awhile to get use to holding the ""on"" button for a few seconds to turn on the light.

This light is really easy to fit in my back pocket compared to the old work light and very light. Overall I like the size an weight of the light.

The light beam is uniform with a center that fades out as it spreads out to give it a nice wide light that is focused.

I like the fact this flashlight uses AA batteries that is affordable compared to the 123 batteries. I routinely use a light and the AA batteries are affordable and easy to find if it need them.

Great light.",the united states,"March 22, 2014",Tyson,5.0,0,2020-11-12 11:33:19.264839,2020-11-12 11:33:19.409452,Fenix E25 Flashlight-187 Lumens,3.9,118.45,,Tools & Home Improvement,B0091TRPVI,,"#709,662 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#5,767 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/5145cvG%2BbKL._AC_SX425_.jpg
6,R35VGI9ZXK7200,True,Great value for an emergency light,"I give Fenix lights as presents and therefore have 2 in our house, and have seen 4 other models. This one is a nice light for general use in that it is very bright, and the switch is on the side which anybody who doesn't want a tactical light might prefer. That said, for a general use, non-tactical flashlight, it's a bit beamy. The center dot is super bright and apparent, but it isn't floody. You'd think that brighter would always be better, but unless you are trying to pick out details at 150 feet, a floodier beam would be better in my opinion, which is why I prefer the LD20's beam spread. The center on the LD20 isn't as bright when both lights are maxed, but the useful light is nicer. Either way, this light is so bright, that unless you are a flashlight nerd with lots of lights of this quality, you will be amazed. This is one to put in your glove box and to pull out when the next hurricane is blowing in.",the united states,"March 11, 2013",DocTodd,4.0,0,2020-11-12 11:33:19.414439,2020-11-12 11:33:19.548081,Fenix E25 Flashlight-187 Lumens,3.9,118.45,,Tools & Home Improvement,B0091TRPVI,,"#709,662 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#5,767 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/5145cvG%2BbKL._AC_SX425_.jpg
7,R152QH7AKVVJR9,True,Packs a Lot of Punch,"I knew when I decided to purchase this particular flashlight it is a fairly small unit, so I wasn't at all disappointed by its diminutive size. That being said I appreciate the heft of it. It feels substantial even though it's small enough to fit easily into a back pocket. Which brings me to my only complaint. I use the light at work quite a lot. My mobile phone occupies the thigh pocket of my cargo pants and rather than jam the light in with the phone and risk scratching the screen or worse I keep the light in my back pocket. I do quite a bit of walking around the plant and hardly notice it, but it's easily accessible when I do need it. The problem occurs when I sit down. The power button is raised and the pressure from either the pocket material or my glutes (when the light is oriented just right) is enough to close the switch for the 2 seconds it takes to turn the light on. Sadly I don't even realize this happens until I feel the heat from the light on my butt assuming I'm still sitting. If I'm walking again the pocket is loose enough I don't notice 'til I pull the light out to use it. And I can tell you the light gets very warm when its insulated even that little bit.

Just an observation, not a complaint, I started out using rechargeable AA batteries fresh off the charger and couldn't get the light to cycle through all three brightness levels (which are very distinct btw). I thought the blasted thing was broken straight out of the package and was very irritated considering the rave reviews. I switched out the rechargeables for a set of brand new Duracells, lo'n'behold it cycled without a hitch. I'm not sure if my NiMH batts were guilty for being a little older and not producing enough voltage or what, but a fresh set from the store fully charged did the trick. I was hoping the issue was not with rechargeables altogether because Fenix' manual even states rechargeables are the batts of choice. So have no fear, just keep them fresh.

I think enough has been said about the brightness of this little devil. It is incredible just how much light the thing can throw. Hands down one of the best flashlights I've ever used. It's tough, dependable, and aesthetically pleasing as a flashlight can be I suppose. And for the <$50 price tag it's worth every single penny. Good job, Fenix! Now get that switch recessed ;).",the united states,"February 21, 2013",B. Davis,4.0,0,2020-11-12 11:33:19.552070,2020-11-12 11:33:19.691698,Fenix E25 Flashlight-187 Lumens,3.9,118.45,,Tools & Home Improvement,B0091TRPVI,,"#709,662 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#5,767 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/5145cvG%2BbKL._AC_SX425_.jpg
8,R30YEFZAIJTOJX,True,"Nice light, but not as good as the LD12","This is a decent light that I keep in my desk drawer at work. For the price, it's a nice light. But, it's a bit too big for everyday carry. Won't fit in the breast pocket of my coat. Also, it doesn't have a tail switch. I also own a couple of Fenix LD12 lights, and would recommend them over this one, even though they cost more. The LD12 also uses AA, and seems brighter, has a tail switch along with the mode switch, and is lighter and easier to carry. I own dozens of different lights from different manufacturers, and this one gets a solid 8 of 10. It's comparable to price of an LED Lenzer in the same brightness, but it's smaller than the Lenzer. But, having used the LD12, I have to give this one only 4 stars.",the united states,"December 10, 2013",Joseph T. Allen,4.0,0,2020-11-12 11:33:19.695688,2020-11-12 11:33:19.867795,Fenix E25 Flashlight-187 Lumens,3.9,118.45,,Tools & Home Improvement,B0091TRPVI,,"#709,662 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#5,767 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/5145cvG%2BbKL._AC_SX425_.jpg
9,R3GPDDQJDW8KHH,True,Glove Box Light,"Pros:
o Pretty beam--better than my Malkoff M60, with seemingly identical, bright white tint
o Good UI--3 modes that range from moderate (25 hrs) to blinding (2 hrs), in that order
o Versatile--tailstand capable, comfortable feel in hand, waterproof

Cons:
o Not multi-cell capable

Other Thoughts:
This is a solid torch that works for a variety of environments and costs less than a full tank of unleaded. To my eye, the beam is every bit as bright as my trusty Malkoff M60 on 2 lithium primaries. No, it probably won't withstand extended weapon recoil (the switch design wouldn't be appropriate for this use anyway). But then again it only cost 1/4th the price of lights that would. Giving this light an inner diameter that allows for use of 3 lithium primary cells would be icing on the cake. 5 Stars.",the united states,"March 2, 2013",C. Phoenix,5.0,0,2020-11-12 11:33:19.873778,2020-11-12 11:33:20.016396,Fenix E25 Flashlight-187 Lumens,3.9,118.45,,Tools & Home Improvement,B0091TRPVI,,"#709,662 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#5,767 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/5145cvG%2BbKL._AC_SX425_.jpg
