,author_id,verified_purchase,review_title,reviews,country,date,reviewer_name,ratings,people_find_helpful,start_time,end_time,product_name,average_rating,price,total_reviews,product_category,product_id,meta_data,rank,product_image_url
0,R3LWS4RO5GFQNG,True,Happy with purchase,My favourite flash light. Worth every penny,canada,"July 16, 2020",Bondfamily,5.0,0,2020-11-12 15:07:41.481465,2020-11-12 15:07:41.648197,"NiteCore MT1A Multitask CREE XP-G R5 LED Flashlight, Black, 140-Lumen",3.8,63.38,,Tools & Home Improvement,B0093804JM,"{'product dimensions': '10.49 x 2.34 x 2.34 cm; 68.04 Grams', 'batteries': '1 AA batteries required.', 'item model number': 'MT1A-XPG-CoolW-Black', 'is discontinued by manufacturer': 'No', 'color': 'Black', 'size': 'mt1a flashlight', 'height': '2 inches', 'length': '1 inches', 'weight': '113 Grams', 'width': '2 inches', 'bulb type': 'Led', 'material': 'Aluminum alloy', 'number of items': '1', 'number of pieces': '1', 'included components': 'Hunting Accessories', 'batteries included?': 'No', 'brand': 'Nitecore', 'item weight': '68 g'}","#348,099 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#3,115 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/41XISztzR1L._AC_SX425_.jpg
1,R1MDTMZPXCJYJ9,True,Great Buy,"Great buy if you are looking for a single mode flashlight that always turns on an off, while having the ability to change to other modes as well.",canada,"September 18, 2014",nonone,5.0,0,2020-11-12 15:07:41.653239,2020-11-12 15:07:41.815870,"NiteCore MT1A Multitask CREE XP-G R5 LED Flashlight, Black, 140-Lumen",3.8,63.38,,Tools & Home Improvement,B0093804JM,,"#348,099 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#3,115 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/41XISztzR1L._AC_SX425_.jpg
2,R3PSX88Z8GMNM0,True,Not built to last.,"Well built flashlight with a really nice finish. Super bright and relatively easy to operate. I only purchase flashlights that take AA batteries as they are the cheapest and most abundant worldwide. The only downside for me is the thumb switch on the end is a bit too firm of a press. A flashing mode would have been a great addition so I can use it for a bike light. If you're looking for similar quality but a more affordable price check out the line of Fenix Flashlights.

UPDATE: After about 6 months of infrequent use, the flashlight now inadvertently cycles into different modes without pushing the mode button. For example, I could be in a steady low beam mode and then all of a sudden it will start strobing or even flickering. I have not dropped it once or abused it in any way. Very disappointed as this was a $45 torch with a solid build quality - on the outside that is. I'll be sticking with the Fenix brand from now on.",canada,"April 1, 2015",trevthetross,1.0,0,2020-11-12 15:07:41.823089,2020-11-12 15:07:42.050764,"NiteCore MT1A Multitask CREE XP-G R5 LED Flashlight, Black, 140-Lumen",3.8,63.38,,Tools & Home Improvement,B0093804JM,,"#348,099 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#3,115 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/41XISztzR1L._AC_SX425_.jpg
3,R3A2DCIF7NBM4Q,True,Nach 2 Jahren schon defekt!,"Wenn man die Lampe neu in den Händen hält, begeistert sie. Die Qualität ist hervorragend, die Leuchtkraft sehr hoch für diese doch recht kleine Lampe. Dazu kommt noch dass nur eine Batterie notwendig ist. Ganz toll. Insofern hätte die Lampe zu diesem Zeitpunkt auch 5 Sterne verdient. Nunmehr nach gut zwei Jahren hat sich das Bild jedoch geändert. Einer der Vorteile dieser Lampe war die Leuchtkraft verändern zu können. Mit Doppelklick auf den Einschalter kann man verschiedene Leuchtstufen einstellen. Das war für mich damals ein Kaufkriterium. Nun funktioniert dies nicht mehr, die Lampe leuchtet mit voller Kraft. Ein Doppelklick auf den Hauptschalter bleibt ergebnislos. Deshalb voller Punktabzug, weil eine Lampe in dieser Preisklasse nicht schon nach zwei Jahren Defekte aufweisen darf.",germany,"August 20, 2018",Wolfgang,2.0,0,2020-11-12 15:07:42.060040,2020-11-12 15:07:42.340452,"NiteCore MT1A Multitask CREE XP-G R5 LED Flashlight, Black, 140-Lumen",3.8,63.38,,Tools & Home Improvement,B0093804JM,,"#348,099 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#3,115 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/41XISztzR1L._AC_SX425_.jpg
4,R140IU6G0XDHFN,True,Nitecore MT1A,"Ho ricevuto la nuova versione (180 lumen). Il prodotto è realizzato e rifinito con buonissimi materiali, il corredo è composto da due o-ring, un laccetto da polso, la clip ed una cuffia per bottone,semplice ma c è tutto cio che serve, o quasi. 5 le modalità di funzionamento comprese strobo e sos. In modalità low garantisce una buona autonomia ed un fascio sufficiente per un utilizzo casalingo, specie se prolungato vista la discreta autonomia. Le altre modalità riescono a coprire utilizzi outdoor in maniera piu che soddisfacente per essere una torcia alimentata con una semplice AA.
Diciamo che per dimensioni, batterie utilizzate (1xAA appunto), prestazioni e modulabilità riesce a soddisfare un buon numero di utenze...A volte si da poca importanza ad una torcia e ci accorge di cio solo nel momento del bisogno. Un simile prodotto unisce una buonissima qualità ad un prezzo davvero concorrenziale. Consigliato",italy,"December 14, 2014",Michele,5.0,0,2020-11-12 15:07:42.348720,2020-11-12 15:07:42.513508,"NiteCore MT1A Multitask CREE XP-G R5 LED Flashlight, Black, 140-Lumen",3.8,63.38,,Tools & Home Improvement,B0093804JM,,"#348,099 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#3,115 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/41XISztzR1L._AC_SX425_.jpg
5,R2H0P6AZ0TZQMV,True,"funktioniert nicht, wenn man sie mal benötigt","Ich trage die Lampe nun seit 2017 in einer eigenen Tasche meines kleinen Rucksacks. Zu Beginn hat sie bei Bedarfnoch tadellos funktioniert, doch nach z.k. 6 Monaten begann das Licht nach dem Einschalten plötzlich zu flackern (damit ist nicht die Stroboskopfunktion gemeint!) oder gar auszugehen oder ließ sich nicht oder nur nach mehrmaligem Gefummel am Zoom wieder einschalten. Auch das Einschalten der Stroboskopfunktion klappt nur nach 2-3 Versuchen. Scheint ein Wackelkontakt zu sein. Ich verwende die Lampe nur sehr selten, sie sieht wie neu aus, auch die Dichtungen sind wie neu, da diese immer mit Silikonpaste gepflegt wurde. Da die Lampe meistens dann nicht funktioniert, wenn man sie gerade benötigt, kommt sie nun auf den Müll. Auch die Helligkeit läßt zu wünschen übrig. Übrigens: meine billige Hofer- bzw. Aldi-LED Taschenlampe funktioniert nach 2 Jahren immer noch tadellos. Sie hat nur ein viertel des Preises der Nitecore gekostet..................",germany,"January 8, 2020",Mike22,1.0,0,2020-11-12 15:07:42.521194,2020-11-12 15:07:42.700869,"NiteCore MT1A Multitask CREE XP-G R5 LED Flashlight, Black, 140-Lumen",3.8,63.38,,Tools & Home Improvement,B0093804JM,,"#348,099 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#3,115 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/41XISztzR1L._AC_SX425_.jpg
6,R1J00LGIT0HY3H,True,Super zufireden,"Ich habe für den Rettungsdienst nach einer kleinen, robusten aber ausreichend hellen Lampe gesucht. Habe diese schon weiter empfohlen. Sie ist sehr robust. Sie fällt bei Einsätzen auf der Straße mal auf den Asphalt, wird im Regen nass, stößt gegen Ecken und Kanten, wurde auch schon mitgewaschen und leistet unbeeindruckt ihren Dienst. Die Helligkeit ist im Nahbereich sehr gut und weitere Strecken (ü40m) sind immer noch einsehbar. Die Batterie hält mir auch in Nachtshcichtzeiten und im Winter über Monate. Klasse Lampe!",germany,"November 5, 2019",Benjamin Wuschkan,5.0,0,2020-11-12 15:07:42.700869,2020-11-12 15:07:42.982362,"NiteCore MT1A Multitask CREE XP-G R5 LED Flashlight, Black, 140-Lumen",3.8,63.38,,Tools & Home Improvement,B0093804JM,,"#348,099 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#3,115 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/41XISztzR1L._AC_SX425_.jpg
7,R375LH02U3KJ9R,True,deçu,"J'ai acheté cette lampe au même temps que la Fenix LD12. J'ai fini par garder que la Fenix alors que je pensait que j'allais préférer la Nitecore MT1A.
ATTENTION: la lampe que j'ai reçu annonce 180lm sur l'emballage, ainsi que l'outilisation d'un led CREE XP-G2 R5 (contrairement au photo de l'emballage presenté sur le site). Voir la suite pour plus de details!

COTE ASPECT PHYSIQUE: la lampe présente une finition noir assez brillante et avec assez peu de traction, contrairement à la Fenix LD12, qui elle est matte et offre beaucoup de traction. En revanche, le design est bien supérieur car la Nitecore est capable de rester debout à la verticale et ne roule pas sur la surface quand posée à l'horizontale (contrairement à la LD12). Rien à signaler sur le boutton, les deux lampes sont quasi identiques.

L'INTERFACE UTILISATEUR: la Nitecore MT1A dispose de 2 modes de fonctionnement: le premier (quand la tete de la lampe est completement visée) est le mode turbo, le maximum de puissance, en permanence. Ce mode est predefini et n'est pas modifiable. Le deuxième mode (avec la tête legerement devisée) est personalisable, avec une memoire qui reste active même après avoir changé la pile. On a le choix entre trois niveaux d'intensité ou l'un des deux modes clignotantes, Strobe ou SOS.
Le mode turbo est censé être plus puissant que le niveau maximum d'intensité disponible dans le deuxième mode. Mais cela ne fonctionne pas quand la pile commence à se decharger, cet à dire le mode turbo diminue d'intensite jusqu'au point ou il n'y a plus de difference entre les deux.
Le strobe est variable, mais je trouve que les flash sont trop rapides, on a presque l'impresion d'avoir une lumière constante. Le strobe de la Fenix est beaucoup plus efficace.
J'ai bien aimé l'interface en general, c'est une alternative à l'interface de la Fenix avec deux bouttons, un ON/OFF et un deuxième pour selectionner le mode.

LES PERFORMANCES: tout d'abord j'ai été positivement surpris de recevoir une lampe avec une puissance de 180lm à la place des 140lm annoncés, mais en réalite la Nitecore MT1A est moins puissante que la Fenix LD12 (qui annonce 125lm)!!! J'ai bien sur utilisé exactement les mêmes piles dans les deux lampes. La diference est à peine perceptible, mais presente quand même. Cette pratique comerciale du producteur Nitecore laisse un gout très amaire...
Les faisceaux produits par les deux lampes sont comparables; la Nitecore produit une couleur blanche legerement plus froide que la Fenix.
Le gros (énorme) point faible de la Nitecore en ce qui concerne les performances est la durée de vie des piles. Elle consomme les piles deux fois plus vite que la Fenix LD12. Elle chauffe plus que la Fenix aussi.

LA FIABILITE: c'est ici que cela devient interessant. J'ai rencontré plusieurs soucis avec la Nitecore MT1A, c'est d'ailleurs la raison principale pour laquelle je l'ai retourné. Prèmierement, elle accepte difficilement des piles rechargeables (j'ai essayé avec des Duracell et des génériques) et, quand elle s'allume, toutes les modes ne sont pas disponibles. Puis, j'ai rencontré des soucis de génre la lampe s'eteinds tout seule, ou elle passe d'un mode à l'autre toute seule.

En conclusion, j'ai bien aime l'interface et la construction de cette lampe, et aussi le prix (10€ moins chére que la Fenix). Mais, malheureusement, les soucis sont trop importantes pour une lampe à 40€.",france,"November 1, 2014",mikleasshi,2.0,0,2020-11-12 15:07:42.991338,2020-11-12 15:07:43.240838,"NiteCore MT1A Multitask CREE XP-G R5 LED Flashlight, Black, 140-Lumen",3.8,63.38,,Tools & Home Improvement,B0093804JM,,"#348,099 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#3,115 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/41XISztzR1L._AC_SX425_.jpg
8,R3F6P2B1GHHZT0,True,Ottima torcia,Di ottima fattura e dal design molto simile alle più blasonate Fenix la torcia in questione ha molti più lumen del modello concorrente! Bello il lacciolo da polso differente dai soliti materiali e a corredo ci sono gli O-ring di ricambio e il tasto di gomma di ! Uniche pecche il sistema di livello girando la testa da una parte si ha la modalità turbo mentre dall'altra si hanno le altre modalità high media minima sos e strobo! Manca la custodia per poterla riporre quando non si usa e la batteria a corredo! Però non ne sminuisce il valore e la qualità!,italy,"August 7, 2014",ILPalmeR1972,5.0,0,2020-11-12 15:07:43.259053,2020-11-12 15:07:43.517311,"NiteCore MT1A Multitask CREE XP-G R5 LED Flashlight, Black, 140-Lumen",3.8,63.38,,Tools & Home Improvement,B0093804JM,,"#348,099 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#3,115 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/41XISztzR1L._AC_SX425_.jpg
9,R1HOFAH2GPSVFD,True,Ottimo prodotto,"Mi è stata recapitata la versione da 180 lumen, già in modalità ""low"" fa più luce delle comuni torcie che si trovano a pochi euro nei supermercati, in modalità turbo illumina una stanza come se fosse giorno.
Ho scelto questo modello perchè usa una sola pila AA e perchè sembra davvero resistente, l'unica nota negativa è che praticamente si possono memorizzare solo 2 funzioni, la prima che è ""Turbo"" non si può cambiare mentre la seconda modificabile in pochi click permette di salvare una funzione fra SOS/strobo/high/medium/low...tutto ok però speravo in uno switch più intelligente, io per ora ho memorizzato ""low"" perchè basta per la maggior parte dei casi, e quando non basta con un piccolo twist del barilotto posso usare tutti i 180 lumen.
Nella confezione sono presenti alcuni accessori come il laccetto e la clip.",italy,"January 11, 2015",luigi,4.0,0,2020-11-12 15:07:43.563845,2020-11-12 15:07:43.817310,"NiteCore MT1A Multitask CREE XP-G R5 LED Flashlight, Black, 140-Lumen",3.8,63.38,,Tools & Home Improvement,B0093804JM,,"#348,099 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#3,115 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/41XISztzR1L._AC_SX425_.jpg
