,author_id,verified_purchase,review_title,reviews,country,date,reviewer_name,ratings,people_find_helpful,start_time,end_time,product_name,average_rating,price,total_reviews,product_category,product_id,meta_data,rank,product_image_url
0,R37E20BEE91EDJ,True,"Super bright light, very usable.","Have purchased this as a Christmas present for a relative, but obviously I've had to try it out before hand :-). It is ridiculously bright. It is small and dumpy, not a big lamp at all - would fit in a jacket pocket easily. It has a few brightness levels, from very dim which you could use to find your way out of the bedroom without waking anyone else, to brighter levels which would be excellent if out with the dog etc. The brightest setting lights up trees which are near 100 yds away out the back of the house, it could easily be used as a search light if the situation arose. It has a strobe function if that's your thing, but I doubt I'd ever use that in real life. I ordered high capacity (2500) Eneloops to power it, but as mentioned above its a present so I haven't opened these, but my own lower power Eneloops (1900) seem well capable of 'doing the business'. I am very tempted to get one for myself, but will probably wait to see how my relative gets on with it before I spend the money on one for myself.",the united kingdom,"December 8, 2014",R M Kennedy,5.0,0,2020-11-12 15:27:54.883847,2020-11-12 15:27:55.052841,Nitecore EA41 Explorer 960-Lumen Flashlight,4.1,122.32,,Tools & Home Improvement,B00LG6NWR0,"{'product dimensions': '11.7 x 4 x 4 cm; 160 Grams', 'batteries': '4 AA batteries required. (included)', 'item model number': 'EA41', 'is discontinued by manufacturer': 'No', 'color': 'Black', 'size': '1', 'style': 'English', 'frame material': 'Other', 'height': '2 inches', 'length': '1 inches', 'weight': '227 Grams', 'width': '2 inches', 'shape': 'Other', 'bulb type': 'LED', 'number of items': '1', 'power source': 'Manual', 'special features': 'Unlit', 'batteries included?': 'Yes', 'brand': 'Nitecore', 'item weight': '160 g'}","#1,005,129 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,531 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51hQYbjSHrL._AC_SX425_.jpg
1,R22RA25BUNRPYE,True,pretty much daylight in your hand!,"Flipping great. Bit pricey but you get what you pay for. On the brightest setting its super bright, but this does annihilate your battery in only a few minutes. I tend to use it on level 3 (out of 5) which is still very bright but you get much better battery performance. I did have to buy a set of rechargeable eneloop batteries though (again, expensive - try IKEA!) but they are the best out there.",the united kingdom,"July 16, 2018",chris POPE,5.0,0,2020-11-12 15:27:55.057829,2020-11-12 15:27:55.183035,Nitecore EA41 Explorer 960-Lumen Flashlight,4.1,122.32,,Tools & Home Improvement,B00LG6NWR0,,"#1,005,129 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,531 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51hQYbjSHrL._AC_SX425_.jpg
2,R394Y2XVH8SDMS,True,I loved it. Sounds like a common manufacturing fault as ...,"Owned this torch for 3 months, then stopped working. However, when it did work, I loved it.
Sounds like a common manufacturing fault as other reviews I have read from US point out same problem. Blue light flashes to tell battery status, but light doesn't come on.
Very pleased with Amazon UK as they gave me a full refund roughly 2 hours after logging complaint.",the united kingdom,"October 14, 2015",ivan,1.0,0,2020-11-12 15:27:55.183035,2020-11-12 15:27:55.317930,Nitecore EA41 Explorer 960-Lumen Flashlight,4.1,122.32,,Tools & Home Improvement,B00LG6NWR0,,"#1,005,129 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,531 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51hQYbjSHrL._AC_SX425_.jpg
3,RQ4SSVJ4MYZBX,True,Superior to my 4 X D cell Maglite,"Most impressive illumination. Superior to my 4 X D cell Maglite. Does not just throw a long beam, but lights up the whole route between the torch and the beam end.",the united kingdom,"April 12, 2015",MISIX,5.0,0,2020-11-12 15:27:55.317930,2020-11-12 15:27:55.466127,Nitecore EA41 Explorer 960-Lumen Flashlight,4.1,122.32,,Tools & Home Improvement,B00LG6NWR0,,"#1,005,129 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,531 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51hQYbjSHrL._AC_SX425_.jpg
4,R3G7WLTR6LRKVZ,True,Five Stars,Excellent product with very bright beam and easily replaceable AA batteries.,the united kingdom,"October 16, 2014",Jason Beard,5.0,0,2020-11-12 15:27:55.472152,2020-11-12 15:27:55.605429,Nitecore EA41 Explorer 960-Lumen Flashlight,4.1,122.32,,Tools & Home Improvement,B00LG6NWR0,,"#1,005,129 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,531 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51hQYbjSHrL._AC_SX425_.jpg
5,R2ADC0BZKIMG5Y,True,Five Stars,Blindingly bright!,the united kingdom,"July 2, 2015",Oliver,5.0,0,2020-11-12 15:27:55.610041,2020-11-12 15:27:55.733221,Nitecore EA41 Explorer 960-Lumen Flashlight,4.1,122.32,,Tools & Home Improvement,B00LG6NWR0,,"#1,005,129 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,531 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51hQYbjSHrL._AC_SX425_.jpg
6,R2RF0S0XEQ00UD,True,Awesome,Awesome Torch! A tiny bit on the chunky side.. but worth it! Still fits nicely in my tool pocket along with other tools. Would definitely recommend.,the united kingdom,"June 2, 2015",Christopher Bridle,5.0,0,2020-11-12 15:27:55.748843,2020-11-12 15:27:55.867996,Nitecore EA41 Explorer 960-Lumen Flashlight,4.1,122.32,,Tools & Home Improvement,B00LG6NWR0,,"#1,005,129 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,531 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51hQYbjSHrL._AC_SX425_.jpg
7,R149SHKK4S2POZ,True,"Taschensonne für Wanderungen, Höhlentouren und Abenteuer","Trotz der geringen Größe eignet sich diese Taschenlampe sehr gut für Wanderungen im Wald auch bei völliger Dunkelheit.
Der Schweinwerfer hat einen Kegel, der am Rand ausreichende Helligkeit bietet, um sich zurechtzufinden und seine Umgebung im Auge zu behalten und in der Mitte einen fokussierten Strahl, der locker 200 - 300 Meter reicht. Für die meisten Anwendungen völlig ausreichend.

Ziemlich resistent gegenüber Stürzen und Wasser - mir ist sie ein paar Mal runtergefallen, sowohl auf den Waldboden, als auch auf Asphalt und sie hatte bisher keine Schäden oder Störungen davongetragen.

Stufe 1 ist eher für Innenräume, um bsp. Leute nicht aufzuwecken, Stufe 2 und 3 verwende ich meistens, um lange Touren zu machen, bei denen über mehrere Stunden Licht benötigt wird.

Stufe 4 und 5 verwende ich kaum, die Leistung ist zwar sehr stark, diese Lichtintensität dient dann allerdings schon dazu, Gebiete hell auszuleuchten - beispielsweise, um in der Nacht ein Zelt aufzubauen und der ganzen Gruppe Licht zu spenden.",germany,"October 22, 2018",Donnerkeil,5.0,0,2020-11-12 15:27:55.883618,2020-11-12 15:27:56.016073,Nitecore EA41 Explorer 960-Lumen Flashlight,4.1,122.32,,Tools & Home Improvement,B00LG6NWR0,,"#1,005,129 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,531 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51hQYbjSHrL._AC_SX425_.jpg
8,R16M2R8UG41IIT,True,Lampe nach 3 Jahren defekt. Nitecore EA41W neutral white,"Lampe 2015 Juli erworben, nun ist sie defekt. Nach kurzem aufblitzen, glimmt die LED nur noch vor sich hin bzw. reagiert mittlerweile gar nicht mehr.
Genutzt wurde die Lampe hauptsächlich als Leselampe und gelegentlich zum Wandern ohne großer Beanspruchung.
Für diesen Preis ist diese Lampe nicht zu empfehlen. Auf Grund der vermehrt negativen Bewertungen entsteht hier absolut keine Kaufempfehlung!
Der eine Stern spricht höchstens für das stabile Gehäuse. Nicht mehr und nicht weniger. Leider ohne LED - Schrott.",germany,"October 19, 2018",Thomas,1.0,0,2020-11-12 15:27:56.016073,2020-11-12 15:27:56.152660,Nitecore EA41 Explorer 960-Lumen Flashlight,4.1,122.32,,Tools & Home Improvement,B00LG6NWR0,,"#1,005,129 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,531 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51hQYbjSHrL._AC_SX425_.jpg
9,R1AG0U5S55QUK1,True,nach 3 Jahren schon defekt,"Solange die Taschenlampe funktioniert hat, war sie gut - sogar sehr gut. Nur, dass sie jetzt nach 3 Jahren den Geist aufgegeben hat, geht überhaupt nicht. Dabei haben wir sie nur alle 14 Tage mal für 10 Minuten benutzt. Aber wir reden ja hier nicht von einem Wegwerfprodukt für 3,85 Euro, sondern der preislichen Luxusklasse.

Lasst also möglichst die Finger von der EA41. Die Anfangsfreude verfliegt zu schnell.
Stephan Reinke",germany,"December 16, 2018",stephan reinke,1.0,0,2020-11-12 15:27:56.152660,2020-11-12 15:27:56.333531,Nitecore EA41 Explorer 960-Lumen Flashlight,4.1,122.32,,Tools & Home Improvement,B00LG6NWR0,,"#1,005,129 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,531 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51hQYbjSHrL._AC_SX425_.jpg
