,author_id,verified_purchase,review_title,reviews,country,date,reviewer_name,ratings,people_find_helpful,start_time,end_time,product_name,average_rating,price,total_reviews,product_category,product_id,meta_data,rank,product_image_url
0,R3OLU9X4WUAM83,True,Perfect Little Key Ring Torch,"It took me a long time to sift through reviews of different key ring torches, and luckily found this little gem. It‘s not too expensive and is small enough not to be a nuisance on a key ring. It illuminates well and is easy to turn on and off.",canada,"March 11, 2020",Ann Parker,5.0,0,2020-11-12 11:20:19.668400,2020-11-12 11:20:19.807744,Fenix Flashlights E05 85 Lumens Flashlight,4.6,33.49,,Tools & Home Improvement,B00LSQKZ28,"{'product dimensions': '6.6 x 1.27 x 1.27 cm; 18.14 Grams', 'batteries': '1 AAA batteries required. (included)', 'item model number': 'E05E2BK-B', 'is discontinued by manufacturer': 'No', 'color': 'Black', 'size': 'One Size', 'handle type': '5', 'length': '5 inches', 'weight': '454 Grams', 'bulb type': 'Led', 'material': 'Anodized aluminum', 'number of items': '1', 'number of pieces': '1', 'power source': 'Battery', 'special features': 'Broad beam lens provide soft, even beam for close-up illumination', 'included components': 'Fenix Flashlights E05 85 Lumens Flashlight, Black', 'batteries included?': 'Yes', 'brand': 'Fenix Flashlights', 'item weight': '18.1 g'}","#113,180 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,051 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71CVVBPebLL._AC_SX425_.jpg
1,R1QOILKI8TNHYA,True,Love this light,"I own about 8 other Fenix lights.
Love this little guy on my keychain.
Compact and bright. Love the single aaa battery
Problem now is it died and it is now 3 days after the return window.
First fenix I’ve ever had a issue with",canada,"January 23, 2019",Darb,1.0,0,2020-11-12 11:20:19.813007,2020-11-12 11:20:19.926659,Fenix Flashlights E05 85 Lumens Flashlight,4.6,33.49,,Tools & Home Improvement,B00LSQKZ28,,"#113,180 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,051 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71CVVBPebLL._AC_SX425_.jpg
2,R2XD6RQ6P3TE1J,True,"Works great, small and easy to operate.",I like the fact that it's not a super bright flashlight like many. It's also good that it has three brightness levels. Finally it always starts at the lowest level which is very handy at night.,canada,"October 11, 2018",Amazon Customer,4.0,1,2020-11-12 11:20:19.930649,2020-11-12 11:20:20.054003,Fenix Flashlights E05 85 Lumens Flashlight,4.6,33.49,,Tools & Home Improvement,B00LSQKZ28,,"#113,180 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,051 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71CVVBPebLL._AC_SX425_.jpg
3,RUAOZ6F1FGPQ0,True,"Poor product, worse warranty service","Flashlight quit when l needed it. Comes on if and when it wants. Warranty ? Warranty is a joke, only 30 days Bad seller, Buy local where you get warranty, you will likely need it.",canada,"December 19, 2019",Amazon Customer,1.0,0,2020-11-12 11:20:20.058760,2020-11-12 11:20:20.173805,Fenix Flashlights E05 85 Lumens Flashlight,4.6,33.49,,Tools & Home Improvement,B00LSQKZ28,,"#113,180 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,051 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71CVVBPebLL._AC_SX425_.jpg
4,R2TLVZ85AZIENF,True,Reliable,I have been carrying and using this E05 for about 6 months and it is the cats pyjama's. It is solid.,canada,"September 23, 2019",James Stewart,5.0,0,2020-11-12 11:20:20.179168,2020-11-12 11:20:20.294113,Fenix Flashlights E05 85 Lumens Flashlight,4.6,33.49,,Tools & Home Improvement,B00LSQKZ28,,"#113,180 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,051 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71CVVBPebLL._AC_SX425_.jpg
5,RGEK0U54N9JO8,True,Compact unit,Nice unit fast delivery,canada,"July 10, 2020",aavenger,5.0,0,2020-11-12 11:20:20.299100,2020-11-12 11:20:20.416112,Fenix Flashlights E05 85 Lumens Flashlight,4.6,33.49,,Tools & Home Improvement,B00LSQKZ28,,"#113,180 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,051 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71CVVBPebLL._AC_SX425_.jpg
6,R1VZLJ5U4XU8FV,True,Five Stars,Product is good. Shipping took a VERY long time.,canada,"April 13, 2018",Hollywood13,5.0,0,2020-11-12 11:20:20.421097,2020-11-12 11:20:20.534764,Fenix Flashlights E05 85 Lumens Flashlight,4.6,33.49,,Tools & Home Improvement,B00LSQKZ28,,"#113,180 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,051 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71CVVBPebLL._AC_SX425_.jpg
7,R37IQXAHGBKFFU,True,Handy,"As expected. Decent, handy light that fits in the side slot of my leather man case.",canada,"January 26, 2019",mat,5.0,0,2020-11-12 11:20:20.539751,2020-11-12 11:20:20.654655,Fenix Flashlights E05 85 Lumens Flashlight,4.6,33.49,,Tools & Home Improvement,B00LSQKZ28,,"#113,180 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,051 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71CVVBPebLL._AC_SX425_.jpg
8,R3856UX7R567BW,True,Five Stars,Perfect,canada,"April 4, 2018",Amazon Customer,5.0,0,2020-11-12 11:20:20.659704,2020-11-12 11:20:20.814549,Fenix Flashlights E05 85 Lumens Flashlight,4.6,33.49,,Tools & Home Improvement,B00LSQKZ28,,"#113,180 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,051 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71CVVBPebLL._AC_SX425_.jpg
9,R1OK9OSAI2TNM3,True,brilliant,great flashlight and easy to use...,canada,"March 8, 2019",Anthony Kovats,5.0,0,2020-11-12 11:20:20.819572,2020-11-12 11:20:20.933374,Fenix Flashlights E05 85 Lumens Flashlight,4.6,33.49,,Tools & Home Improvement,B00LSQKZ28,,"#113,180 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,051 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71CVVBPebLL._AC_SX425_.jpg
10,R3CQYUXBU5KM37,True,"LIGHTWEIGHT & AN INOBTRUSTIVE FIT FOR YOUR POCKET, BAG or KEYCHAIN","I have owned a FENIX EO5 for over 8 yrs & it continues to serve me very well to find the bathroom in a darkened hotel room without disturbing others. It has been perfect for looking under furniture & into tiny spaces. For it's small size it's been a BIG player in some critical situations I've had to handle.
I recommend using a lithium AAA battery (not rechargeable) for best performance.
Well made, sturdy & so reliable I bought this Fenix Flashlight for a gift & I fully expect it to last a lifetime.",canada,"December 23, 2019",canapples,5.0,1,2020-11-12 11:20:27.072488,2020-11-12 11:20:27.192344,Fenix Flashlights E05 85 Lumens Flashlight,4.6,33.49,,Tools & Home Improvement,B00LSQKZ28,,"#113,180 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,051 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71CVVBPebLL._AC_SX425_.jpg
11,R2IZNEIK3XDSIZ,True,"Realistically, this is as much torch as 90% of us will ever need. A great little thing.","Far smaller than I expected, but a great little torch. It really is like an elongated AAA battery, and on full beam it packs quite a punch. The functionality is excellent, with switching between settings being extremely intuitive. The only thing that could improve it would have been incorporating some focusing mechanism, but that's difficult in a product this size and arguably would be overkill for the manner in which this is likely to be used.

Initially I was actually reticent about the small size. I think the 'survival tools' market more broadly is a ridiculously macho world in which we all buy things that we'll never really need in a bid to make our lives seem more edgy. I wonder how many military spec knives are used largely for opening letters, or how many titanium-bodied torches chiefly help inspect the plumbing every now and again. I think this torch would be considered at most a tertiary back-up on websites packed with the sort of people who do airsoft in a full ghillie suit. I must admit that when this arrived I looked at it and felt a sense of inadequacy. Very phallic I know. Anyway, it really has won me over and for the vast majority of appliances it is about as good as you need.

I use it around the house (I live in Delhi where power cuts are relatively frequent) and plan to use it on holidays and some work travel where something to use for walking at night in rural/remote areas is necessary. If you require something for really sustained outdoor use that must provide a more focused, long-distance beam, then it's very unlikely you'll ever consider this product in the first place. If not, then this is a fantastically portable solution that will take care of your everyday needs.",the united kingdom,"January 9, 2017",S. Taylor,5.0,0,2020-11-12 11:20:27.197332,2020-11-12 11:20:27.325842,Fenix Flashlights E05 85 Lumens Flashlight,4.6,33.49,,Tools & Home Improvement,B00LSQKZ28,,"#113,180 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,051 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71CVVBPebLL._AC_SX425_.jpg
12,R2G2YOOPN6B6KQ,True,"Very powerful, versatile LED","Great torch for keyrings, or simply to keep in a pocket - I have mine on a coiled lanyard so it doesn't get lost and it's always at hand. This LED is powered by a single AAA battery, and overall it's only a few millimeters bigger than the battery inside it!

If you turn it on it has a brightness of 8 lumens; by ""turning-it-off-then-back-on-again-in-less-than-a-second"" it changes to 25 lumens, then to 85 lumens after a third cycle. Turning it off for two or more seconds resets the cycle.

The 8 lumens setting is suitable for close-up work, like finding a keyhole or for reading a map in a vehicle, range of 3-4 meters, and lasting about 10-12 hours. The 25 lumens setting is good for walking along a dark road, range of about 20 meters and should last for 4-5 hours. The 85 lumens setting is very bright and will light up a whole carpark, however it drains the AAA battery in about 40-45 minutes. Different battery brands have different ""mAh"" capacity, so the higher capacity batteries will obviously last longer.

Amazon and 7dayshop sell ""battery boxes"" that hold 4 or 5 AAA batteries, so it's easy to keep spare batteries in your pocket. Rechargable AAA batteries are a good investment as well - just make sure you invest in a decent charger like the Ansmann 8+ or 16+, or one of the high-end Duracell chargers. These chargers do not stress the batteries and allow them to go through more recharge cycles before they get delpeted.",the united kingdom,"June 25, 2015",Jinx,5.0,0,2020-11-12 11:20:27.330828,2020-11-12 11:20:27.460569,Fenix Flashlights E05 85 Lumens Flashlight,4.6,33.49,,Tools & Home Improvement,B00LSQKZ28,,"#113,180 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,051 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71CVVBPebLL._AC_SX425_.jpg
13,RPU2MJKKQL1H5,True,Just what I needed!,"I was fed up with the weight of 3-battery pocket torches, and dug out my old original titchy torch, a standard maglite solitaire and decided this is what I'd prefer if I could get it. I looked into getting an led upgrade for it and found this almost as dear as buying a new one.
I looked at similar torches running on expensive relatively non standard voltage batteries, and rejected them as being more liable to leave me stranded without a battery, as well as a fiscal nono.
Then I found this one. It's 1cm shorter than a solitaire, very bright for it's size, I've had it over a month, and it's still going well on the original battery. I have stock of Eneloop rechargables for my photo gear, so, when the present cell gives up, I'll use them.
Edit, 9 months later, finally lost the top 2 power levels (to battery saving mode?), put new battery in, all ok again!",the united kingdom,"September 11, 2019",I. Baxter,5.0,0,2020-11-12 11:20:27.465049,2020-11-12 11:20:27.614212,Fenix Flashlights E05 85 Lumens Flashlight,4.6,33.49,,Tools & Home Improvement,B00LSQKZ28,,"#113,180 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,051 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71CVVBPebLL._AC_SX425_.jpg
