,author_id,verified_purchase,review_title,reviews,country,date,reviewer_name,ratings,people_find_helpful,start_time,end_time,product_name,average_rating,price,total_reviews,product_category,product_id,meta_data,rank,product_image_url
0,RM0COTHNX6R46,True,Note As Bright as Expected,"I purchased this for inspection work. My former boss bought this same one 2 years ago and his looks to work very well.

Mine is not nearly as bright as his, even after a full charge. I’ve tried adjusting the settings, and it’s just not the flashlight I need. Disappointed to have paid so much for a flashlight that doesn’t meet my needs.",canada,"September 25, 2020",Kaylie Iserhoff,1.0,0,2020-11-12 14:19:46.186878,2020-11-12 14:19:46.400573,"NiteCore MH12 USB Rechargeable Flashlight CREE XM-L2 U2 1000 Lumens 253 Yard Beam Distance 520 Hours Runtime Portable Tactical Flashlight Waterproof Compact Searchlight With NL188 3200mAh 18650 Battery, Black",4.1,132.00,,Tools & Home Improvement,B00T7693IS,"{'product dimensions': '15.24 x 2.54 x 2.54 cm; 90.72 Grams', 'batteries': '1 Lithium ion batteries required. (included)', 'item model number': 'MH12', 'is discontinued by manufacturer': 'No', 'color': 'Black', 'hand orientation': 'Left/Right', 'bulb type': 'Led', 'material': 'Aluminum alloy', 'number of items': '1', 'included components': '3200mAH 18650 battery, Spare port cover, Holster, Tactical ring, Lanyard, USB charging cable, Instruction manual and warranty card, Includes NITECORE MH12 flashlight, Pocket clip, Spare O-ring', 'batteries included?': 'Yes', 'brand': 'Nitecore', 'item weight': '90.7 g'}","#142,047 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,291 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/611dJcHQWPL._AC_SX425_.jpg
1,RVBP461MUTVX8,True,Must have.,"This flashlight is a good as anything I have from OLIGHT, and SUREFIRE. Very good value for the money. Long battery life.",canada,"December 3, 2019",Joel,5.0,0,2020-11-12 14:19:46.408612,2020-11-12 14:19:46.624792,"NiteCore MH12 USB Rechargeable Flashlight CREE XM-L2 U2 1000 Lumens 253 Yard Beam Distance 520 Hours Runtime Portable Tactical Flashlight Waterproof Compact Searchlight With NL188 3200mAh 18650 Battery, Black",4.1,132.00,,Tools & Home Improvement,B00T7693IS,,"#142,047 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,291 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/611dJcHQWPL._AC_SX425_.jpg
2,R5OEIO7NZARY2,True,Bright light!,Amazing!!! Works perfectly! Gift for husband and he loves it. Uses it every day at work. The carrying pouch is handy,canada,"July 31, 2018",Amie2643,5.0,0,2020-11-12 14:19:46.635939,2020-11-12 14:19:46.844484,"NiteCore MH12 USB Rechargeable Flashlight CREE XM-L2 U2 1000 Lumens 253 Yard Beam Distance 520 Hours Runtime Portable Tactical Flashlight Waterproof Compact Searchlight With NL188 3200mAh 18650 Battery, Black",4.1,132.00,,Tools & Home Improvement,B00T7693IS,,"#142,047 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,291 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/611dJcHQWPL._AC_SX425_.jpg
3,RMO78B398ZGB5,True,Loved it,I loved this flashlight until it was stolen!,canada,"August 16, 2020",Bryan,5.0,0,2020-11-12 14:19:46.852478,2020-11-12 14:19:47.045691,"NiteCore MH12 USB Rechargeable Flashlight CREE XM-L2 U2 1000 Lumens 253 Yard Beam Distance 520 Hours Runtime Portable Tactical Flashlight Waterproof Compact Searchlight With NL188 3200mAh 18650 Battery, Black",4.1,132.00,,Tools & Home Improvement,B00T7693IS,,"#142,047 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,291 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/611dJcHQWPL._AC_SX425_.jpg
4,R1AOUKBDNIP0D1,True,I find olite to be of better quality. Mini USB rubber plug/cover never stays in ...,Okay unit. I find olite to be of better quality. Mini USB rubber plug/cover never stays in place. Charging with mini usb is a pain. Difficult to see.,canada,"April 1, 2018",Jason,2.0,0,2020-11-12 14:19:47.053678,2020-11-12 14:19:47.314447,"NiteCore MH12 USB Rechargeable Flashlight CREE XM-L2 U2 1000 Lumens 253 Yard Beam Distance 520 Hours Runtime Portable Tactical Flashlight Waterproof Compact Searchlight With NL188 3200mAh 18650 Battery, Black",4.1,132.00,,Tools & Home Improvement,B00T7693IS,,"#142,047 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,291 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/611dJcHQWPL._AC_SX425_.jpg
5,R16UMVSO2UQCOV,True,Five Stars,The best flashlight for inspectors. Small but powerfull.,canada,"July 2, 2016",Amazon Customer,5.0,0,2020-11-12 14:19:47.322429,2020-11-12 14:19:47.531890,"NiteCore MH12 USB Rechargeable Flashlight CREE XM-L2 U2 1000 Lumens 253 Yard Beam Distance 520 Hours Runtime Portable Tactical Flashlight Waterproof Compact Searchlight With NL188 3200mAh 18650 Battery, Black",4.1,132.00,,Tools & Home Improvement,B00T7693IS,,"#142,047 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,291 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/611dJcHQWPL._AC_SX425_.jpg
6,R12IP8HCMNMV6G,True,"good quality light, with some design issues","I have had the light for well over a month now and I carry it and use it everyday. Here is what I have found about the light based on my experiences with it.

Pros
-long battery life
-super bright highest mode and adequately bright second highest mode. also the lowest mode is very useful in it's own way. the four brightness modes they give you pretty much cover all bases. lowest is good for reading and not ruining night vision. next highest is good for having a long lasting light for general activity in the dark like splitting kindling or setting up a campfire. the second highest is a good brightness for looking for things in wide open areas. and the highest brightness is just shockingly bright, which every good flashlight needs.
-two operating buttons means a more intuitive UI than a single button
-super thin diameter means it will comfortably fit in your pocket all day long. it is great for EDC because of this.
-the strobe mode is a real strobe mode. not like the kind on cheaper tactical lights where it fades in and out. this strobe mode turns on and cuts off instantly, many many times per second.
-extremely drop resistant. i dropped mine about from about 11 feet in the air onto a wooden floor and it was fine.
-extremely waterproof. i use it in the rain all the time and have used it under water without issues. submersing it is also a convenient way to cool it down quickly.

Cons
-heats up very quickly on brightest mode. this is to be expected because of the high power and small size, meaning poor heat displacement. but if it heats up too much you can just dip it in water to cool it down quickly!
-MicroUSB port plug always pops out when light is in pocket. I had to tape mine shut. this could easily affect the waterproof rating and those of us with separate 18650 chargers don't even need it. I am thinking of filling it with RTV silicone permanently to fix this annoying and potentially damaging problem.
-in the dark it is hard to find the mode side switch. it feels just like the microUSB port plug and is exactly 180 degrees offset from it, so sometimes you will accidentally press the rubber microusb plug.
- steel spring clip pops off too easily. it won't come off in your pocket but it would be nice for it to not come off it you grab it wrong

overall it is a great light and I am satisfied with my purchase but for the price I paid I think nitecore needs to address the issues. the best simplest fix would be to remove the microUSB charger completely, or at the very least make it stay in better.",the united states,"April 27, 2019",Toolman,4.0,0,2020-11-12 14:19:47.539928,2020-11-12 14:19:47.782848,"NiteCore MH12 USB Rechargeable Flashlight CREE XM-L2 U2 1000 Lumens 253 Yard Beam Distance 520 Hours Runtime Portable Tactical Flashlight Waterproof Compact Searchlight With NL188 3200mAh 18650 Battery, Black",4.1,132.00,,Tools & Home Improvement,B00T7693IS,,"#142,047 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,291 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/611dJcHQWPL._AC_SX425_.jpg
7,R3EY0ZQK31OBR4,True,Was great while it lasted… Which was two months.,"For the first two months, this flashlight was amazing. I used it at least twice a day, and had to charge it about once a week. After two months, it absolutely would not charge. Mind you, the only thing I used this flashlight for was to walk my two dogs early in the morning and late at night.

What may be worse, though, is the absolute horrid customer service. This flashlight failed in November, and I am still trying to get the issue resolved under warranty in March. Don’t waste your time; don’t waste your money.",the united states,"March 22, 2019",Kharahlyn,1.0,0,2020-11-12 14:19:47.790843,2020-11-12 14:19:48.093460,"NiteCore MH12 USB Rechargeable Flashlight CREE XM-L2 U2 1000 Lumens 253 Yard Beam Distance 520 Hours Runtime Portable Tactical Flashlight Waterproof Compact Searchlight With NL188 3200mAh 18650 Battery, Black",4.1,132.00,,Tools & Home Improvement,B00T7693IS,,"#142,047 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,291 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/611dJcHQWPL._AC_SX425_.jpg
8,R1UYTTC5UO7QOW,True,Pricy but it delivers as advertised.,"Awesome flashlight!

I have owned a Nitecore brand flashlight before (MT26) which was very similar to this flashlight but a little cheaper with fewer features.

The USB charging port and separate ""mode"" button make this a great flashlight.

I have given this flashlight a full five stars in spite of the fact that recharging the flashlight requires you to plug in the flashlight and THEN turn it on. That was a little frustrating to figure out the first time but it does say that in the instruction manual so to be fair, my frustration was entirely my fault.

This is the brightest flashlight I own. I can use this to light up my entire living room during a blackout as well as see down into a deep hole in the middle of the day... if you have ever tried to look down into a manhole in the middle of a summer day, you know how awesome this is.

There is only one drawback to this flashlight... on high... it gets HOT! don't leave it on and put it back in your pocket. I didn't lose any skin but it sure was embarrassing when you realize what's ""biting"" you is your flashlight.

Great product... if it ever dies on me I'm buying another one!",the united states,"June 26, 2018",Eric Loertscher,5.0,0,2020-11-12 14:19:48.101451,2020-11-12 14:19:48.342518,"NiteCore MH12 USB Rechargeable Flashlight CREE XM-L2 U2 1000 Lumens 253 Yard Beam Distance 520 Hours Runtime Portable Tactical Flashlight Waterproof Compact Searchlight With NL188 3200mAh 18650 Battery, Black",4.1,132.00,,Tools & Home Improvement,B00T7693IS,,"#142,047 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,291 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/611dJcHQWPL._AC_SX425_.jpg
9,R3JQVZVGC5ZJWH,True,Brightness settings stopped working,"I used this product for two days at work. It was working well. Towards the end of the second day only the first two brightness settings worked. Then there would be two successive clicks until it would revert to the dimmer. I chalked it up to battery life. After charging all night this issue persists. It seems like a nice light, but the quality appears to be lacking. I'm fairly upset that I spent roughly $90 on a flashlight that doesnt work right after two days. I would look elsewhere.",the united states,"August 6, 2020",Archduke Franz Ferdinand,2.0,0,2020-11-12 14:19:48.350510,2020-11-12 14:19:48.594228,"NiteCore MH12 USB Rechargeable Flashlight CREE XM-L2 U2 1000 Lumens 253 Yard Beam Distance 520 Hours Runtime Portable Tactical Flashlight Waterproof Compact Searchlight With NL188 3200mAh 18650 Battery, Black",4.1,132.00,,Tools & Home Improvement,B00T7693IS,,"#142,047 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,291 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/611dJcHQWPL._AC_SX425_.jpg
