,author_id,verified_purchase,review_title,reviews,country,date,reviewer_name,ratings,people_find_helpful,start_time,end_time,product_name,average_rating,price,total_reviews,product_category,product_id,meta_data,rank,product_image_url
0,RIBUYR6EPLEOY,True,LD 22 review.,This is the 2nd Fenix light I have purchased. I also own the FD 11 both are great lights I EDC the FD 11 and I use the LD 22 at work.I'm happy with the build quality. I prefer to use a AA at work because the batteries are inexpensive. It is rugged enough to stand up to the abuse it takes at work.I would recommend this flashlight.,canada,"April 18, 2017",Amazon Customer,5.0,0,2020-11-12 11:18:25.756924,2020-11-12 11:18:25.873625,Fenix LD22 G2 2015 EDT 300 Lumens LED Flashlight,4.6,70.56,,Tools & Home Improvement,B01418RAZY,"{'product dimensions': '15.5 x 2.15 x 2.15 cm; 72 Grams', 'batteries': '2 AA batteries required.', 'item model number': 'LD22XLBK-B', 'is discontinued by manufacturer': 'No', 'color': 'Black', 'size': 'One Size', 'height': '1 inches', 'length': '8 inches', 'weight': '181 Grams', 'width': '3 inches', 'bulb type': 'LED', 'material': 'Other', 'number of items': '1', 'number of pieces': '5', 'season': 'All seasons', 'sport': 'Outdoors', 'included components': 'Item', 'batteries included?': 'No', 'brand': 'Fenix Flashlights', 'item weight': '72 g'}","#69,444 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#659 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61Q10Fj8HUL._AC_SX425_.jpg
1,R3MFD600N6QA5I,True,Great light!,"Excellent light. Adjustable light output, good run times, durable and convenient size. I use it dozens of times every day at work and very impressed.",canada,"November 22, 2019",Michael Storey,5.0,0,2020-11-12 11:18:25.879611,2020-11-12 11:18:25.995591,Fenix LD22 G2 2015 EDT 300 Lumens LED Flashlight,4.6,70.56,,Tools & Home Improvement,B01418RAZY,,"#69,444 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#659 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61Q10Fj8HUL._AC_SX425_.jpg
2,R36T4TTDKPDOCN,True,This is the second one that did it so I would not recommend buying this until Fenix fixes the problem,"Worked for a few days then got really hot one time and stopped working.
This is the second one that did it so I would not recommend buying this until Fenix fixes the problem.
It would be a great light if it worked.",canada,"January 18, 2016",Peter,1.0,2,2020-11-12 11:18:26.000579,2020-11-12 11:18:26.124607,Fenix LD22 G2 2015 EDT 300 Lumens LED Flashlight,4.6,70.56,,Tools & Home Improvement,B01418RAZY,,"#69,444 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#659 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61Q10Fj8HUL._AC_SX425_.jpg
3,R30WQX6P54Z5WM,True,Not made for rough environment,"Good item, didn’t survive a year.",canada,"May 1, 2018",Kurt,3.0,0,2020-11-12 11:18:26.129594,2020-11-12 11:18:26.249597,Fenix LD22 G2 2015 EDT 300 Lumens LED Flashlight,4.6,70.56,,Tools & Home Improvement,B01418RAZY,,"#69,444 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#659 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61Q10Fj8HUL._AC_SX425_.jpg
4,R1RW9K6Q8GMPY0,True,Great light,Top quality light that I use at work. Small and compact but still powerful.,canada,"May 28, 2019",Alycia,5.0,0,2020-11-12 11:18:26.254582,2020-11-12 11:18:26.375706,Fenix LD22 G2 2015 EDT 300 Lumens LED Flashlight,4.6,70.56,,Tools & Home Improvement,B01418RAZY,,"#69,444 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#659 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61Q10Fj8HUL._AC_SX425_.jpg
5,RA09SS5OS7YM3,True,but bright as the sun and fits in my pocket nicely. 10/10 would buy again,"A littler heavier than I expected, but bright as the sun and fits in my pocket nicely. 10/10 would buy again.",canada,"May 31, 2017",Amazon Customer,4.0,0,2020-11-12 11:18:26.380724,2020-11-12 11:18:26.505952,Fenix LD22 G2 2015 EDT 300 Lumens LED Flashlight,4.6,70.56,,Tools & Home Improvement,B01418RAZY,,"#69,444 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#659 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61Q10Fj8HUL._AC_SX425_.jpg
6,R3960OWFPBM4ZW,True,Quality product,Well made,canada,"February 14, 2020",fyker29,4.0,0,2020-11-12 11:18:26.510940,2020-11-12 11:18:26.632454,Fenix LD22 G2 2015 EDT 300 Lumens LED Flashlight,4.6,70.56,,Tools & Home Improvement,B01418RAZY,,"#69,444 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#659 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61Q10Fj8HUL._AC_SX425_.jpg
7,R3VBDPBE0V5VOE,True,Wow,vraiment bonne qualité,canada,"February 25, 2019",monica,5.0,0,2020-11-12 11:18:26.637441,2020-11-12 11:18:26.756896,Fenix LD22 G2 2015 EDT 300 Lumens LED Flashlight,4.6,70.56,,Tools & Home Improvement,B01418RAZY,,"#69,444 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#659 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61Q10Fj8HUL._AC_SX425_.jpg
8,R3BP7TPQ351YM4,True,Five Stars,Great product,canada,"August 1, 2016",Twistedg,5.0,0,2020-11-12 11:18:26.762913,2020-11-12 11:18:26.888574,Fenix LD22 G2 2015 EDT 300 Lumens LED Flashlight,4.6,70.56,,Tools & Home Improvement,B01418RAZY,,"#69,444 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#659 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61Q10Fj8HUL._AC_SX425_.jpg
9,R19ABBNG2G7FBU,False,Very versatile light.,"I received this as a gift after owning the previous ld 20 model for years (still works great even after shallow water diving)

This and previous and the previous LD20 has been my go to light for years.

Pros
-practical brightness levels
-mode memory (always comes on in the last mode you used)
-small enough to carry everyday
-runs on AA's = easy to find anywhere
-waterproof/durable
-great runtimes

CONS
-pocket clip cannot be re positioned to the head
-pocket clip doesn't seem secure enough for me to not worry about it when hiking (if your pocket isn't deep enough) but it does come with a belt sheath.
with that said, the clip is perfect for everyday carry and wont tear up your pants.
-cannot tail stand
-the runtime on turbo leaves something to be desired. But it is a nice option to have in an every day carry light.",canada,"November 22, 2017",sam,5.0,0,2020-11-12 11:18:26.893560,2020-11-12 11:18:27.005407,Fenix LD22 G2 2015 EDT 300 Lumens LED Flashlight,4.6,70.56,,Tools & Home Improvement,B01418RAZY,,"#69,444 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#659 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61Q10Fj8HUL._AC_SX425_.jpg
10,R2AS4ISJPOG7S2,False,DO NOT DROP IT,Its a nice flashlight. I loved it a lot. But had dropped once (from my hand) and side switch which uses its intelligent memory circuit to remember the brightness has stopped work. I mean- at all. So ? for Fenix Flashlight Canada-what kind of outdoor or tactical stuff work like that?,canada,"March 1, 2019",Amazon Customer,4.0,0,2020-11-12 11:18:32.214785,2020-11-12 11:18:32.318447,Fenix LD22 G2 2015 EDT 300 Lumens LED Flashlight,4.6,70.56,,Tools & Home Improvement,B01418RAZY,,"#69,444 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#659 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61Q10Fj8HUL._AC_SX425_.jpg
11,R33KEUQP42CPZ4,False,One Star,it gets really hot after turn on for 5 mins..for this price Wtf??,canada,"September 3, 2017",Ben,1.0,0,2020-11-12 11:18:32.323737,2020-11-12 11:18:32.428353,Fenix LD22 G2 2015 EDT 300 Lumens LED Flashlight,4.6,70.56,,Tools & Home Improvement,B01418RAZY,,"#69,444 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#659 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61Q10Fj8HUL._AC_SX425_.jpg
12,R2Z1KVXL0GQ7NN,True,Lovely,"I bought this to replace my old LD20 that I keep in the ‘glove box’ on my BMW R1200RT motorbike but the case is slightly different and won’t fit the clip in the bike. I didn’t need to replace it as it still works beautifully, but I like torches, so I have kept it and put it in my car!!

I should give it 5 stars as it is awesome, however, I bought the ‘Fenix PD35 Tactical Edition 1000 Lumen LED Torch’ at the same time (I REALLY like torches!) and the PD35 is even more awesome.

If you regularly use AA batteries and don’t want the hassle of dealing with the bigger 18650 batteries, then get this one, you won’t be disappointed.

If though you either have some 18650s or are interested in getting some, get the PD35, it will shine all the way to the moon (not literally).

If, however, you have a strange fascination/addiction to lightweight torches and you feel that spending more money than is really necessary, just get both, it’s what I did.",the united kingdom,"September 3, 2019",Kernicterus,4.0,0,2020-11-12 11:18:32.433372,2020-11-12 11:18:32.563849,Fenix LD22 G2 2015 EDT 300 Lumens LED Flashlight,4.6,70.56,,Tools & Home Improvement,B01418RAZY,,"#69,444 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#659 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61Q10Fj8HUL._AC_SX425_.jpg
