,author_id,verified_purchase,review_title,reviews,country,date,reviewer_name,ratings,people_find_helpful,start_time,end_time,product_name,average_rating,price,total_reviews,product_category,product_id,meta_data,rank,product_image_url
0,R115P7WTHMEOH6,True,Nice small flashlight,Good strong beam for a small flashlight. Cant focus and its a little hard to find the button to turn it on in the dark.,canada,"October 17, 2019",GSC,4.0,0,2020-11-12 11:37:39.734563,2020-11-12 11:37:39.864020,"Fenix Flashlights E35UE Fenix Flashlight, Black",4.5,63.49,,Tools & Home Improvement,B01B7Z0KAG,"{'product dimensions': '12.19 x 2.29 x 2.29 cm; 68.04 Grams', 'batteries': '2 CR123A batteries required.', 'item model number': 'E35UEBK', 'is discontinued by manufacturer': 'No', 'color': 'Black', 'size': 'One Size', 'height': '1 inches', 'length': '8 inches', 'weight': '454 Grams', 'width': '5 inches', 'material': 'Synthetic', 'number of pieces': '1', 'included components': 'E35UE Flashlight^Lanyard^Spare O-ring', 'batteries included?': 'No', 'brand': 'Fenix Flashlights', 'item weight': '68 g'}","#272,400 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,453 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61sLDnn5L-L._AC_SX425_.jpg
1,R2U3E3AHSDJWDK,True,Great flashlight,"Overall great flashlight.
Buttons are easy to distinguish.
Easy access to all the modes.
Footprint is a little large for edc but definitely doable.",canada,"January 2, 2019",Eric Jewett,5.0,0,2020-11-12 11:37:39.868009,2020-11-12 11:37:39.990191,"Fenix Flashlights E35UE Fenix Flashlight, Black",4.5,63.49,,Tools & Home Improvement,B01B7Z0KAG,,"#272,400 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,453 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61sLDnn5L-L._AC_SX425_.jpg
2,R3OQAZ6I26M8K6,True,"Power is great, perfect for my use","I have several Fenix torches and wanted one I could keep in my jacket pocket for use when out estimating. Power is great, perfect for my use, as is throw, spread etc. What is not great is trying to turn it on in low/bad/no light. You have to try and locate the rubber button at the head of the torch, sounds like it should be easy but it's really not. A tail cap click on would have been much better for me.",the united kingdom,"January 30, 2018",RossMac,4.0,0,2020-11-12 11:37:39.995177,2020-11-12 11:37:40.132810,"Fenix Flashlights E35UE Fenix Flashlight, Black",4.5,63.49,,Tools & Home Improvement,B01B7Z0KAG,,"#272,400 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,453 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61sLDnn5L-L._AC_SX425_.jpg
3,R2PEODIBQAK2QI,True,Half happy.,"I've used it once so far and I find the multi switch a little awkward to use. Maybe I'm used to the old one, that I had for over ten years, and still need to find my way around it. The good news is that the size is decent and that it works for longer hours. I would have loved a switch on/off only and a potentiometer to change the intensity of the beam, then I'd be really satisfied.",the united kingdom,"March 9, 2017",Amazon Customer,3.0,0,2020-11-12 11:37:40.136799,2020-11-12 11:37:40.277424,"Fenix Flashlights E35UE Fenix Flashlight, Black",4.5,63.49,,Tools & Home Improvement,B01B7Z0KAG,,"#272,400 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,453 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61sLDnn5L-L._AC_SX425_.jpg
4,R2BJUN8G01HYR7,True,Not cheap but worth it. Different levels of intensity ...,Not cheap but worth it. Different levels of intensity which is ideal for my job. Feels substantial and works well.,the united kingdom,"November 19, 2016",Robert,5.0,0,2020-11-12 11:37:40.282410,2020-11-12 11:37:40.422037,"Fenix Flashlights E35UE Fenix Flashlight, Black",4.5,63.49,,Tools & Home Improvement,B01B7Z0KAG,,"#272,400 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,453 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61sLDnn5L-L._AC_SX425_.jpg
5,R3S8TQAN3UPTD9,True,"Very intense torch. Light, compact and powerful with ...","Very intense torch. Light, compact and powerful with very even illumination. Only gripe are the switches which may be difficult to feel in the dark if you are not familiar with the form of the torch.",the united kingdom,"June 14, 2017",Kim W.,5.0,0,2020-11-12 11:37:40.427023,2020-11-12 11:37:40.570639,"Fenix Flashlights E35UE Fenix Flashlight, Black",4.5,63.49,,Tools & Home Improvement,B01B7Z0KAG,,"#272,400 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,453 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61sLDnn5L-L._AC_SX425_.jpg
6,RE2KRMI8XUT20,True,A great compact but very bright torch with good battery life,A great compact but very bright torch with good battery life. Only downside as others have said is the difficult to locate on-off switch. My previous Fenix torch had a much easier to find button on the end but this failed after several years. Maybe something to work on Fenix?,the united kingdom,"March 3, 2018",DK,4.0,0,2020-11-12 11:37:40.575626,2020-11-12 11:37:40.714255,"Fenix Flashlights E35UE Fenix Flashlight, Black",4.5,63.49,,Tools & Home Improvement,B01B7Z0KAG,,"#272,400 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,453 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61sLDnn5L-L._AC_SX425_.jpg
7,R304F89NSRN0FL,True,Real bright light on max setting from a pocket torch.,"on max, this thing gives a real good beam from such a small torch. keeping it on max for a evening dog walk (hour or so) and you would want to charge the battery again for the next outing, but you won't need it on max! the 3rd out of the 5 settings is really all you need for walking. max if you want to see clear across the field for your dog!",the united kingdom,"June 8, 2020",Jonathon Rando,5.0,0,2020-11-12 11:37:40.718245,2020-11-12 11:37:40.854879,"Fenix Flashlights E35UE Fenix Flashlight, Black",4.5,63.49,,Tools & Home Improvement,B01B7Z0KAG,,"#272,400 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,453 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61sLDnn5L-L._AC_SX425_.jpg
8,R308DNOCXL4ODX,True,Epic!,"Superbly bright and battery lasts for quite a few days of dog walking and cycling. More power than you'll realistically need. Lights pylons and houses up from across the fields. Highly recommended. You will have to buy a separate battery and charger for it though, neither are supplied.",the united kingdom,"May 11, 2019",Andy S.,5.0,0,2020-11-12 11:37:40.858869,2020-11-12 11:37:41.041832,"Fenix Flashlights E35UE Fenix Flashlight, Black",4.5,63.49,,Tools & Home Improvement,B01B7Z0KAG,,"#272,400 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,453 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61sLDnn5L-L._AC_SX425_.jpg
9,R7AZBCTTPL2LA,True,Five Stars,excellent little pocket size torch - very bright. Good for outdoor enthusiasts,the united kingdom,"March 30, 2017",Amazon Customer,5.0,0,2020-11-12 11:37:41.050809,2020-11-12 11:37:41.200409,"Fenix Flashlights E35UE Fenix Flashlight, Black",4.5,63.49,,Tools & Home Improvement,B01B7Z0KAG,,"#272,400 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,453 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61sLDnn5L-L._AC_SX425_.jpg
