,author_id,verified_purchase,review_title,reviews,country,date,reviewer_name,ratings,people_find_helpful,start_time,end_time,product_name,average_rating,price,total_reviews,product_category,product_id,meta_data,rank,product_image_url
0,R6WINJRR01QVP,True,Suitable but not stellar,"I like this for use as a garage light. Magnet, angled head, brightness, adjustability and quality of the light itself are all great. Don't like the beam colour (bright white) or profile from the smooth reflector (lots of artifacts) but they're minor issues. It does what I need it too. I would consider the Rofis R3 as well.",canada,"March 10, 2020",Tuiflies,4.0,1,2020-11-12 14:26:38.977230,2020-11-12 14:26:39.137329,"Nitecore MT21C 1000 Lumen 90 Degree Adjustable Flashlight, Black",4.3,82.04,,Tools & Home Improvement,B07C3BFNK3,"{'product dimensions': '13.11 x 2.54 x 2.54 cm; 104.33 Grams', 'item model number': 'MT21C', 'is discontinued by manufacturer': 'No', 'color': 'Black', 'size': 'One Size', 'length': '18 centimeters', 'bulb type': 'LED', 'material': 'Other', 'number of items': '1', 'included components': 'NITECORE MT21C 1000 Lumen 90 Degree Adjustable Flashlight', 'batteries included?': 'No', 'brand': 'Nitecore', 'item weight': '104 g'}","#60,346 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#569 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/6190-TDo-qL._AC_SX425_.jpg
1,REBEJRRHFOQ7T,True,Very high quality,Very high quality,canada,"July 26, 2020",B. Horne,5.0,0,2020-11-12 14:26:39.144037,2020-11-12 14:26:39.441505,"Nitecore MT21C 1000 Lumen 90 Degree Adjustable Flashlight, Black",4.3,82.04,,Tools & Home Improvement,B07C3BFNK3,,"#60,346 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#569 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/6190-TDo-qL._AC_SX425_.jpg
2,RQ0UEKG5ZWG61,True,Brite and useful.,"Pretty brite in that setting , but cant have it",canada,"June 12, 2020",Gary scow gscow,4.0,0,2020-11-12 14:26:39.448943,2020-11-12 14:26:39.599445,"Nitecore MT21C 1000 Lumen 90 Degree Adjustable Flashlight, Black",4.3,82.04,,Tools & Home Improvement,B07C3BFNK3,,"#60,346 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#569 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/6190-TDo-qL._AC_SX425_.jpg
3,R2GEULRMK1OQU8,True,It's already earned its keep a few times,"For a time after I bought this, I kinda felt suckered by the cool swivel head and magnetic base. But in very short order both of those features wound up being really handy to have, and I found myself grateful for both of these aspects when I had to get into a few tight spaces with both hands. It doesn't seem much brighter than a few other torches I have (which is not what I was expecting), but my assessments are pretty subjective and non-scientific so I can't be sure. I also find the ultra-low setting really handy to have, and probably wind up using that more than anything (which is why I have yet to run out a battery). But the range of brightness settings and the features I mentioned above have really left me pretty pleased with this little torch.",the united kingdom,"July 29, 2020",Thomas P.,4.0,0,2020-11-12 14:26:39.607001,2020-11-12 14:26:39.779267,"Nitecore MT21C 1000 Lumen 90 Degree Adjustable Flashlight, Black",4.3,82.04,,Tools & Home Improvement,B07C3BFNK3,,"#60,346 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#569 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/6190-TDo-qL._AC_SX425_.jpg
4,RQPCSWYYE13I9,True,almost there,"strong body, very strong magnetic tail cap, nice steps to the 90degree position...not really happy with beam shape..u can actually see the shape of the LED on the light spot...only 4 stars for that. if you dont mind that?...go for it it is a good practical torch.",the united kingdom,"February 17, 2020",Diana Rosca,4.0,0,2020-11-12 14:26:39.785538,2020-11-12 14:26:39.958622,"Nitecore MT21C 1000 Lumen 90 Degree Adjustable Flashlight, Black",4.3,82.04,,Tools & Home Improvement,B07C3BFNK3,,"#60,346 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#569 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/6190-TDo-qL._AC_SX425_.jpg
5,RG1AO2UT4FK4J,True,An amazing handy torch,"Amazingly bright torch super light to carry , ideally fits into your pockets , lights up the darkness so well , it’s like having a car light with you .",the united kingdom,"September 25, 2020",Paul de Ste croix,5.0,0,2020-11-12 14:26:39.965350,2020-11-12 14:26:40.135731,"Nitecore MT21C 1000 Lumen 90 Degree Adjustable Flashlight, Black",4.3,82.04,,Tools & Home Improvement,B07C3BFNK3,,"#60,346 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#569 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/6190-TDo-qL._AC_SX425_.jpg
6,R31DWG35K5BRWD,True,Value for the price.,"Fantastic piece of kit, good quality product.",the united kingdom,"April 22, 2020",Michael j.,5.0,0,2020-11-12 14:26:40.141988,2020-11-12 14:26:40.314064,"Nitecore MT21C 1000 Lumen 90 Degree Adjustable Flashlight, Black",4.3,82.04,,Tools & Home Improvement,B07C3BFNK3,,"#60,346 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#569 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/6190-TDo-qL._AC_SX425_.jpg
7,R3CU2R8EFXNH92,True,E luce fu,"Ho scelto questo modello fra i tanti della NiteCore perchè mi sembrava il più versatile e infatti da questo punto di vista c'è poco da aggiungere alla descrizione del prodotto: testa inclinabile di 90°, base magnetica, gancio per appenderlo. Il sistema inclinabile arriva già fornito di grasso e gli o-ring di gomma proteggono la filettatura che blocca la batteria. Veramente un prodotto ben fatto e ben curato. Ottimo il flusso luminoso, quello meno potente è ottimo come punto luce per cercare qualcosa al buio, mentre quello subito dopo è già più che adeguato per poter vedere con sicurezza dove si mettono i piedi in un ambiente non illuminato. Sicuramente utile l'indicatore di carica della batteria, purtroppo si tratta però di un tasto multifunzione, quindi alla prima pressione non si accende direttamente la torcia, ma viene indicata la carica, solo tenendo premuto al lungo viene alimentato il led, ma considerato il numero di funzioni disponibili si può sorvolare su questo aspetto. Il cono luminoso non è regolabile, ma è ben progettato, lo spot centrale è leggermente più forte, ma impercettibile a conti fatti. Il colore della luce non è di mio gradimento, tende leggermente al giallino, avrei preferito un bianco puro, ma sono solo gusti personali e non pregiudica assolutamente la qualità della torcia.",italy,"August 7, 2019",Giovanni,5.0,0,2020-11-12 14:26:40.321477,2020-11-12 14:26:40.493620,"Nitecore MT21C 1000 Lumen 90 Degree Adjustable Flashlight, Black",4.3,82.04,,Tools & Home Improvement,B07C3BFNK3,,"#60,346 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#569 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/6190-TDo-qL._AC_SX425_.jpg
8,R2BYCRWBGVMCXA,True,Meine EDC Lampe!,"Sehr schöne und funktionale Lampe mit kompakten Maßen. Habe diese Lampe in meinem täglichen Gepäck und möchte sie nicht mehr missen. Durch die Vielzahl von Möglichkeiten die Lampe zu befestigen und einzustellen wird der normale Bedarf abgedeckt. Laufzeit im Turbo könnte länger sein, jedoch kann hier durch die Akkus variiert werden. Verarbeitung ist wie immer top bei Nitecore. Einzig das Holster wirkt etwas günstiger von Art und Weise, jedoch erfüllt es seinen Zweck und Verarbeitung ist auch gut.
Preis/Leistung muss jeder für sich selbst entscheiden, ich habe jedoch weit teurere Lampen als diese mit weniger ""Funktionen"" hnd und finde sie daher in Ordnung.",germany,"February 2, 2019",Der Hase,5.0,0,2020-11-12 14:26:40.500732,2020-11-12 14:26:40.672387,"Nitecore MT21C 1000 Lumen 90 Degree Adjustable Flashlight, Black",4.3,82.04,,Tools & Home Improvement,B07C3BFNK3,,"#60,346 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#569 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/6190-TDo-qL._AC_SX425_.jpg
9,REB0PALNHQ74E,True,buona torcia solida e maneggevole,"fattezza costruttiva molto soddisfacente sia per materiali che design ed ergonomia. Utilissima a possibilità di angolare il fascio luminoso. Il magnete posto alla base rende l'appoggio della torcia su superfici piane metalliche più solido. Viene fornita con custodia in tessuto per attacco a cintura, laccetto per polso. Non è presente il sistema di ricarica batteria da USB, invece occorre avere un carica batterie esterno",italy,"August 20, 2020",Vinnie Nemo,4.0,0,2020-11-12 14:26:40.679715,2020-11-12 14:26:40.850211,"Nitecore MT21C 1000 Lumen 90 Degree Adjustable Flashlight, Black",4.3,82.04,,Tools & Home Improvement,B07C3BFNK3,,"#60,346 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#569 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/6190-TDo-qL._AC_SX425_.jpg
