,author_id,verified_purchase,review_title,reviews,country,date,reviewer_name,ratings,people_find_helpful,start_time,end_time,product_name,average_rating,price,total_reviews,product_category,product_id,meta_data,rank,product_image_url
0,R1SSOCVPT9HCMA,True,My new EDC Flashlight,"I've never had a bad, or disappointing, product from Fenix. Every flashlight I buy from them exceeds my expectations. My old keychain flashlight was a Fenix AAA light, it.was great, still is, but I wanted more lumens. So bought the Fenix E16. Shorter than my AAA light, but a little fatter. I thought I would take the clip off, but after seeing it guards the on off switch, and how handy it is to clip it to a ball cap, I'll keep it on. Light is easy to use and bright. How bright 700 lumens with rechargeable, 300 lumens with backup CR123. How bright is 700 well focused lumens? Bright enough to illuminate anywhere around my yard like daylight. Back in the day I had 4 and 5 D-Cell Maglites ,the size of youth baseball bats, that weren't as bright, that couldn't throw a beam as far. All on a light little bigger than a CR 123 Battery, less than half the size of a roll of pennies. Just incredible the power of this little light.",the united states,"October 8, 2018",B. J. Savage III,5.0,0,2020-11-12 11:40:55.937658,2020-11-12 11:40:56.072969,Fenix E16 700 Lumen High Performance Keychain Flashlight with 2 USB Rechargeable Batteries and LumenTac Charging Cable,4.4,105.95,,Tools & Home Improvement,B07HM6GM36,"{'manufacturer': 'FENIX', 'part number': 'E16+2F16340U+UCORD', 'product dimensions': '5.08 x 2.11 x 2.11 cm; 22.68 Grams', 'batteries': '2 Lithium ion batteries required. (included)', 'item model number': 'E16', 'is discontinued by manufacturer': 'No', 'colour': 'Black', 'material': 'Anodized Aluminum', 'power source': 'Battery', 'type of bulb': 'LED', 'brightness': '700', 'cutting diameter': '0.83 Inches', 'batteries included?': 'Yes', 'batteries required?': 'Yes', 'battery cell type': 'Lithium Ion', 'battery description': 'Battery_type_lithium_ion', 'assembled diameter': '0.83 Inches', 'item weight': '22.7 g'}","#266,368 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,406 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/6125jRYw8lL._AC_SY355_.jpg
1,R4MGS7AP13889,True,"Nice light,Bright, Nice size, but on-off-lock switch method is too wonky. Get a different model.","Fenix E16. I got this to replace my lost Fenix E15. Big mistake. While I LOVE the four brightness levels, The switch mechanism is a terrible design. Before I detail the switch operation, I'll tell you that even in spite of the TWO ""lock"" features, this light STILL turns on when in my front pocket. The switch is almost flush with the body of the light, making it difficult to find in the dark. It operates with a push button on the front side of the light. One press turns it on to the #2 setting (regardless of where you left it when shutting it off). One press and hold (1 second) turns it off. One press and hold for more than 1 second turns on STROBE (flashing). When on, one quick press moves to the next brightness level.

When on, two quick presses (within one second) puts it in ""lock"" mode"". If you press the button to turn it on when in lock mode, it just flashes twice to let you know it's ""locked"". To UNLOCK it, you press the button twice within 1 second and it turns on to level #2. It has a FURTHER physical lock, by sliding the ""hat clip"" over the top of the switch button. Even in this mode, my light has turned on in my pocket by leaning against a workbench or a car I am working on. It's not until I feel the heat from the light that I realize this has happened. Yes the light gets quite hot. Especially if it finds its way to 700 lumen mode. Further, if it's been on for a long time (in my pocket) the battery is somewhat low. The 700 lumen mode will not work when the battery gets to a certain level of discharge. If not inadvertently turned on as above, the battery lasts me about 3-4 weeks (intermittent use) before I need to charge it. I got two batteries with this and I rotate them in service. In the dark, it is difficult to find the switch and turn the light on (when you most need it).

I would not purchase this light again based on the clumsiness of the switch and ease of inadvertently turning it on., and in fact, I am considering selling it and getting a different model.",the united states,"November 7, 2019",The Irritator,3.0,0,2020-11-12 11:40:56.076960,2020-11-12 11:40:56.210943,Fenix E16 700 Lumen High Performance Keychain Flashlight with 2 USB Rechargeable Batteries and LumenTac Charging Cable,4.4,105.95,,Tools & Home Improvement,B07HM6GM36,,"#266,368 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,406 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/6125jRYw8lL._AC_SY355_.jpg
2,RN4E3216K7UBY,True,Quality light... EDC for 6 months now. Picture current.,"This is a FANTASTIC flashlight. My ONLY gripe is if you don't lock it out (double tap the switch) before putting into your pocket you will feel you leg getting really hot at random times while this thing is blasting your pocket. The clip is also designed to block out the switch but getting into the habit of locking it with the switch is an easier habit for me to follow through with then that solution.

I did think this package was worth the purchase because I ALWAYS like to have a battery ready.... and can take an extra battery with me when needed (extra long hikes, camping, etc).

Also I drop in the pocket carry with my keys. Anodizing and lens are both holding up very nicely. Clip left on for attaching to things when needed.",the united states,"May 26, 2020",Mel Bee,5.0,0,2020-11-12 11:40:56.215930,2020-11-12 11:40:56.345780,Fenix E16 700 Lumen High Performance Keychain Flashlight with 2 USB Rechargeable Batteries and LumenTac Charging Cable,4.4,105.95,,Tools & Home Improvement,B07HM6GM36,,"#266,368 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,406 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/6125jRYw8lL._AC_SY355_.jpg
3,R28UVOWSKV9E6B,True,Very Sweet Light,"It replaced another brand that required a two hand twist to turn on with 300 lumens. It is also too nice to toss into my key pocket so it has it's own place, and yeah it's bright, and the magnet means I don't have to stand outside shining the flashlight while the wife puts the spare tire on my car along the road at night. and on high it gets quite warm an cool February days.",the united states,"February 21, 2019",William R. Bennett,5.0,0,2020-11-12 11:40:56.350661,2020-11-12 11:40:56.478013,Fenix E16 700 Lumen High Performance Keychain Flashlight with 2 USB Rechargeable Batteries and LumenTac Charging Cable,4.4,105.95,,Tools & Home Improvement,B07HM6GM36,,"#266,368 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,406 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/6125jRYw8lL._AC_SY355_.jpg
4,R1D7SRCUIJKKO7,True,Gets way to hot,"Very small flashlight and works well but turns on too easily in your pocket even if you double tap the safety feature. It will turn on in your pocket and get very hot very quick, almost too hot to get it out of your pocket before it burns your leg. Even if it was a tad longer and had a protective tail switch it would be perfect but where the switch now it does not work for what I need. The clip is very durable.",the united states,"December 13, 2019",David,3.0,0,2020-11-12 11:40:56.482003,2020-11-12 11:40:56.605671,Fenix E16 700 Lumen High Performance Keychain Flashlight with 2 USB Rechargeable Batteries and LumenTac Charging Cable,4.4,105.95,,Tools & Home Improvement,B07HM6GM36,,"#266,368 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,406 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/6125jRYw8lL._AC_SY355_.jpg
5,RLE0ORXW8D96R,True,sweet,"i didn’t get this light for the turbo, i got it for it’s 150lm output, great runtime , but nice to have the turbo too, for short bursts, and the strobe at 700 lm, and for the neutral led on the warm side, easy on the eyes in close quarters like in your car..",the united states,"June 29, 2019",Kenny,5.0,0,2020-11-12 11:40:56.609660,2020-11-12 11:40:56.729340,Fenix E16 700 Lumen High Performance Keychain Flashlight with 2 USB Rechargeable Batteries and LumenTac Charging Cable,4.4,105.95,,Tools & Home Improvement,B07HM6GM36,,"#266,368 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,406 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/6125jRYw8lL._AC_SY355_.jpg
6,RLMWXTKCNCGPM,True,One of the top keychain flashlights.,"The Fenix E16 is an amazing product! So far I've had no issues and no complaints with this product. The E16 is so small and lightweight, and it easily clips and securely stays inside my Levi's coin pocket. It's not cumbersome to carry, once inside my pocket its easily forgotten about until needed, and then I am shocked and impressed with the different functions, the different levels of brightness, the white, very bright and crystal clear, and near daylight beam projected from this small keychain flashlight. So far I have been impressed and very happy with my purchase and I believe the product is fairly priced for its abilities and functions. This small keychain flashlight does what much larger and more expensive models do. The rechargeable lithium batteries are impressive as well. Very good product. I highly recommend purchasing a Fenix E16.",the united states,"November 11, 2019",Jeremy Allen,5.0,0,2020-11-12 11:40:56.733331,2020-11-12 11:40:56.866725,Fenix E16 700 Lumen High Performance Keychain Flashlight with 2 USB Rechargeable Batteries and LumenTac Charging Cable,4.4,105.95,,Tools & Home Improvement,B07HM6GM36,,"#266,368 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,406 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/6125jRYw8lL._AC_SY355_.jpg
7,R2Y3M1EL6HA5ME,True,This little light is awesome,I love the magnet on the end cap. It is handy as hell. This light really lights up the night. Now if I can only keep it out of the hands of my 18 month old daughter. I am afraid she will blind herself. But she loves it too.,the united states,"March 1, 2019",J. Gray,5.0,0,2020-11-12 11:40:56.871714,2020-11-12 11:40:56.999542,Fenix E16 700 Lumen High Performance Keychain Flashlight with 2 USB Rechargeable Batteries and LumenTac Charging Cable,4.4,105.95,,Tools & Home Improvement,B07HM6GM36,,"#266,368 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,406 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/6125jRYw8lL._AC_SY355_.jpg
8,R3UWAWGGJAO179,True,On the highest mode it gets too hot - becareful,"This is a great little flashlight! It's great for EDC. A word of caution, when it's on the brightest setting it get dangerously hot - too hot to handle. It would be good if they added a little more insulation to protect the user. Yes I would buy again.",the united states,"February 1, 2020",K. L. Meza,5.0,0,2020-11-12 11:40:57.004513,2020-11-12 11:40:57.135795,Fenix E16 700 Lumen High Performance Keychain Flashlight with 2 USB Rechargeable Batteries and LumenTac Charging Cable,4.4,105.95,,Tools & Home Improvement,B07HM6GM36,,"#266,368 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,406 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/6125jRYw8lL._AC_SY355_.jpg
9,R27WT8JNZ60J8K,True,FENIX DOES IT AGAIN WITH THEIR E-16,Super bright as Fenix never let's me down .Now don't expect hours of use on brightest level it's a cr 123 rechargable battery don't expect miracles but it's super light super small lasts for days if you use as a first of light a couple if times a day and yes it gets HOT but what do you expect pushing that much brightness in a little package,the united states,"January 4, 2019",Amazon9,5.0,0,2020-11-12 11:40:57.140663,2020-11-12 11:40:57.300388,Fenix E16 700 Lumen High Performance Keychain Flashlight with 2 USB Rechargeable Batteries and LumenTac Charging Cable,4.4,105.95,,Tools & Home Improvement,B07HM6GM36,,"#266,368 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,406 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/6125jRYw8lL._AC_SY355_.jpg
