,author_id,verified_purchase,review_title,reviews,country,date,reviewer_name,ratings,people_find_helpful,start_time,end_time,product_name,average_rating,price,total_reviews,product_category,product_id,meta_data,rank,product_image_url
0,RSS9WSL8X0T21,True,Mit neuem Super Akku 5000mAh!,"Nach nunmehr ca. 3 Wochen im Besitz der PD36r kann ich sagen, dass diese Taschenlampe alles hat, was man braucht. Sie ist außerordentlich hell. Den 21700 Akku habe ich noch nicht leer bekommen. Kein Wunder, das Ding hat 5000mAh. Der stärkste 18650 bisher hatte 3500 mAh. Die Lampe ist nur unwesentlich dicker und etwas schwerer, was der Haptik überhaupt nicht schadet. Im Gegenteil, sie liegt super in der Hand. Die PD36r kann zudem direkt durch Anschluß eines Micro USB Kabels (mitgeliefert) an jedem USB Anschluss bzw. USB Stecker (vom Smartphone) geladen werden. Natürlich steht jedem frei, sich noch zusätzlich ein externes Ladegerät zuzulegen. Ich habe z. B. eines, mit dem man mehrere Akkutypen mittels einer verschiebbaren Feder, laden kann. Im Urlaub sehr praktisch.
Die Leuchtstärken der PD36r sind ausgezeichnet (bis 1600 Lumen) und können im Einzelnen überall nachgelesen werden. Selbstverständlich ist auch wieder ein taktischer Abwehrmodus mit intensiven Lichtblitzen z. B. zur Tierabwehr, an Bord. Das Gehäuse ist sehr schön, ergonomisch und liegt ausgezeichnet in der Hand. Natürlich wird die PD36r aufgrund des wesentlich stärkeren Akkus von 5000 mAh und einer wesentlich höheren Lichtleistung in den oberen 2 Stufen, etwas schneller warm als das Vorgängermodell PD35, welches den gleichen kupferfarbenen Lichtstärke Schalter mit Akku Kontrolle hat. Es ist aber in den oberen Stufen auch schon enorm hell!
Das von mir erworbene Set enthält eine Tasche für den Gürtel, gleich 2 Akkus 21700 mit je 5000 mAh, sowie das Ladekabel fürs Aufladen direkt über die Lampe. Der Anschluss liegt verdeckt durch eine Gummikappe an der Unterseite des Gehäuses. Es wurde so eigentlich alles vorbildlich gelöst, ohne große Veränderungen in den Abmessungen der PD in Kauf nehmen zu müssen. Daher von mir volle 5 Sterne für das Produkt, Umfang des Pixxass Sets und Lieferzeit.",germany,"September 18, 2019",jwk1201,5.0,0,2020-11-12 11:42:34.651771,2020-11-12 11:42:34.800373,Fenix PD36R 1600 Lumen Type-C USB Rechargeable EDC Tactical Flashlight with 2X Fenix Batteries and LumenTac Battery Organiser,4.8,,,Tools & Home Improvement,B07TJ9PYB8,"{'product dimensions': '13.59 x 2.64 x 2.54 cm; 86.18 Grams', 'batteries': '2 Lithium ion batteries required. (included)', 'item model number': 'PD36R', 'color': 'Black', 'bulb type': 'LED', 'material': 'Anodized Aluminum', 'batteries included?': 'Yes', 'battery description': 'Battery_type_lithium_ion', 'brand': 'Fenix Flashlights', 'item weight': '86.2 g'}","#1,045,332 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,926 in Handheld Flashlights
#94,540 in Safety & Security",https://images-na.ssl-images-amazon.com/images/I/81-89ioiVWL._AC_SX425_.jpg
1,R2N9S0RDUOH8FJ,True,"Helle, leistungsstarke Lampe wird allerdings schnell heiß","Die Taschenlampe ist sehr hell und leistungsstark. Der Lieferumfang mit Ersatzakku, Tasche und Ladekabel super. Die Lampe ist klein und handlich. Wasserfestigkeit habe ich mich nicht getestet, Anwendung im Regen kein Problem. Die Lampe wird allerdings innerhalb kürzester Zeit bei hoher Leistungsstufe sehr heiß.",germany,"August 24, 2020",Inga Schmidt,4.0,0,2020-11-12 11:42:34.804363,2020-11-12 11:42:34.945798,Fenix PD36R 1600 Lumen Type-C USB Rechargeable EDC Tactical Flashlight with 2X Fenix Batteries and LumenTac Battery Organiser,4.8,,,Tools & Home Improvement,B07TJ9PYB8,,"#1,045,332 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,926 in Handheld Flashlights
#94,540 in Safety & Security",https://images-na.ssl-images-amazon.com/images/I/81-89ioiVWL._AC_SX425_.jpg
2,RV2B0UQEA3C9E,True,Fenix for ever!,"Ich denke nicht, dass ich hier seitenlange Abhandlungen verfassen werde.
Feuer ist heiß, Wasser ist nass und Fenix macht die besten Lampen...ist doch nicht so schwer zu begreifen...",germany,"September 17, 2020",xxx,5.0,0,2020-11-12 11:42:34.950784,2020-11-12 11:42:35.093403,Fenix PD36R 1600 Lumen Type-C USB Rechargeable EDC Tactical Flashlight with 2X Fenix Batteries and LumenTac Battery Organiser,4.8,,,Tools & Home Improvement,B07TJ9PYB8,,"#1,045,332 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,926 in Handheld Flashlights
#94,540 in Safety & Security",https://images-na.ssl-images-amazon.com/images/I/81-89ioiVWL._AC_SX425_.jpg
3,R17MZ5EBB6TPXI,True,Super,Dies war ein Weihnachtsgeschenk und ich muss sagen diese kleine Taschenlampe hat mega power ist den Preis Wert.,germany,"December 30, 2019",Amazon Kunde,5.0,0,2020-11-12 11:42:35.098390,2020-11-12 11:42:35.280444,Fenix PD36R 1600 Lumen Type-C USB Rechargeable EDC Tactical Flashlight with 2X Fenix Batteries and LumenTac Battery Organiser,4.8,,,Tools & Home Improvement,B07TJ9PYB8,,"#1,045,332 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,926 in Handheld Flashlights
#94,540 in Safety & Security",https://images-na.ssl-images-amazon.com/images/I/81-89ioiVWL._AC_SX425_.jpg
4,RO1ZNTSV41S7W,True,gut,Produkt ist hervorragend,germany,"June 23, 2020",jens Geist,5.0,0,2020-11-12 11:42:35.284433,2020-11-12 11:42:35.423570,Fenix PD36R 1600 Lumen Type-C USB Rechargeable EDC Tactical Flashlight with 2X Fenix Batteries and LumenTac Battery Organiser,4.8,,,Tools & Home Improvement,B07TJ9PYB8,,"#1,045,332 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,926 in Handheld Flashlights
#94,540 in Safety & Security",https://images-na.ssl-images-amazon.com/images/I/81-89ioiVWL._AC_SX425_.jpg
5,R3613BKUM0QYGP,True,Bad quality control ? Flickering,"The light is brite however, is it supposed to flicker on eco mode? Its like a bad connection when you buy cheaper flashlights. It does not flicker on the other setting just eco. Very disappointed for the price I paid. Have yet to see if the burn time lives up to the advertising. Just may return it",the united states,"September 24, 2019",Robert Maeder,3.0,0,2020-11-12 11:42:35.428558,2020-11-12 11:42:35.570179,Fenix PD36R 1600 Lumen Type-C USB Rechargeable EDC Tactical Flashlight with 2X Fenix Batteries and LumenTac Battery Organiser,4.8,,,Tools & Home Improvement,B07TJ9PYB8,,"#1,045,332 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,926 in Handheld Flashlights
#94,540 in Safety & Security",https://images-na.ssl-images-amazon.com/images/I/81-89ioiVWL._AC_SX425_.jpg
6,R15YROZML94LYB,True,Great light but could have been much better.,"Going to have to go with three stars for this light.

Yesterday I had the unfortunate accident of having my UC35v2 ran over by a forklift. Although it still works the case as you can imagine is now slightly damaged. So I had this bad boy overnighted to me.

My first impression is that I like the two part design vs the UC35v2 three part (the end cap is no longer removable). The build is solid although the casing metal seems much thinner than the UC35v2 which I assume is due to the thickness of the extended 21700 battery. We will see how durable it is over time.

The reason I am rating only three stars is the fact that it is honestly looks NO brighter than the UC35v2. In a pitch black room they both appear the same and the UC35v2 seems to have a more focused beam. For a difference of 600 lumens I would expect something that you can visually tell the difference. In all honesty the UC35v2 seems identical if not slightly brighter.

The extra battery case it came with is for a non protected 21700 battery so why even include it... The spare obviously doesnt fit and with one battery already in the light it's just extra trash...

I would honestly return and exchange for another UC35v2 but with the new USB-C charging port its just much easier since all my new phone chargers and laptop chargers are interchangeable.",the united states,"December 15, 2019",Michael Smith,3.0,0,2020-11-12 11:42:35.574167,2020-11-12 11:42:35.728755,Fenix PD36R 1600 Lumen Type-C USB Rechargeable EDC Tactical Flashlight with 2X Fenix Batteries and LumenTac Battery Organiser,4.8,,,Tools & Home Improvement,B07TJ9PYB8,,"#1,045,332 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,926 in Handheld Flashlights
#94,540 in Safety & Security",https://images-na.ssl-images-amazon.com/images/I/81-89ioiVWL._AC_SX425_.jpg
7,R17QUNX2D8FL8M,True,An Improved PD35 TAC?,"I bought this light to replace my beloved Fenix PD35 TAC. The PD35 still works fine, but I was lured to the PD36R because of it's 1,600 lumens turbo mode. A lot of the guys in my dept use the PD35 tac. In TAC mode, it's a very simple light - turn on by clicking the button on the end, turn off by clicking the button. Simple.
This PD36R is not as simple as that. Almost though. It remembers the last brightness setting, so you click the button on the end and click the button on the side (which also shows you the battery level when you turn it on) to the brightness level you want (there are 5 brightness levels). I have been leaving it on the 4th brightest level so when I turn the light on it's really bright. If I need even more light, I click the side button once and turn the brightness level up to 11.
Fenix makes nice lights. This one is well made. No complaints really, except one. The battery that is used is too long for my NiteCore chargers. So I have to use the charging port to charge the battery. It came with 2 batteries btw, which is a nice touch. Thanks Fenix.
Maybe Fenix will make a TAC version of this light? I don't know... but it has taken over the duties of my faithful PD35 TAC. For now anyway.",the united states,"February 15, 2020",John Galt II,5.0,0,2020-11-12 11:42:35.733742,2020-11-12 11:42:35.873368,Fenix PD36R 1600 Lumen Type-C USB Rechargeable EDC Tactical Flashlight with 2X Fenix Batteries and LumenTac Battery Organiser,4.8,,,Tools & Home Improvement,B07TJ9PYB8,,"#1,045,332 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,926 in Handheld Flashlights
#94,540 in Safety & Security",https://images-na.ssl-images-amazon.com/images/I/81-89ioiVWL._AC_SX425_.jpg
8,R1J93O6T9JV9R8,True,Solid and bright duty light,In typical Fenix fashion this is a high quality light. An upgrade in lumens and power from the PD35 this unit uses the larger 21700 battery. If you're used to the 18650 battery used in the PD35 it is smaller with less capacity so using the larger 21700 battery gives the PD36R over 50% more brightness than the PD35 with good runtime. I suggest getting a second battery as a spare is always a good idea. Keep in mind that usb charging a 5000mah battery will take some time. If you want faster charging you can get an external charger but the built in usb charger works fine overnight. This makes for an excellent primary duty light or backup. Multiple brightness settings are easy to use and handy to have available when you don't need the full daylight brightness this light puts out.,the united states,"December 3, 2019",Wes,5.0,0,2020-11-12 11:42:35.878355,2020-11-12 11:42:36.041918,Fenix PD36R 1600 Lumen Type-C USB Rechargeable EDC Tactical Flashlight with 2X Fenix Batteries and LumenTac Battery Organiser,4.8,,,Tools & Home Improvement,B07TJ9PYB8,,"#1,045,332 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,926 in Handheld Flashlights
#94,540 in Safety & Security",https://images-na.ssl-images-amazon.com/images/I/81-89ioiVWL._AC_SX425_.jpg
9,RS08SEL3X51XT,True,Super bright!,"I chose this torch as an EDC light. It's a quality build, easy controls, nice sheath, great range of brightness. The charging port is convenient and battery status is easily determined. Two things that are slight negatives: the extra battery case is not designed for the included batteries, but the extra battery comes in it's own case, so kind of a moot extra. Also this light is HEAVY, I mounted it on a ball cap and it's almost unusable as an impromptu headlamp, unless you really wear a tight cap. Not impossible, just not designed well for the purpose. We'll see how it holds up, but so far it seems like it will work for me. Not pocket-worthy because of size and weight, but in the sheath it wears well.",the united states,"March 25, 2020",ChefChip,5.0,0,2020-11-12 11:42:36.046905,2020-11-12 11:42:36.196504,Fenix PD36R 1600 Lumen Type-C USB Rechargeable EDC Tactical Flashlight with 2X Fenix Batteries and LumenTac Battery Organiser,4.8,,,Tools & Home Improvement,B07TJ9PYB8,,"#1,045,332 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,926 in Handheld Flashlights
#94,540 in Safety & Security",https://images-na.ssl-images-amazon.com/images/I/81-89ioiVWL._AC_SX425_.jpg
