,author_id,verified_purchase,review_title,reviews,country,date,reviewer_name,ratings,people_find_helpful,start_time,end_time,product_name,average_rating,price,total_reviews,product_category,product_id,meta_data,rank,product_image_url
0,R34GV5NMTZIIFS,True,"Performant, petit et pratique","Je suis mécaniciens sur des grosses machines pour le forage souterrains donc souvent dans des environnements sombres. Je l'ai utilisé depuis un mois maintenant.
La lumière émise est puissante mais également suffisamment diffus.
Plus petit et à peine plus large qu'un stylo 4 couleurs. Je le voyais plus gros.
Je n'ai qu'une seul remarque dessus. Il peux chauffé dans certains cas. Sur le réglage 3 (le plus puissant), après 3/4 minute posé pour éclairer une zone, tout le corps de la lampe monte en température. C'est très loin d'être brûlant néanmoins.
Et la batterie rechargeable est un vrai plus.
Une très bonne compact et puissante petite lampe.",france,"April 7, 2020",thibaud sarret,5.0,0,2020-11-12 15:35:32.529410,2020-11-12 15:35:32.707510,"ACEBEAM PT10-GT Pen Light Flashlight, SAMSUNG LED produces 400 lumens Pocket Flashlight Include Rechargeable battery",4.6,51.46,,Tools & Home Improvement,B07YXRYCH7,"{'manufacturer': 'ZENBON', 'part number': 'PT10GT', 'product dimensions': '13.46 x 1.52 x 1.52 cm; 41.96 Grams', 'batteries': '1 Lithium ion batteries required. (included)', 'manufacturer reference': 'PT10GT', 'style': 'SAMSUNG LH351D', 'material': 'Aluminum', 'power source': 'Battery', 'type of bulb': 'LED', 'brightness': '400', 'batteries included?': 'Yes', 'batteries required?': 'Yes', 'battery cell type': 'Lithium Ion', 'item weight': '41.9 g'}","#264,330 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,383 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61vFmGDY2-L._AC_SY355_.jpg
1,R3HRO3PDBT58QP,True,Need a pen light? this one will satisfy your needs.,"I am in health care, thus having a pen light is an EDC. This light is about the size of a normal pen. It has three clicky positions for the various brightness. The lowest is perfect for checking pupil response and with each click the brightness increases for those time where you need more clarity. 1.47 oz with battery, so it will not weight down your pocket. The design is actually appealing, the color contrast of the copper, black and aluminum goes quite well together.
The instructions are in small print and does not tell you how to recharge the battery. You need to remove the lens and pull out the battery a bit to get to the charging port. That would be the only thing I feel acebeam could do better.
Price point.... A tad on the expensive side, but if you know the brand and have other Acebeam flashlights, you know the quality of their products. Thus it is all relative, you want something built solid and that will last... This flashlight meets EDC quality, that should tell you all you need to know.",the united states,"October 31, 2019",Don Kelley,5.0,0,2020-11-12 15:35:32.713081,2020-11-12 15:35:32.844142,"ACEBEAM PT10-GT Pen Light Flashlight, SAMSUNG LED produces 400 lumens Pocket Flashlight Include Rechargeable battery",4.6,51.46,,Tools & Home Improvement,B07YXRYCH7,,"#264,330 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,383 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61vFmGDY2-L._AC_SY355_.jpg
2,RWH918QYQ8ZBA,True,VERY bright. Maybe too bright.,"For as many things as there are to like about this light, I ultimately have to admit it wasn’t a good match for my use case. I’ll start with what I like about it:

-Perfect size for a AAA flashlight. Not much thicker or longer than a typical comfort grip pen so it fits excellently in a shirt pocket.
-Nice fit and finish throughout.
-Pretty nicely uniform spot. I’ve grown to really appreciate penlights without a “hot center” as they’re USUALLY less likely to swamp out whatever you’re pointing it at. More on this in a bit, though.
-Unbelievably bright. Pretty decent flood, too, considering how narrow the head is. Can definitely illuminate a rather large, closed space without any other sources of light.
-I haven’t ran this completely dead yet but it’s capable of outputting maximum brightness much longer than my normal AAA lights. Obviously this is thanks to the lithium battery, but it’s still noteworthy.
-Only 3 settings; high, medium, and low. THANK YOU for not putting in one of those worthless strobes.
-Color temperature somewhere between “natural” and “white.” Definitely not high CRI, but better than most pen lights.

What I didn’t like:
-Having to remove the battery to charge it kind of sucks. Obviously, this was done to keep the light as compact as possible, but it is kind of inconvenient.
-Way too bright for up-close use. There is a good separation between high and medium, but medium is still just too bright. It’s close to the high output on most AAA flashlights and will swamp out reflective and metallic objects.
-Kind of pricey. Flashlights come in all shapes, sizes, and most importantly prices. This light is definitely on the more expensive side for a penlight.

I wanted to use this light for my job as an industrial mechanic and it just wasn’t a good fit. It’s nice to have a light that can really light up a very poorly lit mezzanine but it also needs to gently light up the shadowed areas of control panels without swamping everything out. The low mode just isn’t quite high enough and medium is simply too much. In hindsight, I wish I would have bought the version with the high CRI emitter. It’s rated for a lower output but it probably would have been a great match for what I do. In any case, this is a great light, just not the right light for my use case.",the united states,"June 19, 2020",Steve Stevenson,4.0,0,2020-11-12 15:35:32.849767,2020-11-12 15:35:32.980139,"ACEBEAM PT10-GT Pen Light Flashlight, SAMSUNG LED produces 400 lumens Pocket Flashlight Include Rechargeable battery",4.6,51.46,,Tools & Home Improvement,B07YXRYCH7,,"#264,330 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,383 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61vFmGDY2-L._AC_SY355_.jpg
3,R1GJ1I9XNN12YA,True,Neat little powerhouse!,This light is not much bigger than a regular pen. Fits in shirt pocket for quick access when doing mechanic work. Really bright for the size. I like that I can drop in a couple of AAA's and keep using it if needed while the included lithium ion battery charges. The picture of the Nissan engine was taken in a pitch black garage.,the united states,"November 15, 2019",Raymundo,5.0,0,2020-11-12 15:35:32.983145,2020-11-12 15:35:33.113708,"ACEBEAM PT10-GT Pen Light Flashlight, SAMSUNG LED produces 400 lumens Pocket Flashlight Include Rechargeable battery",4.6,51.46,,Tools & Home Improvement,B07YXRYCH7,,"#264,330 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,383 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61vFmGDY2-L._AC_SY355_.jpg
4,RBET0XJAJT4F1,True,Does the job,"This pen light is great when carrying a full sized flashlight (even a small full size) is inconvenient or slightly weird. It is more expensive than a lot of pen lights on amazon but if you want something as bright as a full sized light with rock solid build quality this is for you.

The switch does not have a real memory it always turns on at the medium setting but thankfully it only has three settings that are easy and quick to switch between and no silly strobe modes.",the united states,"October 30, 2019",J. Johnson,5.0,0,2020-11-12 15:35:33.129328,2020-11-12 15:35:33.261892,"ACEBEAM PT10-GT Pen Light Flashlight, SAMSUNG LED produces 400 lumens Pocket Flashlight Include Rechargeable battery",4.6,51.46,,Tools & Home Improvement,B07YXRYCH7,,"#264,330 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,383 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61vFmGDY2-L._AC_SY355_.jpg
5,R2AOH4QULECCVJ,True,"Nice lite, cheap battery quit working","I wanted a nice shirt pocket lite. This one, although a bit expensive was really nice. After 3 weeks the battery, while in the middle of use just quit working. These batteries have protection circuitry in them and these cheaper batteries malfunction and stop working. I had the same problem with some 18650 Lithium's. I've arranged for the return a week ago but still haven't received a replacement flashlite or any info regarding a replacement that the company promised. I'd buy a new battery on my own but after long searches could not find any. An e-mail to the company about purchasing a battery went unanswered.",the united states,"December 30, 2019",fooledonce,3.0,0,2020-11-12 15:35:33.261892,2020-11-12 15:35:33.399224,"ACEBEAM PT10-GT Pen Light Flashlight, SAMSUNG LED produces 400 lumens Pocket Flashlight Include Rechargeable battery",4.6,51.46,,Tools & Home Improvement,B07YXRYCH7,,"#264,330 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,383 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61vFmGDY2-L._AC_SY355_.jpg
6,RX08UTP4BH43F,True,Awesome battery... Junk light !!,"I really don't see why people have it 5 stars !
The battery should get 5 stars
Not the light !
Do not buy !!
Mine lasted two days !!
If u wanna real light !
Buy a stream light !!",the united states,"December 11, 2019",Rcjumper,3.0,0,2020-11-12 15:35:33.404465,2020-11-12 15:35:33.533349,"ACEBEAM PT10-GT Pen Light Flashlight, SAMSUNG LED produces 400 lumens Pocket Flashlight Include Rechargeable battery",4.6,51.46,,Tools & Home Improvement,B07YXRYCH7,,"#264,330 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,383 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61vFmGDY2-L._AC_SY355_.jpg
7,R352HNH0GD8DGT,True,Incredible Product!,"Everyone should have something like this —- it’s about the size of a pen, and in some cases, lighter actually—- so incredibly convenient to carry and use coming out of the pocket, so powerfully, especially for an EDC product (every day carry) wowza so love this thing - like Johnny on the spot with it in many instances for myself and people are so impressed —- sometimes I just show people and they are amazed —- Incredible 400 lumens coming out of the pocket with the size and weight of a pen with a rechargeable battery for just 30 beans—- this is one of the best Purchases I’ve ever made.......
—-seriously a no brainer for anybody considering",the united states,"August 20, 2020",Smokin' Joe from Rotterdam,5.0,0,2020-11-12 15:35:33.538543,2020-11-12 15:35:33.662337,"ACEBEAM PT10-GT Pen Light Flashlight, SAMSUNG LED produces 400 lumens Pocket Flashlight Include Rechargeable battery",4.6,51.46,,Tools & Home Improvement,B07YXRYCH7,,"#264,330 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,383 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61vFmGDY2-L._AC_SY355_.jpg
8,R2AGJ0ID3CFRXO,True,"I like it, works great, very useful at work.","As I get older reading in the dark is problematic. I used to use a stream light tripple A light.only one level of brightness.

Now with this light I get bright as a standard flash light. Low for general use and Firefly for low light use.
The rechargable battery is great. But recharging it by removing the cell and plugging it in is a pain. But I just add it to all the other recharging I do.
I like it, works great, very useful at work.",the united states,"November 13, 2019",Capt-Kirk,5.0,0,2020-11-12 15:35:33.677958,2020-11-12 15:35:33.799766,"ACEBEAM PT10-GT Pen Light Flashlight, SAMSUNG LED produces 400 lumens Pocket Flashlight Include Rechargeable battery",4.6,51.46,,Tools & Home Improvement,B07YXRYCH7,,"#264,330 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,383 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61vFmGDY2-L._AC_SY355_.jpg
9,R3E4PILJDYNPG3,True,Reliable & sturdy EDC light,"This is my EDC light during the workweek & on weekends. I've been carrying it for a couple of months & use it frequently throughout my workdays & sporadically on days off. It has been dropped onto concrete from 5ft more than once & used in the rain & mud. It just keeps working, which is what I would expect from an Acebeam.
While I was disappointed the original PT10 is no longer available, the PT10-GT is a close 2nd to it. I carried the PT10 for over 2 years and was nothing but impressed with it. This light doesn't quite fill the same shoes in my opinion, which is why I did not give it 5 stars overall.
Overall for the price I can't complain & would definitely recommend this light.",the united states,"January 30, 2020",OldChevy4x4,4.0,0,2020-11-12 15:35:33.815493,2020-11-12 15:35:33.946391,"ACEBEAM PT10-GT Pen Light Flashlight, SAMSUNG LED produces 400 lumens Pocket Flashlight Include Rechargeable battery",4.6,51.46,,Tools & Home Improvement,B07YXRYCH7,,"#264,330 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,383 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61vFmGDY2-L._AC_SY355_.jpg
