,author_id,verified_purchase,review_title,reviews,country,date,reviewer_name,ratings,people_find_helpful,start_time,end_time,product_name,average_rating,price,total_reviews,product_category,product_id,meta_data,rank,product_image_url
0,R24RBXTIEDQV2M,True,This is the best flashlight I've ever bought (5 years ago),This is the best flashlight I've ever bought (5 years ago). I use it often. Can't beat the separate switch for cycling modes and turning on and off. No idea why they don't all do that. I get them for gifts and if mine ever breaks I'd replace it in a heartbeat.,canada,"June 6, 2017",Christopher Lord,5.0,0,2020-11-12 11:29:15.244682,2020-11-12 11:29:15.366188,Fenix Pd32-R5 Cree Xp-G Led Flashlight,4.5,129.65,,Tools & Home Improvement,B0062PVSGW,"{'product dimensions': '2.4 x 12.7 x 2.4 cm; 60.95 Grams', 'item model number': 'PD32', 'is discontinued by manufacturer': 'No', 'color': 'Black', 'size': '5-inch', 'length': '12.7 centimeters', 'width': '24 millimeters', 'bulb type': 'LED', 'number of items': '1', 'number of pieces': '1', 'batteries included?': 'No', 'brand': 'Fenix Flashlights', 'item weight': '60.8 g'}","#582,441 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#4,844 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/41RikCnDSGL._AC_SX425_.jpg
1,R40SYPA68ETC1,True,Perfect item,Exactly what i need it,canada,"February 20, 2019",Amazon Customer,5.0,0,2020-11-12 11:29:15.371175,2020-11-12 11:29:15.487617,Fenix Pd32-R5 Cree Xp-G Led Flashlight,4.5,129.65,,Tools & Home Improvement,B0062PVSGW,,"#582,441 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#4,844 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/41RikCnDSGL._AC_SX425_.jpg
2,R112H8HQW26IR7,True,Three Stars,Good !,canada,"December 14, 2014",Michel,3.0,0,2020-11-12 11:29:15.493602,2020-11-12 11:29:15.608593,Fenix Pd32-R5 Cree Xp-G Led Flashlight,4.5,129.65,,Tools & Home Improvement,B0062PVSGW,,"#582,441 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#4,844 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/41RikCnDSGL._AC_SX425_.jpg
3,R3USTDWCYTEI6P,True,A truely excellent torch,"I was recommended this make and model and was slightly sceptical that a device this small could be as powerful as stated. However it truely lives up to its billing. The compact design means it fits easily into a pocket, the variable brightness means you can extend the battery life and only use on full brightness when really needed. 'Full beem' can pick out and illuminate individual trees at over 200M. The case is well made and the weight gives it that robust, sturdy feeling. Highly recommended.",the united kingdom,"February 11, 2014",PJ,5.0,0,2020-11-12 11:29:15.613579,2020-11-12 11:29:15.749043,Fenix Pd32-R5 Cree Xp-G Led Flashlight,4.5,129.65,,Tools & Home Improvement,B0062PVSGW,,"#582,441 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#4,844 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/41RikCnDSGL._AC_SX425_.jpg
4,R17G1JMH8X8KIT,True,Batteries not included (as stated) but great torch,"This is torch is small, but extremely powerful. I've not used it in anger yet, so can't comment on long term use.

HOWEVER product description says batteries included:
i.e. - Power supply: 2x CR123a Lithium batteries (included)

Seller or Amazon, could please amend this description, as makes the price misleading, as batteries are not cheap for this item.",the united kingdom,"July 5, 2013",Monty,5.0,0,2020-11-12 11:29:15.755027,2020-11-12 11:29:15.899681,Fenix Pd32-R5 Cree Xp-G Led Flashlight,4.5,129.65,,Tools & Home Improvement,B0062PVSGW,,"#582,441 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#4,844 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/41RikCnDSGL._AC_SX425_.jpg
5,R2G4WCEAZR416Y,True,Fantastic torch,"Love this torch, the best I have ever used. Great distance on full battery and works really in close range, lights up the entire area. Very hard wearing and is fine to be dropped a few times. I dont go any where without it",the united kingdom,"May 6, 2017",Amazon Customer,5.0,0,2020-11-12 11:29:15.904722,2020-11-12 11:29:16.051329,Fenix Pd32-R5 Cree Xp-G Led Flashlight,4.5,129.65,,Tools & Home Improvement,B0062PVSGW,,"#582,441 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#4,844 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/41RikCnDSGL._AC_SX425_.jpg
6,R1CCLU6DOM2JAM,True,Great for potholing.,I got this torch as a secondary light for my helmet while potholing. It could be better used as the primary light as it is very bright and durable. I dont go underground without it now..,the united kingdom,"May 13, 2013",5huggy,5.0,0,2020-11-12 11:29:16.055320,2020-11-12 11:29:16.183976,Fenix Pd32-R5 Cree Xp-G Led Flashlight,4.5,129.65,,Tools & Home Improvement,B0062PVSGW,,"#582,441 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#4,844 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/41RikCnDSGL._AC_SX425_.jpg
7,R27H5Z5RR7BVHF,True,Reliable,Good performance in bright environment. Surprisingly bright for its size. A lot of brightness selections and strobe selection for defence.,the united kingdom,"September 1, 2013",Stella,4.0,0,2020-11-12 11:29:16.188963,2020-11-12 11:29:16.338561,Fenix Pd32-R5 Cree Xp-G Led Flashlight,4.5,129.65,,Tools & Home Improvement,B0062PVSGW,,"#582,441 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#4,844 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/41RikCnDSGL._AC_SX425_.jpg
8,R7HJT0EXUYR0G,True,Seit 4 Jahren ein treuer Begleiter.,"Ich kann hier eine echte Langzeitrezension abgeben. Ich habe diese Lampe 2013 hier bei Amazon erworben. Seit dem funktioniert sie tadellos, hat auch schon einige harte Einsätze hinter sich, ist mehrfach gefallen und hat zig Batterien verbraucht, das einzige Manko, denn die benötigten CR123 sind nicht unbedingt billig. Ich benutze ausnahmslos die Duracell Ultra, nachdem ich verschiedene andere Marken getestet habe. Ich bin im Sicherheitsgewerbe tätig und nutze diese Lampe auch als Backup zur dienstlich gelieferten Maglite. Gegen die Fenix sind diese nämlich echte Funzeln. Ein kleiner Nachteil, bei voller Leuchtstärke über längere Zeit wird die Lampe warm bis heiß. Das hat sich aber zu keiner Zeit negativ ausgewirkt. Die Hitze wird sehr gut abgeleitet. Das Verhältnis Größe zur Leistung ist hier echt gut gelungen. Das Ding paßt auch ohne die mitgelieferte Holstertasche überall rein. Mitlerweile hat man im Betrieb auf LED Lenser P14 umgestellt. Von denen sind aber schon ein paar ausgefallen. Ich kann die Fenix nur wämrstens empfehlen. Allerdings gilt das für das von mir erworbene Modell, in 5 Jahren sind bestimmt einige Änderungen vorgenommen worden, so das sich meine Rezension nicht unbedingt auf die neuen Modelle umlegen läßt.",germany,"February 27, 2018",Matthias,5.0,0,2020-11-12 11:29:16.343549,2020-11-12 11:29:16.468215,Fenix Pd32-R5 Cree Xp-G Led Flashlight,4.5,129.65,,Tools & Home Improvement,B0062PVSGW,,"#582,441 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#4,844 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/41RikCnDSGL._AC_SX425_.jpg
9,R1DL0P3E5HQW3X,True,Die perfekte Taschenlampe,"Hatte vorher die Fenix LD 20, welche auch schon ganz nett war. Mich störte, dass die Lampe keinen zweiten Schalter für die Lichtstufenregulierung hatte und man den Lampenkopf drehen musste um in den Powermodus zu gelangen. Wenn man nicht aufpasst, lockert sich dieser mit der Zeit immer mehr und ich bezweifle, dass sie dann noch wasserdicht ist. Wollte eigentlich auf die LD 22 (58 €) umsteigen, die kostet aber hier bei Amazon mehr als die PD 32 (56 €). Nun habe ich für weniger Geld eine bessere Lampe erwischt, prima ;). Die Taschenlampe wird hier von der Firma SMDV wirklich zu einem sehr günstigen Preis angeboten, die Lieferung ging flott und die Ware war sicher verpackt.

Die PD 32 liegt viel besser in der Hand als die LD 20, da sie minimal dicker, aber dafür kürzer ist. Die LD 20 erinnert mehr an einen Stift, als an eine Taschenlampe und man hat angst, dass sie einem aus der Hand fallen könnte. Auch optisch sieht die PD 32 besser aus, als die LD 20. Der zweite Schalter am Lampenkopf der PD 32 funtioniert sehr gut und lässt sich auch noch mit normalen Flieshandschuhen ertasten. Wegen der Kürze der Lampe, liegt der Daumen schon auf richtiger Höhe um den Wechselschalter zu bedienen. Was die Helligkeit angeht, ist ein großer Unterschied zur LD 20 erkennbar. Subjektiv gesehen, doppelte Reichweite.
Ich nutze die Lampe um mit meinem Hund (ohne Leine) auch noch im dunkeln auf dem Feldweg spazieren zu gehen. Die Lampe hat 4 Helligkeitsstufen, wovon mir Stufe 2 ausreicht um meinen Hund zu beobachten ( bis ca, 30 mtr.). Ich finde das Lichtfeld perfekt, man hat einen schönen Punktstrahl und einen gut gewählten Lichtkranz drumherum, d. h. der Hund kann rumflitzen wie er will, ich verliere ihn nie aus den Augen. Ist mir viel lieber und praktischer als eine fokusierbare Lampe, an der ich ständig drehen oder schieben muss und evtl. eine zweite Hand brauche. Zudem reicht die PD 32 ca. 150 mtr. weit, das reicht auf jeden Fall. Die Lampe hat bessere Laufzeiten als die LD 20, allerdings braucht man halt die CR 123A Batterien oder Akkus. Da ich die Lampe kaum ausreize (meist nur zum Spaß) und überwiegend auf Stufe 2 betreibe, ergibt sich eine Laufzeit von ca. 16 Std., weshalb ich es erst einmal mit Ersatzbatterien versuche. Ich brauche die Lampe eigentlich nur während der Winterzeit, kann sein, dass mir 1 oder 2 Bateriewechsel pro Jahr ausreicht. Insofern würden sich Akkus+Ladegerät wohl kaum für mich lohnen.
Übrigens lässt sie die PD 32 im Gegensatz zur LD 20 auch mit Gürtelclip in der Gürteltasche verstauen.

Wer eine entsprechend kleine, aber Leistungssarke Tachenlampe sucht ist mit der PD 32 bestens bedient und sollte sie der LD 20/22 auf jeden Fall vorziehen, es sei denn, die Taschenlampe muss unbedingt mit billigen AAA-Batterien betrieben werden.",germany,"January 2, 2013",F. H.,5.0,0,2020-11-12 11:29:16.473202,2020-11-12 11:29:16.603853,Fenix Pd32-R5 Cree Xp-G Led Flashlight,4.5,129.65,,Tools & Home Improvement,B0062PVSGW,,"#582,441 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#4,844 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/41RikCnDSGL._AC_SX425_.jpg
