,author_id,verified_purchase,review_title,reviews,country,date,reviewer_name,ratings,people_find_helpful,start_time,end_time,product_name,average_rating,price,total_reviews,product_category,product_id,meta_data,rank,product_image_url
0,R2F412RAPCI2JP,True,"Petite, légère et puissante","Je l'ai acheté pour le travail, mais finalement elle n'est pas assez puissante. Elle s'allume au réglage faible intensité et c'est pas assez pour que je puisse voir à l'intérieur d'un véhicule la nuit. La haute intensité est bonne, mais ça prend 3 clics pour se rendre là. Donc, je l'ai gardée pour mon usage personnel et dans ce sens elle est parfaite - petite, légère et assez puissante, en plus elle prend une batterie AA seulement. Un seul bémol : la lense est assez fragile et se scratch facilement. À ne pas porter avec ses clés dans la même poche.",canada,"April 11, 2018",Mykhailo Voropai,4.0,3,2020-11-12 11:45:36.869481,2020-11-12 11:45:37.010647,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,"{'product dimensions': '8.89 x 1.27 x 1.27 cm; 90.72 Grams', 'batteries': '1 AA batteries required. (included)', 'item model number': 'E12R4BK-B', 'is discontinued by manufacturer': 'No', 'color': 'Black', 'size': 'Key chain', 'length': '9 centimeters', 'weight': '680 Grams', 'bulb type': 'LED', 'material': 'OTHER', 'number of items': '1', 'number of pieces': '1', 'power source': 'AC/DC', 'sport': 'Sporting Goods', 'wattage': '3 watts', 'included components': 'Fenix E12 Flashlight Pocket-Sized bright flashlight 130 Lumens', 'batteries included?': 'Yes', 'battery description': 'Battery_type_aa', 'brand': 'Fenix Flashlights', 'item weight': '90.7 g'}","#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
1,R1PXL5OBKCT1MZ,True,The best pocket flashlight,"This is my second E12. I had the first one for more than a year. When I lost it, I wanted another one right away. I carry the E12 in my pocket all the time and use it several times each day.

Pros:
- It uses an AA battery.
- It turns on with a single click of the switch.
- It is always on low power when it turns on. Low power is adequate for most situations.
- If I need more light, a soft-press on the switch will cycle through the three available power settings.
- At high power it is very bright for a pocket flashlight.
- It turns off with a single click of the switch. I don't have to cycle through other settings to get to off.
- There is no flashing or strobe mode.
- It's waterproof.

Cons:
- It would be perfect if it had a harder lens that didn't get scratched jostling around with keys in my pocket.",canada,"September 1, 2017",RonAm,5.0,3,2020-11-12 11:45:37.015814,2020-11-12 11:45:37.132650,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
2,R24549L1DNK0EE,True,I was very disappointed in this AA LED flashlight,"I have a similar AA-powered LED flashlight from Cabelas that I am quite happy with. I wanted this one because it is a little more compact and would fight on my leatherman holster. I have a lot of Eneloop rechargables AAs, and I don't like the idea of spending a lot of money on fancy flashlight batteries many models now use. I had heard Fenix was a great brand, so I bought this.
I was greatly disappointed with it, and would never carry it for primary usage. It is basically a last resort, if I can't find any of my other flashlights, including my maglights. I have recent bought some Nebo lights that work well. I don't know if I would buy another Fenix. Maybe their bigger models are better.",canada,"April 21, 2019",Zinchuk,2.0,1,2020-11-12 11:45:37.137637,2020-11-12 11:45:37.255323,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
3,R2GH4BQ97SZ5GU,True,but for my use this little baby is perfect. i like that it starts on low so ...,"I have an old dog who needs to relieve herself two or thee times every night.we live in the country and the brightest thing around are the stars.i've had other flashlights that are brighter,but for my use this little baby is perfect.i like that it starts on low so my night vision isn't destroyed.i like how its got a broad beam that carves a wide path through the night.i like that its tiny and has more reach than i need on one battery.i like its simplicity-i don't need 5 modes-i don't like strobes,i'm not using it as a weapon,i just need a flashlight.i like how i can get by 90 percent of the time on low and mid settings,but if something like a deer,a racoon or a cat makes a noise in the dark ahead of me i can scare the wits out of it from a hundred yards away.
it is a winner and i would highly recommend it!!",canada,"November 5, 2015",BRIAN TAYLOR,5.0,4,2020-11-12 11:45:37.260354,2020-11-12 11:45:37.376375,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
4,R1NO1PJHOQEZ2X,True,Awesome EDC light,"Great pocketable flashlight. Uses standard AA battery which is cheap and easy to find. Love the tail switch, does not get turned on accidentally in my pocket like some twist switches. Brightness is what you would expect for a AA powered light. Small profile in my pocket. Great buy.",canada,"May 8, 2019",Shawn B.,4.0,0,2020-11-12 11:45:37.382358,2020-11-12 11:45:37.497689,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
5,R28P6MFDXO3JWI,True,Great no nonsense flashlight,Nicely constructed flashlight and very bright. Came with an o-ring to seal the two parts of the body but I found it kind of pointless. Does not have any extraneous modes like strobe so it is nice and simple.,canada,"December 25, 2018",Amazon Customer,5.0,1,2020-11-12 11:45:37.501679,2020-11-12 11:45:37.634424,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
6,R8UD9VD82XQSB,True,which is easy to replace,"Very powerful flashlight, in a small package. The battery life is impressive too. One of the reasons I chose this flashlight, was because it took a single AA battery; which is easy to replace.
It has three brightness choices, all selected by a light tap of the power button. When you turn it off, it defaults back to the least-bright setting. If I could change one thing, it would be that the light came back on, at the brightness setting you last used. Very minor preference detail. No biggie.",canada,"November 23, 2015",Boris,4.0,1,2020-11-12 11:45:37.640408,2020-11-12 11:45:37.750098,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
7,RWY4RJWN96QC7,True,The best pocket size flashlight,"I’ve had one for more than 6 years and it was very good, unfortunately I forgot to take it out of my pant pocket one day and it went thru the whole wash & dry cycle and didn’t function anymore, so I had to buy a new one. Great value for the price. Highly recommended.",canada,"June 14, 2020",Jerry Ang,5.0,0,2020-11-12 11:45:37.755085,2020-11-12 11:45:37.859805,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
8,RKFQBI3D6U1G3,True,"I really did love it, perfect size","I had this light for about 2 weeks. I really did love it, perfect size, nice amount of brightness for anything up close in a small shop. Bought it for helping me when working inside machines and reading serial tags. The only reason why I give it 2 stars is because after 2 weeks the button stopped working. The light would constantly flicker even with new batteries. Had to return it.",canada,"June 26, 2018",Amazon Customer,2.0,1,2020-11-12 11:45:37.863795,2020-11-12 11:45:37.973501,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
9,R1B3Z4GIB2ED6Z,True,Very happy. I use it in my occupation as a ...,Very happy. I use it in my occupation as a firefighter. The three settings are perfect for every application. I wish that fenix made a specific holster for this light though. That would be nice.,canada,"December 20, 2017",KBW,5.0,1,2020-11-12 11:45:37.977491,2020-11-12 11:45:38.099166,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
10,R1MESU5KMX3GJF,True,Awesome flashlight. Used it for work in a factory,Awesome flashlight. Used it for work in a factory. Fits in breast pocket well. Held up to lots of dropping and exposure to water. The 3 light settings are nice and battery lasts quite well.,canada,"October 29, 2017",EhEhRon,5.0,0,2020-11-12 11:45:40.267894,2020-11-12 11:45:40.430672,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
11,R3CMMD5IQUE7V,True,So convenient,I always carry it with me and it is very bright. Only 1 alkaline AA needed. Love it. Bought 2 of these!,canada,"January 8, 2020",Brian Mason,5.0,0,2020-11-12 11:45:40.434660,2020-11-12 11:45:40.545261,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
12,R1ZZNUTI7NRFYJ,True,Doesn’t feel 130 lumen,"Reasonably good EDC flashlight but kind of weak, my cheaper 100 lumen lights do better.",canada,"April 1, 2019",Babak Morshedizadeh,4.0,0,2020-11-12 11:45:40.549251,2020-11-12 11:45:40.652974,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
13,RCE6SEVDXHAOX,True,Awesome!,Awesome little flashlight. Perfect EDC. Use an Eneloop for best results. For the price you can't go wrong. Put one in the car. One in your pocket. One in your nightstand and one in the toolbox. You're set! Excellent Fenix quality.,canada,"February 21, 2017",Paul,5.0,0,2020-11-12 11:45:40.656964,2020-11-12 11:45:40.769662,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
14,R251TW57K6E1BZ,True,Good packaging. This product works GREAT,Fast shipping. Good packaging. This product works GREAT. Love the power for such a small size. The light this flashlight puts out is AWESOME. Has to be seen to appreciate fully. ALL Fenix light I have bought are fantastic. Great company producing great products!,canada,"February 6, 2017",JeffreyBorden,5.0,0,2020-11-12 11:45:40.774648,2020-11-12 11:45:40.877375,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
15,R10PXHD0Q7JTH0,True,Sweet unit,Product speaks for itself. Bought for my flashlight guru roommate and it’s now his constant carry light,canada,"September 20, 2019",Rob,5.0,0,2020-11-12 11:45:40.882386,2020-11-12 11:45:40.984113,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
16,R3D8ZK5Y0K6CJD,True,Best AA ever had,"Been using it every day for some time now. Best AA ever had. The 3 settings comes in handy, drop it a few times on hard surface with no affect whatsoever. For the size it is a great flashlight. I highly recommend it.",canada,"February 6, 2017",michael frank,5.0,0,2020-11-12 11:45:40.988078,2020-11-12 11:45:41.106761,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
17,RYT7ZR7IJNO57,True,get this its great,wow. its great. if it just had a pocket clip it would be perfect,canada,"July 21, 2020",Robert ,5.0,0,2020-11-12 11:45:41.111748,2020-11-12 11:45:41.229432,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
18,R1SZCXB9VJGTGX,True,Super bright flashlight,I was looking for an excellent flashlight that was portable and bright and came across this flashlight after hearing about it through some friends. It does it job and was very bright to my surprise especially for this price point.,canada,"February 20, 2019",Justin,4.0,0,2020-11-12 11:45:41.234419,2020-11-12 11:45:41.337147,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
19,R1WFE8DR4OSTNK,True,The flashlight is great but that lanyard is pretty awful,"The flashlight is great but that lanyard is pretty awful. I've lost two of these in the same way; the thin lanyard wears through and rips. Also, The lanyard hole is too small to put any thicker material through. If you don't plan on using the lanyard this is a great light, otherwise find something else.",canada,"February 1, 2017",Amazon Customer,2.0,0,2020-11-12 11:45:41.341134,2020-11-12 11:45:41.444858,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
20,R1B20LJ5TNOQRC,True,Awesome,"Very nice little Fenix flashlight. Good mode spacing, size, easy operation, tough design and runs on common batteries. This is a great product to own.",canada,"January 8, 2017",Raymond Stephen,5.0,0,2020-11-12 11:45:43.574482,2020-11-12 11:45:43.684411,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
21,R39R8IAZ70CTM1,True,It's been reliable,Double AA batteries are inexpensive and readily available.,canada,"May 13, 2020",Amazon Customer,5.0,0,2020-11-12 11:45:43.688400,2020-11-12 11:45:43.789133,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
22,R1T88XDUTG5H33,True,Versatile and well designed,"Very versatile for a single AA light. Compact and well designed, the three way switch can be a bit finicky but the power levels are very useful.",canada,"May 12, 2016",Ted Hamill,4.0,0,2020-11-12 11:45:43.793120,2020-11-12 11:45:43.894849,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
23,R1I814Q7NT7A18,True,Five Stars,The best little flashlight you can get. I use it daily for work.,canada,"December 23, 2017",Brian,5.0,0,2020-11-12 11:45:43.898839,2020-11-12 11:45:43.999601,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
24,R78PKAUJ08E1X,True,Fast and Easy,Great little pocket light. Fast function. Easy use. Little larger than what I use to carry but great light!,canada,"June 17, 2016",Amazon Customer,5.0,0,2020-11-12 11:45:44.003559,2020-11-12 11:45:44.118252,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
25,R2YVA3UUG9WQZ9,True,Great compact little flashlight. easy to carry and powerful broad beam. GREAT EDC,awesome little flash light. Beam is a bit broader. lightweight. Have given this as a gift to friends and they love it.,canada,"January 27, 2017",Lee-ross,5.0,0,2020-11-12 11:45:44.123239,2020-11-12 11:45:44.224966,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
26,R3NQI0Z0IL1QI2,True,I love this little light,"I love this little light. The 3 settings are great. It's solid, and carry it with me everyday. I'll be buying one again for sure!",canada,"December 27, 2017",hwms9,5.0,0,2020-11-12 11:45:44.229953,2020-11-12 11:45:44.328689,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
27,R3GNCXY7HY9U98,True,good size and weight,"Solid flashlight, good size and weight, feels sturdy. I like the multiple light settings and the quality of the button, the entire construction seems like it can stand up to some abuse. I like that it uses a single AA, makes it easy to replace.",canada,"September 11, 2016",Amazon Customer,5.0,0,2020-11-12 11:45:44.333701,2020-11-12 11:45:44.435405,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
28,RTENIDO4FSZES,True,I love this ultra bright little flashlight,"I love this ultra bright little flashlight, especially since it uses easily replaceable or rechargeable AA batteries. I will probably buy a few more to keep one in the car, toolbox, etc.",canada,"February 4, 2016",frequent buyer,5.0,0,2020-11-12 11:45:44.439393,2020-11-12 11:45:44.551096,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
29,R2LS65QXTFW8ZF,True,Versatile. Small. My favourite pocketable flashlight.,"My first Fenix. My every day carry. Very good design and quality throughout. Provides a good amount of light for its size. Super pocketable and stands on its end if needed. Best of all, this runs on readily available AA batteries. I highly recommend this flashlight.",canada,"March 7, 2015",medilink,5.0,0,2020-11-12 11:45:44.556082,2020-11-12 11:45:44.654817,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
30,R37V4GNLUPZXN3,True,Excellent quality and very easy to use,Excellent quality and very easy to use. Great for EDC and very solid. Takes AA so easy to find battery.,canada,"October 21, 2017",NE COACH,5.0,0,2020-11-12 11:45:49.778982,2020-11-12 11:45:49.887728,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
31,R1BXJDIRDHWRS4,True,All good,It is a good little light. No issues.,canada,"July 30, 2020",John,4.0,0,2020-11-12 11:45:49.891716,2020-11-12 11:45:49.997598,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
32,R2RQ3IKAVIOP1D,True,its still a very nice product. beautiful diode,its still a very nice product. beautiful diode. if thats what its called. but for 50 bucks was expecting it to be a little bigger. she still a dandy rigg though. dont have much to go by yet though. as in wear and tear goes,canada,"May 27, 2016",Amazon Customer,3.0,0,2020-11-12 11:45:50.002551,2020-11-12 11:45:50.108421,Fenix E12 Flashlight 130 Lumens,4.6,75.01,,Tools & Home Improvement,B00I14HLLS,,"#59,578 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#576 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51b9zJaqz7L._AC_SX425_.jpg
