,author_id,verified_purchase,review_title,reviews,country,date,reviewer_name,ratings,people_find_helpful,start_time,end_time,product_name,average_rating,price,total_reviews,product_category,product_id,meta_data,rank,product_image_url
0,RMX61TVXQLQIE,True,The high beam on this unit will leave zombies and ...,"The high beam on this unit will leave zombies and vampires running for cover. Besides, out of multiple head lamps I've purchased, it's by far the sexiest. Compatibility between battery sizes and detachableness of said unit from headband are a total bonus. Trust me, you'll look totally sexy while running from your summer cabin in fear of your life.",canada,"October 12, 2017",Timothy P,5.0,3,2020-11-12 11:43:34.196603,2020-11-12 11:43:34.331625,"Fenix Flashlights HL50 365 Lumens Headlamp, Black",4.5,79.98,,Tools & Home Improvement,B00KVR27QM,"{'product dimensions': '6.1 x 5.08 x 5.08 cm; 90.72 Grams', 'batteries': '1 CR123A batteries required.', 'item model number': 'HL50L2BK', 'is discontinued by manufacturer': 'No', 'color': 'Black', 'size': 'One Size', 'length': '7.5 inches', 'weight': '907 Grams', 'bulb type': 'Led', 'material': 'Synthetic', 'number of pieces': '1', 'special features': '365-lumen Burst Mode, provides immediate access to maximum output, Adjustable battery tube, attach the tube to power HL50 with one AA battery', 'included components': 'HL50 LED Headlamp', 'batteries included?': 'No', 'brand': 'Fenix Flashlights', 'item weight': '90.7 g'}","#89,264 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#264 in Headlamps",https://images-na.ssl-images-amazon.com/images/I/71QFWO6FCML._AC_SX425_.jpg
1,R3TW6RU70B2NK6,True,Amazing head lamp,Bright and easy to use. Like you can use AA battery and take off the band if needed. My buddy’s had one for a few years now and I know how great and strong it is. Use it camping and for fishing trips. The flash feature is great for lighting up glo in the dark lures instantly too. Grip on band is a bonus to keep it secure.,canada,"May 13, 2020",Scott homer,5.0,0,2020-11-12 11:43:34.337609,2020-11-12 11:43:34.460437,"Fenix Flashlights HL50 365 Lumens Headlamp, Black",4.5,79.98,,Tools & Home Improvement,B00KVR27QM,,"#89,264 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#264 in Headlamps",https://images-na.ssl-images-amazon.com/images/I/71QFWO6FCML._AC_SX425_.jpg
2,R1RTGKG8GASKKC,True,Fenix lights are always good.,"Got this for a camping trip and although I'm not going to use it for that again, (I plan on picking up the rechargeable version) this light has found a home on my hardhat.

I like that it's dual fuel so if I don't feel like buying cr123s or can't find any in the moment I can use AA instead.",canada,"September 5, 2019",Stephen,5.0,0,2020-11-12 11:43:34.465423,2020-11-12 11:43:34.588654,"Fenix Flashlights HL50 365 Lumens Headlamp, Black",4.5,79.98,,Tools & Home Improvement,B00KVR27QM,,"#89,264 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#264 in Headlamps",https://images-na.ssl-images-amazon.com/images/I/71QFWO6FCML._AC_SX425_.jpg
3,R10IJNFQLLC11N,True,Fenix Flashlight 50,Found them very bright especially when I am doing my woodworking. I get to see into all the dark areas which helps. Very light when on my headband the light dims enough for reading so that you can read in bed without bothering my wife. Constant light when you are moving about as they do not dim when moving. Have not tried them outside but I think they will be a lot Betterthan my Oder version.,canada,"January 27, 2018",Jded48,5.0,0,2020-11-12 11:43:34.593966,2020-11-12 11:43:34.719752,"Fenix Flashlights HL50 365 Lumens Headlamp, Black",4.5,79.98,,Tools & Home Improvement,B00KVR27QM,,"#89,264 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#264 in Headlamps",https://images-na.ssl-images-amazon.com/images/I/71QFWO6FCML._AC_SX425_.jpg
4,R3R0UB20W6DX37,True,tough and versatile,Good to have a headlamp that you can also remove from strap and use as a flashlight. Nice to be able to shut it off at any brightness level without having to cycle through the rest of the brightness levels.,canada,"November 11, 2018",kluane,5.0,0,2020-11-12 11:43:34.724737,2020-11-12 11:43:34.838466,"Fenix Flashlights HL50 365 Lumens Headlamp, Black",4.5,79.98,,Tools & Home Improvement,B00KVR27QM,,"#89,264 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#264 in Headlamps",https://images-na.ssl-images-amazon.com/images/I/71QFWO6FCML._AC_SX425_.jpg
5,R96JNDWP9SN28,True,shuts off with no warning,I have owned 2 of these and BOTH fail after a short time... to then start up again without warning. I am using a AA battery and after 10 mins or so... it will shut off and not turn on. If I wait long enough... it magically starts working again! But this is a flashlight and it needs to work when you need it. I would not purchase or recommend this product.,canada,"August 11, 2020",TW,2.0,0,2020-11-12 11:43:34.843452,2020-11-12 11:43:34.957149,"Fenix Flashlights HL50 365 Lumens Headlamp, Black",4.5,79.98,,Tools & Home Improvement,B00KVR27QM,,"#89,264 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#264 in Headlamps",https://images-na.ssl-images-amazon.com/images/I/71QFWO6FCML._AC_SX425_.jpg
6,R285KZ9PKEBH26,True,Pricy and design flaw but works great.,"Works great but after a few months the aluminum threads bind up and you can’t thread end for battery back on. Design flaw. This is my third one. Hopefully it last longer. But light output, size and weight use with one AA. Best head light so far. Pricey but good.",canada,"December 10, 2019",John P,4.0,0,2020-11-12 11:43:34.962166,2020-11-12 11:43:35.077304,"Fenix Flashlights HL50 365 Lumens Headlamp, Black",4.5,79.98,,Tools & Home Improvement,B00KVR27QM,,"#89,264 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#264 in Headlamps",https://images-na.ssl-images-amazon.com/images/I/71QFWO6FCML._AC_SX425_.jpg
7,RJ2DUD11L3EHU,True,it’s GREAT.,"Whatever I do, I need 5/10 intents to get the light to turn on and remain on while running, the movements tend to turn it off somehow. There’s just too much light when I leave in general so I turn it on only in the middle of my runs and that’s always incredibly frustrating.
Once it has decided to remain on however, it’s GREAT.",canada,"November 24, 2017",Tovar,3.0,1,2020-11-12 11:43:35.082333,2020-11-12 11:43:35.206658,"Fenix Flashlights HL50 365 Lumens Headlamp, Black",4.5,79.98,,Tools & Home Improvement,B00KVR27QM,,"#89,264 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#264 in Headlamps",https://images-na.ssl-images-amazon.com/images/I/71QFWO6FCML._AC_SX425_.jpg
8,R2EMJVHTF9C6U5,True,Fast and perfect!,Arrives faster than planned! Amazing product!,canada,"August 5, 2019",Nichola Lapierre,5.0,0,2020-11-12 11:43:35.211298,2020-11-12 11:43:35.330307,"Fenix Flashlights HL50 365 Lumens Headlamp, Black",4.5,79.98,,Tools & Home Improvement,B00KVR27QM,,"#89,264 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#264 in Headlamps",https://images-na.ssl-images-amazon.com/images/I/71QFWO6FCML._AC_SX425_.jpg
9,RKEOPINIULVI,True,awesome!,awesomer!,canada,"January 5, 2019",Ernest,5.0,0,2020-11-12 11:43:35.335539,2020-11-12 11:43:35.483915,"Fenix Flashlights HL50 365 Lumens Headlamp, Black",4.5,79.98,,Tools & Home Improvement,B00KVR27QM,,"#89,264 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#264 in Headlamps",https://images-na.ssl-images-amazon.com/images/I/71QFWO6FCML._AC_SX425_.jpg
10,RF5ESQBFG103A,True,Five Stars,"Great little light, especially like that you can detach and use as a powerful mini flashlight as well.",canada,"July 27, 2016",Anthony Hoban,5.0,0,2020-11-12 11:43:38.648245,2020-11-12 11:43:38.766168,"Fenix Flashlights HL50 365 Lumens Headlamp, Black",4.5,79.98,,Tools & Home Improvement,B00KVR27QM,,"#89,264 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#264 in Headlamps",https://images-na.ssl-images-amazon.com/images/I/71QFWO6FCML._AC_SX425_.jpg
11,R1NO5NZT9S9W3F,True,Five Stars,it's simple and effective,canada,"September 6, 2016",Arthur,5.0,0,2020-11-12 11:43:38.770912,2020-11-12 11:43:38.885023,"Fenix Flashlights HL50 365 Lumens Headlamp, Black",4.5,79.98,,Tools & Home Improvement,B00KVR27QM,,"#89,264 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#264 in Headlamps",https://images-na.ssl-images-amazon.com/images/I/71QFWO6FCML._AC_SX425_.jpg
