,author_id,verified_purchase,review_title,reviews,country,date,reviewer_name,ratings,people_find_helpful,start_time,end_time,product_name,average_rating,price,total_reviews,product_category,product_id,meta_data,rank,product_image_url
0,R6YSJ6FIUBJX8,True,A+ Flashlight. Excellent in Every Way,"I purchased the MT2A 2015 Edition about a year ago, and have carried and used it every day in my back left pocket. I walk a lot, commute on a bike, and work in building maintenance. I frequently use it in construction or repair situations. Not once have I had a single issue with the light. Here are the things I like most about it:

1. Operation Interface -- I can operate the light in the dark with one hand, accessing all of the different modes. It is impossible to accidentally actuate the mode selector, as in the models featuring side-buttons. The turbo mode is always instantly accessible via the turning flashlight head--this allows me to use it as a self-defense light and a utility light. (If you're unfamiliar with the MT2A's operation, a YouTube video is the best way to see how it works).

(I hate side-button operation because it is easily to accidentally change modes, which would be catastrophic in a tactical situation. It is also difficult to operate those lights quickly in the dark or in any tactical situation.)

2. Mode selection -- the modes are well-selected to balance runtime and brightness. Turbo mode is bright enough to disable an attacker at night, and somehow will still operate for two whole hours. As an emergency light, low mode is bright enough to be useful while still providing an impressively long runtime of 50 hours. I keep mine on medium and replace the batteries weekly. They never even come close to running dry.

3. Beam spread -- before this light, I was using a ThruNite Archer 2A V3. I loved the orange peel beam spread, which offered a complete gradient. At first, the tighter beam of the MT2A was difficult to adjust to. However, I grew to prefer it as it provides better throw and uses the available lumens more efficiently. The secondary beam area (spill) is still bright enough to be useful.

4. Durability. The MT2A is incredibly tough. Again, this opens the possibility of using it as a weapon (especially with the striker bezel--nice touch!). But more, I simply appreciate the security of expecting my light not to fail.

5. Price -- The MT2A is not expensive, compared to other comparable options.

6. Battery type -- though Li-Ion batteries are better-performing, I have dozens of eneloop AA cells for photography usage. I also like knowing that in a pinch, I could throw a standard alkaline or lithium cell in there in an emergency. I keep Energizer lithiums on hand just in case.

Here are my two complaints:

1. The user-selectable function, which cycles the light's mode every time the button is pressed, allows too much time (three seconds) after each button press to re-press the button and change the mode. In other words, it is too easy to accidentally change to a different mode when all you wanted to do was cycle the light on and off. One second of time would be sufficient.

This would be a deal-breaker, except that the ""Turbo"" mode is always instantly accessible by tightening the flashlight head. This way, in ""turbo"" mode, I can clear a room or perform other tactical tasks, which often require switching the flashlight off and on quickly, using the temporary-on function of the switch.

2. The beam is quite cool-colored. I like the option of a high-CRI beam, even if it must be a few lumens dimmer. (My ThruNite beam was very pleasant to use, although it may have even been too warm-colored).

I don't think there is a better AA flashlight out there, especially at this price point. AA lights will be relevant as long as that battery type remains widely used. Keep up the great work, Nitecore!",the united states,"November 9, 2017",Amazon Customer,5.0,0,2020-11-12 15:22:08.388559,2020-11-12 15:22:08.560157,Nitecore MT2A 345 Lumens LED Flashlight w/Bonus Premium Holster - Use 2X AA Batteries,4.4,102.41,,Tools & Home Improvement,B00NQNZWIS,"{'manufacturer': 'NiteCore', 'part number': 'MT2A', 'product dimensions': '15.49 x 2.03 x 2.03 cm; 66.9 Grams', 'batteries': '2 AA batteries required.', 'item model number': 'MT2A', 'is discontinued by manufacturer': 'No', 'size': 'pocket size', 'colour': 'Black', 'finish': 'Annodized', 'power source': 'Battery-powered', 'item package quantity': '1', 'type of bulb': 'Led', 'cutting diameter': '0.85 Inches', 'measurement system': 'English/standard', 'special features': 'Portable, Impact Ready, Light, Variable Speed', 'included components': 'Pocket Clips', 'batteries included?': 'No', 'batteries required?': 'Yes', 'battery cell type': 'Alkaline', 'battery description': 'AA', 'assembled diameter': '0.85 Inches', 'item weight': '66.8 g'}","#619,527 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#5,065 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61e%2BrFL51uL._AC_SX355_.jpg
1,R1DFY7UNMOW5MV,True,Great torch and great price.,"Bought this for a friend in the States ( I live in England,but purchased this while over there ) as a birthday gift and when he saw it he just thought it was another plain ole torch but when he tried it he was wowed by the brightness..He has a 3 acre property and he has found it great to wander in the yard and see everything in front of him for at least 100 yds...I was impressed to so I have ordered one for myself..I actually own the XStar S1 and the Nitecore MT40 but these use the much larger batteries ,the 3.7 volt 18650,which are awkward to get if you run out of power and these torches are really used for more tactical purposes and for covering a Much larger area...This torch which runs on 2 AA's is perfect and also handy because nearly all shops sell them...You can use the Alkaline or rechargeable ones which is handy too.

It's very well made and easy to use...and this came with a belt carry case which was an extra for free...One thing to point out is this...There is a very similar one to this which is only 245 lumins...so be careful when purchasing....even on the Nitecore site it's not actually shown...This torch is also a handy size too which will fit into a pocket or even a ladies handbag...being made of aluminium is very robust and it's water proof to and comes with some spares..This torch is seriously bright and powerful for using 2xAA batteries..I doubt you'd find better..I can highly recomend this torch for the money and convienience.Cheers",the united states,"May 14, 2015",Mr. S. R. Reece,5.0,0,2020-11-12 15:22:08.565143,2020-11-12 15:22:08.702776,Nitecore MT2A 345 Lumens LED Flashlight w/Bonus Premium Holster - Use 2X AA Batteries,4.4,102.41,,Tools & Home Improvement,B00NQNZWIS,,"#619,527 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#5,065 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61e%2BrFL51uL._AC_SX355_.jpg
2,R296O9LYCQ9BP9,True,Very pleased with the light it gives out,"Very pleased with the light it gives out, the light itself is very durable quality with bright output. Does not eat batteries at all and uses rechargeables well. Just longer than a pen and about the size of a black marker around, it is easy to carry in jacket pocket or purse. Not enough to it for a baton in protection but serves it's purpose well. The case that comes with it is good quality as all nitecore items are. The price point is high again as all nitecore items are, but also zero problems and durable and so you buy once rather than flashlight fail with the wannabees. I would buy it again but for the price I would search for a good deal or something that might be of this quality for just a bit less in cost. If the price is ok for you, the light is a good choice that we have been very pleased with.",the united states,"May 22, 2017",duker8888,5.0,0,2020-11-12 15:22:08.707762,2020-11-12 15:22:08.850524,Nitecore MT2A 345 Lumens LED Flashlight w/Bonus Premium Holster - Use 2X AA Batteries,4.4,102.41,,Tools & Home Improvement,B00NQNZWIS,,"#619,527 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#5,065 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61e%2BrFL51uL._AC_SX355_.jpg
3,R365K2CVA79LJ6,True,MT2A is the best light I've ever owned,"Some say it's physically too long, those people are wrong. It's perfect. I want a light that fits in my hand,not some tiny crap on a keychain. It's got several different light modes, but don't think about them, you'll only ever need 2: (1) Bright as Gandalf the White's first appearance and (2) not as bright as that thing I just wrote. It does do through AAs quicker than I like, but F it. Get yourself some rechargeables and quit whining. Thumbs, way, way up.",the united states,"December 11, 2019",Stonemovies,5.0,0,2020-11-12 15:22:08.850524,2020-11-12 15:22:09.021575,Nitecore MT2A 345 Lumens LED Flashlight w/Bonus Premium Holster - Use 2X AA Batteries,4.4,102.41,,Tools & Home Improvement,B00NQNZWIS,,"#619,527 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#5,065 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61e%2BrFL51uL._AC_SX355_.jpg
4,R36DYQR60O1ZIQ,True,A fine small tactical light,"""A good tactical light can be as powerful as a shot of pepper spray on a dark night.""

Of the four tac lights I bought on Amazon recently, this one rates right up there with the USA-made Maglite Mag-Tec (I gave them each 5-star reviews). My wife and I both prefer the Mag-Tec because it's a little brighter and fits the hand so perfectly, but the advantage of this MT2A over the rechargeable Mag-Tec is that it uses two common AA batteries so you don't have to worry about it running out of charge if you keep a couple of spare batteries handy. The MT2A is very bright, and fits nicely in the hand. In the photo the MT2A is the light at far right and based on my experience is clearly superior to the SOG DE03 or the S2000 from Gearlight.",the united states,"September 23, 2018",Ethosian,5.0,0,2020-11-12 15:22:09.021575,2020-11-12 15:22:09.169808,Nitecore MT2A 345 Lumens LED Flashlight w/Bonus Premium Holster - Use 2X AA Batteries,4.4,102.41,,Tools & Home Improvement,B00NQNZWIS,,"#619,527 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#5,065 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61e%2BrFL51uL._AC_SX355_.jpg
5,R2Y2HD16Q3ETZ5,True,It is a great work light for me,"I purchased this flashlight almost a year ago. It is a great work light for me, uses 2 AA batteries so it lasts a long time between battery changes. But recently, the cap/switch assembly broke. I contacted the seller, Lumen Tactical, and asked to purchase a replacement part. The seller instead sent out (at no cost to me) a replacement switch - I was up & running in two days. Great flashlight, even greater seller. Wish I could award 6 stars!",the united states,"October 10, 2017",Techmike,5.0,0,2020-11-12 15:22:09.175791,2020-11-12 15:22:09.318115,Nitecore MT2A 345 Lumens LED Flashlight w/Bonus Premium Holster - Use 2X AA Batteries,4.4,102.41,,Tools & Home Improvement,B00NQNZWIS,,"#619,527 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#5,065 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61e%2BrFL51uL._AC_SX355_.jpg
6,R1L99YWVJIMSLA,True,A wonderfully bright and trusty 2xAA flashlight fighting above its weight.,"This is my second MT2A. The first travels with me all over the world in my kit bag and I have been very happy to have it around when everyone else seems to only have their iphone lights. I bought this along with a Thrunight TN4A HI which is a 4xAA ""can"" type of light. This 2xAA Nitecore supposedly puts out 345 lumens and the Thrunite 1050 lumens. I have to say, and there is no scientific test behind this but my own eye, that this light is just as bright as the TN4A HI and, of course, lighter and smaller. I cannot say at this time as how it will hold up, duration of batteries (considering that I can buy 8 AA batteries for .99 cents anywhere in the US vs harder to find and more expensive 18650 battery, I'm happy to have a few extra in my pocket for a night hike) and etc. What I can say is that for the price you are getting one great bright flashlight.

Oh, and I don't give 5 stars unless whatever I'm reviewing is just off the charts. Otherwise I would need an ""our amps go to 11"" and there is no six star designation. I encourage those looking for a top quality flashlight to order this one.",the united states,"June 12, 2017",Millbrook 73,4.0,0,2020-11-12 15:22:09.323102,2020-11-12 15:22:09.464290,Nitecore MT2A 345 Lumens LED Flashlight w/Bonus Premium Holster - Use 2X AA Batteries,4.4,102.41,,Tools & Home Improvement,B00NQNZWIS,,"#619,527 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#5,065 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61e%2BrFL51uL._AC_SX355_.jpg
7,R3CWF88LHFPBD3,True,It likes to strobe,"This product is not reliable if you want a steady light. It will go into strobe for no reason. I can not change it's function, no matter what I do it does whatever it wants to do, which is usually strobe. It's a pain in the A**.
But what really frustrates and annoys me is that sometimes it works like a flashlight for a while. Good! Then the next time I use it all it will do is strobe. Useless. Or sometimes it works like a flashlight when I turn it on but then, all of a sudden begins to strobe. This happens a lot.
I believed that if I spent the extra $ I would get a better product. What I got was a a disappointing, annoying defect.
It does seem to be durable since I frequently bang it on the table when I get frustrated with it's compulsion to strobe instead of supply a good steady light. Still works, still frustrates me. And I'm still sorry I spent so much $ on a piece of junk.",the united states,"July 12, 2020",Lee Whiteside,1.0,0,2020-11-12 15:22:09.469307,2020-11-12 15:22:09.637418,Nitecore MT2A 345 Lumens LED Flashlight w/Bonus Premium Holster - Use 2X AA Batteries,4.4,102.41,,Tools & Home Improvement,B00NQNZWIS,,"#619,527 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#5,065 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61e%2BrFL51uL._AC_SX355_.jpg
8,R3DGU3X1MS43XV,True,Great flashlight with one caveat...,"I've had this flashlight for just over three months. I bought a head strap so that I could use it hands free. Great light. Very bright. I like that it uses AA batteries which are easily found in emergencies. I'm using Amazon rechargeables an they work great. I use the flashlight daily for about 30 minutes, mostly on turbo. I get about 2-3 hours of use before each charge. My only gripe is that the flashlight frequently loses it's setting when I switch from turbo back to the user selected setting. When I turn the bezel to go into turbo mode it works great. When I switch back it often drops in strobe mode. It's pretty annoying. Other than than it's great. I'll probably pick up another one, just to have a back up.",the united states,"October 29, 2019",seth,4.0,0,2020-11-12 15:22:09.637418,2020-11-12 15:22:09.785644,Nitecore MT2A 345 Lumens LED Flashlight w/Bonus Premium Holster - Use 2X AA Batteries,4.4,102.41,,Tools & Home Improvement,B00NQNZWIS,,"#619,527 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#5,065 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61e%2BrFL51uL._AC_SX355_.jpg
9,R368GHF8XKC270,True,Good flashlight !,"I have as many flashlights as I do knives. As far as quality goes I like Fenix flashlights better but they also cost more.
This is a good light.
I like the feature of rotating the head to go to full brightness but wish you could pic more than just one other brightness level without reprogramming the light.
Feels like good a good quality light.
I like that it is more of an area floodlight than it is a spot light. Upclose is where you would use a light like this and it lights up what you need to see without being blindingly bright.
The case that comes with the light is better than expected.
It is a good quality case that is well made and will make carrying the light easy.",the united states,"December 30, 2019",Larry McCullen,4.0,0,2020-11-12 15:22:09.790636,2020-11-12 15:22:09.927550,Nitecore MT2A 345 Lumens LED Flashlight w/Bonus Premium Holster - Use 2X AA Batteries,4.4,102.41,,Tools & Home Improvement,B00NQNZWIS,,"#619,527 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#5,065 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61e%2BrFL51uL._AC_SX355_.jpg
