,author_id,verified_purchase,review_title,reviews,country,date,reviewer_name,ratings,people_find_helpful,start_time,end_time,product_name,average_rating,price,total_reviews,product_category,product_id,meta_data,rank,product_image_url
0,R72NT2LWD4KY,True,Excellent,Very pleased with my purchase,the united kingdom,"November 10, 2018",Philip,5.0,0,2020-11-12 15:26:00.334729,2020-11-12 15:26:00.501589,Nitecore NITEU No-P12GT Cree XP-L HI V3 1000-Lumen Flashlight,4.4,93.54,,Tools & Home Improvement,B017MOG9D8,"{'product dimensions': '35.56 x 15.24 x 15.24 cm; 49.9 Grams', 'batteries': '2 CR123A batteries required.', 'item model number': 'P12GT', 'is discontinued by manufacturer': 'No', 'color': 'Black', 'size': 'Small', 'number of items': '1', 'number of pieces': '1', 'season': 'All', 'usage': 'Camping', 'sport': 'Camping', 'wattage': '10 watts', 'included components': 'Flashlight', 'batteries included?': 'No', 'brand': 'Nitecore', 'item weight': '49.9 g'}","#605,796 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#4,975 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71%2Bn2xGdvjL._AC_SX425_.jpg
1,RZ0SXJM6CZZYU,True,Good Torch,Good torch well made and works as advertised.,the united kingdom,"November 12, 2018",Packers,5.0,0,2020-11-12 15:26:00.506577,2020-11-12 15:26:00.645331,Nitecore NITEU No-P12GT Cree XP-L HI V3 1000-Lumen Flashlight,4.4,93.54,,Tools & Home Improvement,B017MOG9D8,,"#605,796 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#4,975 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71%2Bn2xGdvjL._AC_SX425_.jpg
2,R460JA1Z9N9NZ,True,Bright torch+++,"Excellent quality torch, very bright, great throw.",the united kingdom,"January 15, 2020",Dr J.,5.0,0,2020-11-12 15:26:00.649321,2020-11-12 15:26:00.783961,Nitecore NITEU No-P12GT Cree XP-L HI V3 1000-Lumen Flashlight,4.4,93.54,,Tools & Home Improvement,B017MOG9D8,,"#605,796 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#4,975 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71%2Bn2xGdvjL._AC_SX425_.jpg
3,R8F68W6BCACDM,True,Empfehlenswert,"Wie bei allem, was ich kaufe, habe ich mich Stunden damit beschäftigt, welche Taschenlampe für mich die richtige sein könnte. Ich nutze die Lampe beruflich. Sie ist bei mir regelmäßig im Einsatz und wird dabei ziemlich beansprucht.

Das Fazit Vorweg: meine Entscheidung für die P12GT bereue ich nicht!

Pro:

- Größe: Da ich eine Vielzahl weiterer Ausrüstungsgegenstände mit mir führe, kommt mir die kompakte Bauweise zugute. Die Lampe könnte in jeder Tasche meiner Kleidung verschwinden, ohne zu stören.
- Leuchtkraft: Der Wahnsinn für so ein kleines Ding! Meine bisherigen Leuchten, auch deutlich größere, können hier nicht heranreichen. Die hellsten Stufen schießen sogar in vielen Situationen übers Ziel hinaus. Auf den beiden hellen Stufen blendet man sich in engen Räumen, bei weißen Wänden oder bei Dokumenten selbst und ist kurzzeitig nicht handlungsfähig. Aus diesem Grund sollte man die Lampe lieber in einer niedrigen Stufe belassen und sie im Bedarf steigern. Die Lampe verbleibt nach dem Ausschalten in der letzten Stufe.
- Robustheit: Die Lampe ist zwischenzeitlich mehrfach heruntergefallen. Überwiegend aus Schulter- und Hüfthöhe. Neben wenigen kleinen Kratzern, blieb nichts zurück.
- Preis: Ich habe ca. 80 € bezahlt. Es hätte Lampen gegeben, die mich 50 € teurer gekommen wären und dabei nicht mehr hätten überzeugen können.

Contra:

- Zubehör: Der Gürtelklipp und das Holster taugen schlicht und einfach für meinen Verwendungszweck nicht. Ich muss die Lampe schnell greifen können. Dafür ist das kleine Holster zu fummelig. Den Gürtelklipp habe ich getestet. An meinem starren Cordura-Gürtel rastet er nicht richtig ein. Beim Ein- und Aussteigen aus Fahrzeugen ist mir der Klipp schon mehrfach von der Lampe gerutscht - Lampe auf dem Boden, Klipp am Gürtel. Vielleicht hält er an einem schmaleren Gürtel, ohne weiterem Equipment daneben, besser.
- Betriebstemperatur: In den höheren Stufen wird die Lampe sehr schnell heiß. NiteCore weißt einen darauf hin. Dennoch fühlt es sich ""ungesund"" für die Lampe an. Soll die Lampe in der Hosentasche getragen werden, könnte es untenrum ziemlich warm werden.

Neutral:

- Zusatzmodi: Stroboskop, SOS und Leuchtbarke. Alle noch nicht testen müssen, wie wirksam sie tatsächlich sind. Ich glaube ich könnte darauf verzichten.
- Leuchtdauer: Ist mir weder positiv, noch negativ aufgefallen. Ich muss selten die Batterien (18650er) wechseln. Das liegt aber vor allem daran, dass die Lampe durch mich überwiegend nur für kurze Momente (max. 5 Minuten) eingeschaltet wird.",germany,"May 22, 2017",Amazon Kunde,5.0,0,2020-11-12 15:26:00.788948,2020-11-12 15:26:00.932074,Nitecore NITEU No-P12GT Cree XP-L HI V3 1000-Lumen Flashlight,4.4,93.54,,Tools & Home Improvement,B017MOG9D8,,"#605,796 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#4,975 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71%2Bn2xGdvjL._AC_SX425_.jpg
4,R15BRRM7I3LUQX,True,Hammer Licht und hält durch,"Wenn man denkt eine gute Taschenlampe zu haben, dann wird man mit dem Kauf dieses Teils daran erinnert, dass man zuvor eine Funzel hatte.
Die vielen Funktionen sind für mich nicht relevant, bis quatsch. Wer macht schon nach einem Überfall, am Boden liegend, eine SOS- Funktion an und hofft, dass ein zweiter das auch noch erkennt?
Licht, und davon viel, bei langem Durchhaltevermögen ist für mich der Ausschlag zum Kauf gewesen. Stufe1 ist zu dunkel, kann ich nicht zuordnen wofür die sein soll ( vielleicht im Zelt, zu zweit). Stufe 2 reicht um mit dem Hund zu gehen. Stufe 3 ist schon richtig hell und Stufe 4 ist als wenn einer den Tag wieder eingeschaltet hat. Um etwas in der Nähe auszuleuchten viel zu hell. Um bei Ölheizung in einen GFK- Tank zu schauen wieviel Öl noch enthalten ist, absolut genial.
Durchhaltevermögen ist sehr gut. Habe sie bisher meistens auf Stufe 2 betrieben, bei täglich mehrfachen ca 5- 10min. Ab Kaufdatum bis heute, habe ich sie noch nicht einmal geladen.
Der Einschaltknopf ist separat vom Knopf der Leuchtstärke oder Leuchtmodus, wie SOS- blinken. Somit bleibt die letztgewälte Leuchtstärke oder Blinkmodus beim Einschalten erhalten. Dass ist gut und man muß nicht wie bei anderen Lampen erst durch alle Modi, um sie wieder abzuschalten.
Habe lange gezögert so viel Geld für eine Taschenlampe auszugeben. Da mein Sohn so eine schon hatte, sah ich den Vergleich zu meinen Funzeln. Daher habe ich mich dann doch überredet, etwas Geld in die Hand zu nehmen. Ja, etwas teuer aber ich würde sie wieder kaufen.",germany,"January 2, 2020",Der Junge,5.0,0,2020-11-12 15:26:00.937062,2020-11-12 15:26:01.092646,Nitecore NITEU No-P12GT Cree XP-L HI V3 1000-Lumen Flashlight,4.4,93.54,,Tools & Home Improvement,B017MOG9D8,,"#605,796 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#4,975 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71%2Bn2xGdvjL._AC_SX425_.jpg
5,R1C8WHIBS9YEC2,True,Und schon wieder eine Nitecore weniger,"Nachdem vor kurzem meine Nitecore TM 06 nach ziemlich genau 3 Jahren das zeitliche gesegnet hat, liegt nun meine zweite und letzte Taschenlampe von Nitecore, die P12GT, nach etwa 3,5 Jahren, aber nur gelegentlicher Benutzung in den letzten Zügen.
Mit annähernd dem gleichen Problem. Das scheint also ein Fabrikationsfehler zu sein.
Wie bei meiner TM 06, so habe ich auch hier das Problem, das, egal wie voll der Akku ist, die Lampe immer durch heftiges Blinken des vorderen Knopfes signalisiert, das die Batterie leer wäre. Nach kurzer Zeit geht sie dann in die Notabschaltung.
Eine sinnvolle Benutzung ist also nicht mehr möglich. Aber zumindest geht noch irgendwas.
Da ich die P12GT doch noch öfter in Gebrauch gehabt hatte als die TM06, gebe ich zumindest 2 Sterne.
Nochmals eine Nitecore zu kaufen kommt nach meinen bisherigen Erfahrungen aber auf keinen Fall mehr in Frage.
Meine Convoy S8 - die es aber leider nicht mehr zu kaufen gibt - ist meine mit Abstand meistgenutzte Taschenlampe. Und sie läuft bisher anstandslos. Für weniger als die Hälfte des Kaufpreises einer Nitecore.

Nachtrag:

Die P12GT hat wenige Tage nachdem das Problem mit dem geflacker der Akku Anzeige aufgetreten ist, wie schon die TM06, endgültig den Dienst quittiert.",germany,"January 14, 2020",Fritzmeyer,2.0,0,2020-11-12 15:26:01.097631,2020-11-12 15:26:01.238255,Nitecore NITEU No-P12GT Cree XP-L HI V3 1000-Lumen Flashlight,4.4,93.54,,Tools & Home Improvement,B017MOG9D8,,"#605,796 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#4,975 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71%2Bn2xGdvjL._AC_SX425_.jpg
6,R3N9GZWOQ4J6XZ,True,Veramente contento,"Non avevo mai acquistato una lampada led di qualità (solo alcune cineserie da 5 euro che comunque già mi avevano impressionato). Devo dire che è veramente incredibile la quantità di luce che riesce a generare. Nel buio assoluto se puntata sul soffitto illumina a giorno una stanza. Alla massima potenza tende a scaldare ma dispone di un circuito di controllo che evita eccessivi surriscaldamenti riducendo l'output in automatico.
Fa parte della serie ""P"" della Nitecore che sta per ""Precise"" è l'evoluzione del modello (ancora in commercio) P12 e diversamente da questt'ultima (che monta il led CREE XM-L2 U2) monta l'ultimo led della CREE l' XP-L HI V3 che a parità di voltaggio e corrente erogata genera molti piu' lumen.
Nella confezione non ci sono batterie, dovrete procurarvele prima dell'acquisto, trovate però alcuni O-rings di riserva, un cappuccio di scorta per il pulsante di accensione, un anello tattico per l'utilizzo con armi corte ed una clip da taschino. Non manca il porta-lampada da fissare alla cintura, anche se è un po' rigido e non di eccelsa fattura.
Da provare, non crederete ai vostri occhi!",italy,"November 7, 2016",Gick,5.0,0,2020-11-12 15:26:01.243274,2020-11-12 15:26:01.381872,Nitecore NITEU No-P12GT Cree XP-L HI V3 1000-Lumen Flashlight,4.4,93.54,,Tools & Home Improvement,B017MOG9D8,,"#605,796 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#4,975 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71%2Bn2xGdvjL._AC_SX425_.jpg
7,R36N97GZKW3J0V,True,incroyable,"Très surpris par la puissance de cette lampe. Les quatre modes sont très très pratiques. Mode 1 (faible) est parfait pour se repérer au sol sans trop être vu ou sans déranger des gens qui dormiraient dans la pièce. Mode 2 (55 lumen je crois), est digne d'une lampe ""classique"" genre ""pile éléctrique"" petit budget à plein régime. Le mode 3 (280 lumen) est déjà très puissant, genre grosse lampe de chantier portable. C'est celui que vous utiliserez le plus probablement car c'est déjà largement suffisant pour la plupart des utilisations (spéléo, rando, etc). Le mode 4 (1000 lumen) est surtout impressionnant en outdoor. Si vous le faites en intérieur, on voit bien que cela éclaire davantage que le mode 3 mais sans aucune utilité. En extérieur, c'est juste incroyable, ca éclaire de manière large et très lointaine ce qui vous permet même en pleine nuit d'avoir une bonne idée de votre environnement (collines, vallées, forêts, etc). Si vous l""utilisez en ville, vous pourrez éclairer jusqu'au dernier étage des immeubles les plus hauts que vous connaissez.",france,"May 8, 2016",Jean-Philippe,5.0,0,2020-11-12 15:26:01.388853,2020-11-12 15:26:01.577348,Nitecore NITEU No-P12GT Cree XP-L HI V3 1000-Lumen Flashlight,4.4,93.54,,Tools & Home Improvement,B017MOG9D8,,"#605,796 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#4,975 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71%2Bn2xGdvjL._AC_SX425_.jpg
8,R3IRKGBT1QOQ5J,True,Tolle kleine Lampe mit großer Reichweite,"Die P12GT ist eine tolle kleine Taschenlampe als täglich Begleiter in Nitecore-typischer guter Verarbeitungsqualität. Allerdings ist die Lampe eindeutig auf ""Throw"" ausgelegt. Die Reichweite ist somit enorm, die flächige Ausleuchtung im direkten Umfeld dagegen eher mäßig. Aber wer sich speziell für die GT entscheidet, wird wohl genau darauf Wert legen. Ansonsten läuft die Lampe bei mir seit einiger Zeit ohne Probleme oder Defekte. Leidglich auf die Beigabe der angekündigten CR123 Batterien sollte man sich nicht verlassen. Ich besitze mehrere P12GT. Nicht bei allen lagen die angekündigten Batterien bei. Aber wer die Lampe auf ihre vollen Möglichkeiten bringen will wird sie wahrscheinlich ohnehin mit 18650er Akkus verwenden.",germany,"February 5, 2019",Andre M.,5.0,0,2020-11-12 15:26:01.582335,2020-11-12 15:26:01.729972,Nitecore NITEU No-P12GT Cree XP-L HI V3 1000-Lumen Flashlight,4.4,93.54,,Tools & Home Improvement,B017MOG9D8,,"#605,796 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#4,975 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71%2Bn2xGdvjL._AC_SX425_.jpg
9,R5CWBH9CNP3CR,True,Outstanding illumination!,"Probably my FAVORITE flashlight of all time and I have owned a lot of them, include the popular Mag-lite. Amazing illumination and being rechargeable makes it perfect for having in the car or camping trips. After I bought this one and realized how good it was, I bought two more for each of my kids so they could take it with them on camping trips. Note this does NOT come with a battery, so be sure to order one when you purchase the flashlight.",germany,"October 16, 2018",S.W.,5.0,0,2020-11-12 15:26:01.734928,2020-11-12 15:26:01.883531,Nitecore NITEU No-P12GT Cree XP-L HI V3 1000-Lumen Flashlight,4.4,93.54,,Tools & Home Improvement,B017MOG9D8,,"#605,796 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#4,975 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71%2Bn2xGdvjL._AC_SX425_.jpg
10,R251M9OZNOUIAP,True,Perfekte Taschenlampe,"Diese Taschenlampe hat die perfekte Grösse zum so mit zu nehmen, passt locker in die Hosentasche. auf der ersten Stufe ist sie relativ dunkel, aber mann sieht noch genug beim nächtlichen Spatziergang ohne schon von weitem gesehen zu werden, auf der hellsten Stufe kommt das kleine Ding noch erstaundlich weit und ist recht hell. was ich auch noch positiv finde sind die vielen verschiedenen einstellmöglichkeiten mit funktionen die ich bis jetzt noch nicht gekannt habe bei einer Taschenlampe. Würde ich jedem empfehlen der eine kompackte Lampe sucht.",germany,"October 31, 2017",Roman,5.0,0,2020-11-12 15:26:08.083811,2020-11-12 15:26:08.229923,Nitecore NITEU No-P12GT Cree XP-L HI V3 1000-Lumen Flashlight,4.4,93.54,,Tools & Home Improvement,B017MOG9D8,,"#605,796 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#4,975 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71%2Bn2xGdvjL._AC_SX425_.jpg
11,R3VVB54ITJNC0B,True,Gute Taschenlampe,"Ich brauche eine Taschenlampe um im Herbst/Winter, wenn es Morgens noch dunkel ist, mein Fahrrad aus dem Hof zu holen.
Erst kaufte ich mir eine für 15€, bei der aber nach nur ein paar Monaten der Schalter kaputt war - Müll. Dann diese hier in der Hoffnung das ein höherer Preis auch mehr Qualität bedeutet - und da wurde ich nicht enttäuscht.
Ich habe die Lampe jetzt seit einem Jahr, und sie erfüllt immer noch ohne jegliche Probleme ihre Aufgabe.
Deswegen: Kaufempfehlung von mir.",germany,"November 2, 2018",53722fb34e8e19c253618cdee148dbbf,5.0,0,2020-11-12 15:26:08.229923,2020-11-12 15:26:08.377522,Nitecore NITEU No-P12GT Cree XP-L HI V3 1000-Lumen Flashlight,4.4,93.54,,Tools & Home Improvement,B017MOG9D8,,"#605,796 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#4,975 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71%2Bn2xGdvjL._AC_SX425_.jpg
12,RJD491X98QS1E,True,Tut was sie soll mit leichten Abstrichen,"Lieber ein paar mehr Euro angelegt als in ein Billig Teil mit Zoom zu investieren. Wobei eine Zoom Taschenlampe einen breiteren und helleren Abstrahlwinkel bietet als diese Taschenlampe, der Fokus dieser liegt eher mehr in der Mitte und die Ränder werden nicht so stark ausgeleuchtet",germany,"May 17, 2019",T. Jue.,5.0,0,2020-11-12 15:26:08.382508,2020-11-12 15:26:08.514918,Nitecore NITEU No-P12GT Cree XP-L HI V3 1000-Lumen Flashlight,4.4,93.54,,Tools & Home Improvement,B017MOG9D8,,"#605,796 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#4,975 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71%2Bn2xGdvjL._AC_SX425_.jpg
13,R2BA39UIQ7T5X1,True,Klein und bring helles Licht ins Dunkel,"Ich benutze die Lampe für den Aussen—Check am Flugzeug. Dafür ist sie wirklich klasse, sie ist klein, handlich aber extrem hell. Man erkennt alles, auch im hintersten und dunkelsten Eckchen. In der höchsten Stufe wird sie schnell heiß und das Angeleuchtete blendet einen regelrecht, aber dafür gibt es ja jede Menge schaltbare Helligkeitsstufen.",germany,"December 16, 2017",Tobias Kraft,5.0,0,2020-11-12 15:26:08.519560,2020-11-12 15:26:08.649353,Nitecore NITEU No-P12GT Cree XP-L HI V3 1000-Lumen Flashlight,4.4,93.54,,Tools & Home Improvement,B017MOG9D8,,"#605,796 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#4,975 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71%2Bn2xGdvjL._AC_SX425_.jpg
14,R29IVM5XKEP69,True,Top Lampe,"Sehr helle Lampe mit allen nützlichen Modi.
Frisst passiv keinen Akku und dieser hält relativ lange.
Der mitgelieferte Kunststoffring kann angebracht werden und dadurch kann sie nicht vom Tisch rollen bzw. gut platziert werden um einen Bereich auszuleuchten.",germany,"October 2, 2017",felix,5.0,0,2020-11-12 15:26:08.668074,2020-11-12 15:26:08.794367,Nitecore NITEU No-P12GT Cree XP-L HI V3 1000-Lumen Flashlight,4.4,93.54,,Tools & Home Improvement,B017MOG9D8,,"#605,796 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#4,975 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71%2Bn2xGdvjL._AC_SX425_.jpg
15,R19NKWH7LKUL5F,True,Super Taschenlampe!!!,"Die Nacht wird zum Tag und ich kann sehen! Der Akku hält lange, auch wenn ich die Taschenlampe täglich im Gebrauch habe. Robust ist sie auch. Ist mir schon Mal aus der Hand gerutscht und auf Fliesen gefallen. Hat ihr nichts ausgemacht. Tolles Teil, würde ich wieder kaufen!",germany,"June 1, 2018",Blue Moon,5.0,0,2020-11-12 15:26:08.800398,2020-11-12 15:26:08.927699,Nitecore NITEU No-P12GT Cree XP-L HI V3 1000-Lumen Flashlight,4.4,93.54,,Tools & Home Improvement,B017MOG9D8,,"#605,796 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#4,975 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71%2Bn2xGdvjL._AC_SX425_.jpg
16,RK7FYCKSUK31G,True,Tolle Leistung,"Die Taschenlampe ist für ihre ""zierliche"" Statur ein Leistungswunder. Sie hat keine Verstellmöglichkeit, den punktuellen Lichtstrahl in einen weiten Lichtkegel zu verwandeln. Aber es gibt für sie einen Aufsatz NITECORE 25.4MM CLEAR DIFFUSER (NDF25), der sie als Leuchte einsetzbar macht. In dieser Kombination perfekt und vielseitig einsetzbar.",germany,"January 21, 2017",Sandra S.,5.0,0,2020-11-12 15:26:08.932665,2020-11-12 15:26:09.050259,Nitecore NITEU No-P12GT Cree XP-L HI V3 1000-Lumen Flashlight,4.4,93.54,,Tools & Home Improvement,B017MOG9D8,,"#605,796 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#4,975 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71%2Bn2xGdvjL._AC_SX425_.jpg
17,RHT081RYYNUGM,True,"Klein, aber sehr stark","Das war's, was ich wollte.

Viele verschiedene Modi von sanftem Licht bis Stroboskop. Schaltung intelligent gelöst!

Ja, ich bin zufriden!",germany,"August 17, 2020",Rupaloka,5.0,0,2020-11-12 15:26:09.066007,2020-11-12 15:26:09.185629,Nitecore NITEU No-P12GT Cree XP-L HI V3 1000-Lumen Flashlight,4.4,93.54,,Tools & Home Improvement,B017MOG9D8,,"#605,796 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#4,975 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71%2Bn2xGdvjL._AC_SX425_.jpg
