,author_id,verified_purchase,review_title,reviews,country,date,reviewer_name,ratings,people_find_helpful,start_time,end_time,product_name,average_rating,price,total_reviews,product_category,product_id,meta_data,rank,product_image_url
0,R2P8L5V98LIBM9,True,State of the art technology at your fingertips !!!,"It's everything I expected and more. It's like one of those antiaircraft search lights. The bean just keeps on going and going and I'm really impressed at the distance this thing goes and the intensity of the light beam is immense. If your reading this stop fretting and buy the K70 it ticks all of the boxes and it's build quality is just that, quality !. I'm really happy with my purchase and it's worth the price as you are getting state of the art technology with state of the art manufacturing. I'm still in shock and awe at the power of this thing and it will give the search light on a police helicopter a run for its money all from that little LED that is a super high discharge light source that will last tens of thousands of hours and the batteries last ages on its highest setting to !!! And it comes with an excellent warranty for peace of mind !!!",the united kingdom,"April 3, 2017",stu,5.0,0,2020-11-12 15:37:23.658928,2020-11-12 15:37:23.809431,Bundle: ACEBEAM K70 CREE XHP35 HI 2600LM Throw 1300M LED Tactical Flashlight (K70),4.6,,,Tools & Home Improvement,B01CN60WIS,"{'product dimensions': '20.6 x 5 x 8.79 cm; 589.67 Grams', 'item model number': 'K70', 'is discontinued by manufacturer': 'No', 'color': 'Black', 'bulb type': 'Led', 'material': 'Aluminum', 'number of items': '1', 'power source': 'Battery', 'batteries included?': 'No', 'battery description': '18650', 'brand': 'ACEBEAM', 'item weight': '590 g'}","#1,034,581 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,870 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61TCuM%2BlNHL._AC_SX425_.jpg
1,R4MOX5ASDWI2N,True,Does what it’s meant to do,"My partner loves it , it lights up for miles",the united kingdom,"August 5, 2020",michelle robinson,5.0,0,2020-11-12 15:37:23.814420,2020-11-12 15:37:23.947910,Bundle: ACEBEAM K70 CREE XHP35 HI 2600LM Throw 1300M LED Tactical Flashlight (K70),4.6,,,Tools & Home Improvement,B01CN60WIS,,"#1,034,581 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,870 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61TCuM%2BlNHL._AC_SX425_.jpg
2,RW2FCIDPFLRFI,True,"super hell, stellt jedoch sehr schnell ab","Lieferung und Verpackung i.o. Die Helligkeit und Bedienung sind der Hammer. Ich bin jedoch von der Anwendung ein wenig enttäuscht. Wenn man die Taschenlampe auf der höchsten Helligkeitsstufe benutzt, stellt diese sich automatisch nach weniger als eine Minute ab. So nützt mir auch die hellste Lampe nichts, wenn ich nur ein paar Sekunden Sicht habe. Sonst bin ich vom Produkt wirklich überzeugt. Die schlechte Bewertung ist auf die Nutzungsdauer der höchsten Hellikeitsstufe zurück zu führen.",germany,"August 27, 2019",cutaway ammann,2.0,0,2020-11-12 15:37:23.952897,2020-11-12 15:37:24.085942,Bundle: ACEBEAM K70 CREE XHP35 HI 2600LM Throw 1300M LED Tactical Flashlight (K70),4.6,,,Tools & Home Improvement,B01CN60WIS,,"#1,034,581 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,870 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61TCuM%2BlNHL._AC_SX425_.jpg
3,RK04TSXNWJOXR,True,eine vorzügliche Mehrzweckleuchte ....ist schon eine Beleidigung,"Von diesem BEAM... das ist keine Taschenlampe, ... nein... das ist ein Flakscheinwerfer, ein Laserschwert !! Ich benutze ihn, für die abendliche Wildtier Beobachtung. Erstrecht in Nächten, mit klarer, trockener, kalter Luft. Auch... leuchtet man einen Radweg mal aus, dann wirkt dieser weiß, eben sehr hell. Es ist wirklich geil, mit diesem Teil unterwegs zu sein. Ein Microfasertuch sollte bei dem Preis allerdings zum Lieferumfang gehören !! Ich fasse pedantisch NIE auf die Frontscheibe, und pusten .... nur seitlich in gebührendem Abstand !! Damit keine Microspeichelpartikel auf dem Glas landen. Denn die stößt jeder beim Pusten [ nein ..nicht Blasen :) ] aus. Nicht, dass sich irgendwelche Partikel auf dem Glas einbrennen. Denn dieser Beam wird sauheiss.... hat ja nicht umsonst Kühlrippen, wie einst meine Vierzylinder-900ter !! Das Zubehör, wie Trageschlaufe und Holster, sind super. Die Akkus ...ist so'n Thema für sich. Dafür kann der Beam nichts !! Ich habe einen Satz 'Kraftmax 18650' und zwei Sätze 'Panasonic 18650'.
Einen Satz schleppe ich immer zusätzlich mit in den ""Einsatz"".. hihi. Die Panasonic habe ich schon einmal reklamiert, es dann jedoch entnervt aufgegeben. Ich weiß nicht, ob es am Ladegerät oder am Akku liegt, oder am Lieferanten. Sie werden unterschiedlich durchgeladen, mit unterschiedlichen Endwerten und unterschiedlicher Ladedauer. In mein Altes Akkuladegerät passen diese Giganten, leider bautechnisch, nicht. Dagegen ist Maclight 'n Teelicht :)) Weil ich viel spät abends nach Hause fahre, halte ich auch oft an so manchem Feldgatter an und gucke, was da so alles umherspaziert. ... Also ich meine Getier, lach. Und man soll sich wundern ,was einem da so alles entgegenfunkelt. Auch die Verarbeitung des ... ich schätze mal... Aluminium-Gehäuses... ich bin kein Werkzeugmacher, aber es macht auf mich einen sehr sauber verarbeiteten Eindruck. Das spürt man auch beim Wechsel der Akkus. Die Gehäusehälften gleiten geradezu in einander. Ohne zu kratzen und zu ruckeln. Leider alles zu groß, um es fortwährend bei sich zu haben. Worunter sicherlich auch das Gehäuse leiden würde. Im Auto lassen.... um Gotteswillen!!! NEIN. Nicht auszudenken... Autoknacker würden sich freuen und wiederkommen. Man kann locker über einen mittelgroßen See beamen und sehen, wie der Strahl gegenüber das Haus.. Gehöft oder ähnliches trifft. Einfach geil. Und zu Hause... man kann locker über etliche Grundstücke strahlen und bei denen wird es dann auch gleißend hell. Ganz im Ernst. Mich würde noch eines interessieren, gibt es noch eine Stärkere, hellere.... so doppelt oder dreimal so hell ?? Das wäre nochmal so eine Option. Und man sollte sie dann persönlich, oder mit Rückgabegarantie bei Nichtgefallen, vergleichen/ kaufen. Denn, wie man so vieler Orten liest, kann man den Werten, die so angegeben werden, lieber nicht so blind vertrauen. Viele Anbieter flunkern scheinbar etwas viel. Schade. Tja... was soll ich noch schreiben. So ad Hogg fällt mir nicht mehr ein. In diesem Fall ergänze ich diese Rezension. Noch zu erwähnen wäre, dass dieser Beam nichts in Kinderhänden zu suchen hat !!! Dann lieber wegschließen. Ganz im Ernst. Ich liebe dieses Teil. Ich könnte noch sagen, will man sich ein Stück Dunkelheit mit nach Hause nehmen, dann ist es mit diesem 'Werkzeug' möglich, sich ein Stück aus der Nacht zu schneiden. :))
Also... ich war und bin immer noch begeistert. Und der Preis rückt, nach dem ersten Gebrauch, in den Hintergrund !!! Der geht voll in Ordnung.
Gruß an den Hersteller :))
Also.... kaufen, ... ran an den Speck",germany,"August 26, 2017",Michaela,5.0,0,2020-11-12 15:37:24.091557,2020-11-12 15:37:24.223460,Bundle: ACEBEAM K70 CREE XHP35 HI 2600LM Throw 1300M LED Tactical Flashlight (K70),4.6,,,Tools & Home Improvement,B01CN60WIS,,"#1,034,581 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,870 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61TCuM%2BlNHL._AC_SX425_.jpg
4,R2GEEDF2ZJD67O,True,sie ist ehemaliger reichweitenkönig,"die lampe leuchtet sehr weit und hat einen kleinen spot, mit dem drehring kann man sehr gut und einfach zwischen den helligkeitsstufen hin und her schalten. was der lampe fehlt ist ein integriertes ladegerät ,das würde das aufladen sehr vereinfachen.",germany,"February 17, 2017",Schaffer,5.0,0,2020-11-12 15:37:24.229067,2020-11-12 15:37:24.361173,Bundle: ACEBEAM K70 CREE XHP35 HI 2600LM Throw 1300M LED Tactical Flashlight (K70),4.6,,,Tools & Home Improvement,B01CN60WIS,,"#1,034,581 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,870 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61TCuM%2BlNHL._AC_SX425_.jpg
5,RWHKJPX54QEB5,True,Gute Verarbeitung.,"Einfach, super. REICHWEITE,AUSLEUCHTUNG und AUSDAUER für meine Zwecke ideal.",germany,"January 15, 2019",dirk hosp,5.0,0,2020-11-12 15:37:24.366800,2020-11-12 15:37:24.496582,Bundle: ACEBEAM K70 CREE XHP35 HI 2600LM Throw 1300M LED Tactical Flashlight (K70),4.6,,,Tools & Home Improvement,B01CN60WIS,,"#1,034,581 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,870 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61TCuM%2BlNHL._AC_SX425_.jpg
6,R315MOO7I8NCMQ,True,Gran linterna,"Muy potente linterna , muy manejable y permite detectar animales o personas a grandes distancias , 600 mt como mínimo .",spain,"August 2, 2018",Mariano,5.0,0,2020-11-12 15:37:24.501569,2020-11-12 15:37:24.631941,Bundle: ACEBEAM K70 CREE XHP35 HI 2600LM Throw 1300M LED Tactical Flashlight (K70),4.6,,,Tools & Home Improvement,B01CN60WIS,,"#1,034,581 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,870 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61TCuM%2BlNHL._AC_SX425_.jpg
7,R38NBCGA1U7ULU,True,Fascio di luce eccezionale,"Una bomba.... Luminosità eccezionale, riesco a vedere bene anche fino a 500 metri tranquillamente.",italy,"January 1, 2019",Andrea D',5.0,0,2020-11-12 15:37:24.637354,2020-11-12 15:37:24.752788,Bundle: ACEBEAM K70 CREE XHP35 HI 2600LM Throw 1300M LED Tactical Flashlight (K70),4.6,,,Tools & Home Improvement,B01CN60WIS,,"#1,034,581 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,870 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61TCuM%2BlNHL._AC_SX425_.jpg
8,RPPTS2E1BW5TC,True,"Gut, aber SEHR HEISS !","Eine besondere, gute „Taschenlampe“ - vgl. vorheriger Bewertungen!
Aber sie wird bei längerer Benutzung SEHR HEISS !! Achtung, im Ernst: verbrennt Euch nicht die Hand! Meine einzige, schlechte und schmerzhafte Erfahrung ...",germany,"February 28, 2020",CMW,4.0,0,2020-11-12 15:37:24.768409,2020-11-12 15:37:24.902044,Bundle: ACEBEAM K70 CREE XHP35 HI 2600LM Throw 1300M LED Tactical Flashlight (K70),4.6,,,Tools & Home Improvement,B01CN60WIS,,"#1,034,581 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,870 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61TCuM%2BlNHL._AC_SX425_.jpg
9,R1JFFWZOZHDZT0,True,Super linterna,No te dejará a oscuras,spain,"March 7, 2019",Santiago,5.0,0,2020-11-12 15:37:24.907645,2020-11-12 15:37:25.061820,Bundle: ACEBEAM K70 CREE XHP35 HI 2600LM Throw 1300M LED Tactical Flashlight (K70),4.6,,,Tools & Home Improvement,B01CN60WIS,,"#1,034,581 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#8,870 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61TCuM%2BlNHL._AC_SX425_.jpg
