,author_id,verified_purchase,review_title,reviews,country,date,reviewer_name,ratings,people_find_helpful,start_time,end_time,product_name,average_rating,total_reviews,product_category,product_id,meta_data,rank
0,R3SS19S8UM2HC2,True,Short Term Battery,"Quite disappointing, shortly after one year the battery no longer holds a charge!!
This flashlight is only used maybe one dozen times throughout the year, that's all.
Possibly either the manufacturer or supplier could contact me back in regards to a battery replacement.",canada,"February 27, 2020",Spoonfed,1.0,5,2020-10-27 22:26:59.562226,2020-10-27 22:26:59.701152,"Streamlight 88065 Pro Tac HL-X 1,000 Lumen Professional Tactical Flashlight with High/Low/Strobe Dual Fuel use 2X CR123A or 1x 18650 Rechargeable Li-ion Batteries and Holster",4.6,,Tools & Home Improvement,B06VTLLC13,"{'manufacturer': 'Streamlight', 'part number': '88065', 'product dimensions': '13.79 x 2.54 x 3.66 cm; 113.4 Grams', 'batteries': '2 CR123A batteries required. (included)', 'item model number': '88065', 'is discontinued by manufacturer': 'No', 'size': '5.43 inches', 'colour': 'Black', 'style': 'Protac HL-X, 1,000 Lumens', 'material': 'Anodized aluminum', 'power source': 'Battery', 'item package quantity': '1', 'type of bulb': 'LED', 'brightness': '1000 Lumen', 'measurement system': 'Metric', 'included components': 'Battery (2), Flashlight', 'batteries included?': 'Yes', 'batteries required?': 'Yes', 'battery cell type': 'Lithium', 'warranty description': 'Manufacturer Warranty', 'item weight': '113 g'}","#9,282 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#83 in Handheld Flashlights"
1,RDPSFGXDQKJUE,True,"Not a fake model, excellent EDC!","Not a fake, for those who are concerned about all the fake versions online, a fake has a waffle print button, black o-ring cap seal, silver color spring in the end cap. The real ones come with a ""streamlight"" brand CR-123,& ""Energizer"" brand AA next to the flashlight with a nylon pouch in the back, a ""S"" in the shield streamlight logo printed button, red o-ring, and gold colored spring on the end cap. These are the real deal😊 so feel confident in your purchase.

This is the most versatile flashlight in terms of battery options, that I know of, without needing any adapter. AAA, AA,(14500), CR123,(16340), there are probably other options that will work to be honest, but these are just what I tried so far... 16mm diameter (maybe16.8mm if you want exact maximum)×38mm, any longer will need be a smaller diameter 14mm ×57mm length are about the maximum dimensions that will fit the lower section. Basically the lower section is tapered a little smaller on the inside diameter, making the AA, AAA center nicely, but just the fact that I can use such a variety of rechargeable, or single use batteries makes this the perfect EDC, at least in my mind... the ""ten tap"" programming is excellent, I prefer the ""low"" setting, where I can 2 tap to get the ""high"" setting when needed.

This is my second ""streamlight"" my first was well used, dropped, submerged, lost & found a few times, and never failed me in 7 years of daily use (some weekends off). It was pretty scratched up, but worked without fail, in the end, unfortunately it was lost, and I had a few other cheaper ones that I used until now... This is a nice replacement, it's brighter, the ""ten tap"" is also a nice upgrade, and a better fit in my hand.",canada,"December 9, 2018",Uriah ,5.0,2,2020-10-27 22:26:59.705141,2020-10-27 22:26:59.821791,"Streamlight 88065 Pro Tac HL-X 1,000 Lumen Professional Tactical Flashlight with High/Low/Strobe Dual Fuel use 2X CR123A or 1x 18650 Rechargeable Li-ion Batteries and Holster",4.6,,Tools & Home Improvement,B06VTLLC13,,"#9,282 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#83 in Handheld Flashlights"
2,R2AS45NXKIITUS,True,Get one!,"Finally a EDC flashlight I can use with either CR123A or AA batteries.

I'm ex military, and ever since Streamlight came out with the Sidewinder Compact II that used either CR123A or AA batteries, I'd been hoping they would do the same for an EDC size flashlight. I own several Streamlight products, either for work or outdoors activities they all were one battery type or another. Now I tend to always carry spares, but if you run out, some types are harder to find than others, ex: CR123A.

Now that they offer the ProTac 1L-1AA, it takes care of that problem. It runs on CR123A Lithium, AA Alkaline or AA Lithium batteries. As for those that don't read the info supplied by Streamlight, they DON'T TAKE RECHARGEABLE batteries.

Comes with a 2 way pocket clip. Folks say it comes off easy, to fix that problem get some mini zip ties, and put it around where the clip attaches to the body, won't come off.

Solid construction, great materials, and made in the USA. Lifetime warranty and comes with both CR123A and AA batteries as well as a small belt pouch. All at a great price. Pick one up, you won't regret it!",canada,"March 27, 2017",Asano,5.0,4,2020-10-27 22:26:59.827777,2020-10-27 22:26:59.951445,"Streamlight 88065 Pro Tac HL-X 1,000 Lumen Professional Tactical Flashlight with High/Low/Strobe Dual Fuel use 2X CR123A or 1x 18650 Rechargeable Li-ion Batteries and Holster",4.6,,Tools & Home Improvement,B06VTLLC13,,"#9,282 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#83 in Handheld Flashlights"
3,R1DNV7ILTBSSG5,True,One of the best flashlight I could have bought,"One of the best flashlight I could have bought.

First it can run out of 3 different battery type(CR123, AA or AAA) makes it the life saver wherever you are. I prefer to use CR123 for the more powerful light output, but with AA Lithium it run well and long.

The switch is just perferct. High output right on then strobe and low output using quick push to cycle, it is really simple. The possibility to change the way the switch operate through the ""programmable"" function is interesting also, even if i do not use it.

Coming with a belt/mollee pouch is awesome. The 2-way clip allows to carry in a pocket, to attach the light to you cap for hand-free use or like.

All in all, this is the best EDC flashlight you can buy.",canada,"November 18, 2017",X-op,5.0,1,2020-10-27 22:26:59.956432,2020-10-27 22:27:00.094064,"Streamlight 88065 Pro Tac HL-X 1,000 Lumen Professional Tactical Flashlight with High/Low/Strobe Dual Fuel use 2X CR123A or 1x 18650 Rechargeable Li-ion Batteries and Holster",4.6,,Tools & Home Improvement,B06VTLLC13,,"#9,282 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#83 in Handheld Flashlights"
4,R210BK0BSGRFWX,True,Bottom line - it's always worked.,"This light served as my vehicle light for close to three years. Replaced the batteries once, and treated it to every imaginable horror it could face. Freezing cold -40 starts, extended runs while searching for lost tent pegs, doused in muddy water and energy drinks, rattling over dirt roads at 80 kph surrounded by loose change and tools. The anodizing has held up, and the lens remains scratch free. There's no failures on the light at all, and everything works perfect - so much that it's now been passed along to be my significant other's purse light - a task I would only let the more trusted of lights fill. There's no real chance of accidental activation, and the tailcap remains tightly screwed on. Every time I reached for that light. it worked. That simple. There's a lot of other, fancier lights out there, with higher lumen counts boasted *cough cough every budget overseas light out there cough cough* (sometimes falsely) and more crazy modes *cough cough nitecore sr7 cough cough*, but this light offers everything you need. Instant high mode, with a second low mode, and the ever present but equally useless, strobe. No mode memory means the batteries never phantom drain, *cough cough thrunight tn12 cough cough* The beam is am excellent white and flawless - a rarity for some cheap lights. All in all - this is one light that I've never second guessed once, and it's never given me a reason to.",canada,"April 21, 2015",Dylan C.,5.0,0,2020-10-27 22:27:00.100050,2020-10-27 22:27:00.208757,"Streamlight 88065 Pro Tac HL-X 1,000 Lumen Professional Tactical Flashlight with High/Low/Strobe Dual Fuel use 2X CR123A or 1x 18650 Rechargeable Li-ion Batteries and Holster",4.6,,Tools & Home Improvement,B06VTLLC13,,"#9,282 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#83 in Handheld Flashlights"
5,RKBCAMG9B82N7,True,Excellent,I love this light. Super bright with cr123. Two things though the button should not have been rounded. You cannot place the light on its end. Also the cr123 batteries like everything else in Canada are f'n expensive. Not the manufacturers fault thought and you can use aa batteries but they aren't anywhere near as bright.,canada,"October 10, 2018",Amazon Customer,5.0,0,2020-10-27 22:27:00.213744,2020-10-27 22:27:00.332427,"Streamlight 88065 Pro Tac HL-X 1,000 Lumen Professional Tactical Flashlight with High/Low/Strobe Dual Fuel use 2X CR123A or 1x 18650 Rechargeable Li-ion Batteries and Holster",4.6,,Tools & Home Improvement,B06VTLLC13,,"#9,282 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#83 in Handheld Flashlights"
6,R23QWQ0S5QIPYF,True,Very happy with my purchase,"Great torch. Very happy with it. I chose it for the reversible clip (can be cap-mounted; handy when taking it camping, or helmet mounting), and the amount of light it can put out. I'm a structural engineer so a solidly built flashlight is handy on site; I wanted something that can illuminate structure from a decent distance but still fit in my pocket.
It's support of two different battery sizes is a really nice feature too; the CR123A batter will pump out more light, but it'll also take a AA battery which you can pick up anywhere. And you can program it to default to full-power, or a reduced power (usually you only need the lower setting, saving on battery).
So far it does everything it says on the box. Very happy.",canada,"May 14, 2017",Amazon Customer,5.0,1,2020-10-27 22:27:00.337434,2020-10-27 22:27:00.447121,"Streamlight 88065 Pro Tac HL-X 1,000 Lumen Professional Tactical Flashlight with High/Low/Strobe Dual Fuel use 2X CR123A or 1x 18650 Rechargeable Li-ion Batteries and Holster",4.6,,Tools & Home Improvement,B06VTLLC13,,"#9,282 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#83 in Handheld Flashlights"
7,R1OXX51PQUGJQ2,True,Check everything before returning.,When I first inserted the batteries a label inside the battery compartment was forced down and covered the bottom terminal. After I inserted the batteries the light didn't work because I was unaware of the label in the bottom of the compartment. I asked for a refund and they were out of the product by then. A few days passed and a shone a flashlight down in the compartment and saw the label and removed it. Works great now. Notified Amazon and all is well.,canada,"December 16, 2017",Fordguy,4.0,1,2020-10-27 22:27:00.451110,2020-10-27 22:27:00.572786,"Streamlight 88065 Pro Tac HL-X 1,000 Lumen Professional Tactical Flashlight with High/Low/Strobe Dual Fuel use 2X CR123A or 1x 18650 Rechargeable Li-ion Batteries and Holster",4.6,,Tools & Home Improvement,B06VTLLC13,,"#9,282 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#83 in Handheld Flashlights"
8,R1EJ7ZX13N3K4U,True,Great product. Recommend.,"Not quite what I had imagined. Is smaller than I thought, fits into the palm of your hand. And the power of this unit far exceeded what I had expected, tried it out one morning and lit up my whole back yard. Would recommend this product.",canada,"October 6, 2017",Amazon Customer,5.0,2,2020-10-27 22:27:00.578801,2020-10-27 22:27:00.706427,"Streamlight 88065 Pro Tac HL-X 1,000 Lumen Professional Tactical Flashlight with High/Low/Strobe Dual Fuel use 2X CR123A or 1x 18650 Rechargeable Li-ion Batteries and Holster",4.6,,Tools & Home Improvement,B06VTLLC13,,"#9,282 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#83 in Handheld Flashlights"
9,R129OHJ4915F03,True,Great flashlight!,"Super durable, great idea for dual fuel, even half power with the AA is better than no light with a dead CR123, after exhausting a spare CR123 in a power failure, it was an easy choice between the TV remote and checking how deep the water was in the sump. Thanks for a great EDC product.",canada,"October 15, 2019",Glenn D Beckner,5.0,0,2020-10-27 22:27:00.712411,2020-10-27 22:27:00.842067,"Streamlight 88065 Pro Tac HL-X 1,000 Lumen Professional Tactical Flashlight with High/Low/Strobe Dual Fuel use 2X CR123A or 1x 18650 Rechargeable Li-ion Batteries and Holster",4.6,,Tools & Home Improvement,B06VTLLC13,,"#9,282 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#83 in Handheld Flashlights"
