,author_id,verified_purchase,review_title,reviews,country,date,reviewer_name,ratings,people_find_helpful,start_time,end_time,product_name,average_rating,price,total_reviews,product_category,product_id,meta_data,rank,product_image_url
0,R1WXGLH96ASF1G,True,Obsessive Reseacher EDC Approved,"I am into the whole Everyday Carry thing and I like to carry everything I need everyday while keeping it minimal.

I obsessively spent countless hours researching for the smallest, best, coolest, keychain light out there. All of my research kept pointing towards the NiteCore Tube. This is a great addition to my keyring.

The slim profile allows me to add it to my keyring without compromising the entirety of my Everday Carry. It is a rechargeable (micro-USB) and has two modes of light (dim and bright). The dim option is good when you're in absolute darkness. However, the bright option is really bright! I use it outdoors and it illuminates everything in front of me.

BATTERY: This thing is absolutely great on battery. Considering that I use this flashlight quite regularly, I have only had to charge it twice, and that's just to top up the juice. It has an incredible standby battery life that after owning it for a month, that I've only proactively charged it.

If you're looking for a really bright slim, low-profile rechargeable keychain flashlight that weighs almost nothing, this is the product for you. I spent hours researching so you don't have to. I recommend this product. If I was able to help you make your decision, let me know by saying it was Helpful!",canada,"September 3, 2016",TestDummy,5.0,15,2020-11-12 14:39:08.914716,2020-11-12 14:39:09.186479,NiteCore Tube Keychain Light T Series 45 Lumen Multi Color Pocket Flashlight,3.9,20.11,,Tools & Home Improvement,B06ZZ65855,"{'product dimensions': '14 x 8.5 x 1.5 cm; 20 Grams', 'batteries': '1 CR2 batteries required. (included)', 'item model number': 'Tube-G', 'is discontinued by manufacturer': 'No', 'color': 'Green', 'bulb type': 'LED', 'material': 'Plastic', 'power source': 'Battery', 'included components': 'Pocket Flashlight (Green)', 'batteries included?': 'Yes', 'brand': 'Nitecore', 'item weight': '20 g'}","#20,482 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#216 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51067T3GZgL._AC_SX425_.jpg
1,R11ETSFRTQ4NZ5,True,It's a very nice product but mine stopped working after about 6 months ...,"It's a very nice product but mine stopped working after about 6 months of use, still well under warranty. Nitecore claims a one year warranty which they don't honour unless you want to send your item to China for repairs rather than just replace the defective item which is still under warranty. Nitecore claims all warranty issues must be done through the vendor you purchased from which is total crap. Luckily, Amazon rectified the issue in less than 5 minutes (even know they also claimed this is a Nitecore issue). I will never recommend any Nitecore products because good luck dealing with their customer service. Nitecore take notes from Amazon's customer service!!!",canada,"April 29, 2017",Peter,1.0,13,2020-11-12 14:39:09.190474,2020-11-12 14:39:09.450603,NiteCore Tube Keychain Light T Series 45 Lumen Multi Color Pocket Flashlight,3.9,20.11,,Tools & Home Improvement,B06ZZ65855,,"#20,482 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#216 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51067T3GZgL._AC_SX425_.jpg
2,R1RFI31Q9Q0I0Y,True,The BEST overall keychain light I have ever owned!,"This is my 5th NiteCore Tube. I have loved owning quality flashlights over the years and have always yearned for a VERY long standby battery life with Very durable shell and bright enough for camping, walking and reading when necessary. Just over $10 Canadian this light has a poly-carbonate shell (practically indestructible and pocket with keys approved!) It has 2 default modes (low and high) as well as the ability to adjust the brightness infinitely. The most important aspect is the ability for the light to stay OFF under all circumstances. There is a lockout mode that does just that! At just 9 grams of weight - this thing is AMAZINGLY light and provides a surprisingly large amount of light output for it's size. 45 minutes on max brightness is easily achievable (without burning your hand) and even as the light ages past 2 years and 24+ hrs on low for an all-night nightlight when camping.
If you are looking for the bragging rights for the brightest light in the world - there is brighter available - however I would put this light up against lights costing 4X as much in the same size class. We have used this on Drones, Frisbees and even as a carabiner for your zipper on your jacket. If I had a reason - I would buy even more.",canada,"July 28, 2020",Radman,5.0,0,2020-11-12 14:39:09.470430,2020-11-12 14:39:09.723840,NiteCore Tube Keychain Light T Series 45 Lumen Multi Color Pocket Flashlight,3.9,20.11,,Tools & Home Improvement,B06ZZ65855,,"#20,482 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#216 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51067T3GZgL._AC_SX425_.jpg
3,R3873WKLEG0MUG,True,"Avoid the knock-offs, get the real thing.","There are knock-offs and this is not it.

This is a very good light for attaching to your keychain. Multiple light levels with easy access to the dimmest (one-click) and the brightest (double-click). Battery lasts a good amount of time and easily charges with the micro-USB socket in the side.

Its well built and sturdy for its size. It doesn't flex when bending and has a proper metal tab for hooking into your keychain. I got the clear version as I like being able to see all the electronics.

My favourite part is that it doesn't have the stupid lighting modes that many flashlight manufactures 'throw-in'. Think SOS and strobe mode. Why?",canada,"March 17, 2017",Ryan F,5.0,2,2020-11-12 14:39:09.731827,2020-11-12 14:39:09.992107,NiteCore Tube Keychain Light T Series 45 Lumen Multi Color Pocket Flashlight,3.9,20.11,,Tools & Home Improvement,B06ZZ65855,,"#20,482 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#216 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51067T3GZgL._AC_SX425_.jpg
4,RHE5R1JH7WWZ1,True,Inexpensive Source of Light,"I used a mini flashlight hanging on my keychain for a long time. The flashlight was barely adequate for my needs and the twist activation annoyed the piss out of me. The Nitecore tube is a great little keychain - it's about the size of a house key and weighs much less than an average flashlight. (No, I don't have a jewelry scale to measure...) This keychain light has four modes - momentary on (45 lumens), low (1 lumen), high (45 lumens), and step up.

The low mode is perfect for nighttime raids on the bathroom or for finding stuff in a dark purse. The momentary on (45 lumens) is seriously bright enough to left after images on my eyes for about 10 minutes.

I've left the flashlight on high and it only noticeably dims after 45 minutes. Pretty good for a flashlight that's always being carried.

I find that I'm using this flashlight every day. Being rechargeable means that I can flaff about with the batteries without it failing.

The only niggle I have with this product is that the usb cover feels flimsy and is hard to get out of the slot. Use a fingernail to pry it open or a sharp/flat object.",canada,"December 22, 2015",The Canadian Cosplayer,5.0,3,2020-11-12 14:39:10.004090,2020-11-12 14:39:10.297853,NiteCore Tube Keychain Light T Series 45 Lumen Multi Color Pocket Flashlight,3.9,20.11,,Tools & Home Improvement,B06ZZ65855,,"#20,482 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#216 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51067T3GZgL._AC_SX425_.jpg
5,R32WQ3Y71ZCW7I,True,Vraiment surprenant !,"Toujours dans ma poche, je m'en sert constamment.
Le réglage haut niveau est impressionnant dans un aussi petit bidule.
Se recharge rapidement.
Très pratique.
---------------------------------
Révision du commentaire le 15 août 2019.
Oui j'adorais cette lampe de poche MAIS elle vient de me lâcher 4 mois plus tard.
Elle s'allume et s'éteint toute seule au bout de quelques secondes ou clignote.
Elle n'a pas été cogné ni échappée ni plongée dans l'eau.
Quel dommage que ce ne soit pas mieux fabriqué.",canada,"June 15, 2019",Réal Philippon,5.0,0,2020-11-12 14:39:10.313509,2020-11-12 14:39:10.553442,NiteCore Tube Keychain Light T Series 45 Lumen Multi Color Pocket Flashlight,3.9,20.11,,Tools & Home Improvement,B06ZZ65855,,"#20,482 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#216 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51067T3GZgL._AC_SX425_.jpg
6,R238MEVTD7LFGN,True,Nice Keychain Flashlight,"I'm genuinely surprised as to how small and light this flashlight is. It's the size of a house key being about 2 inches in length. Being USB rechargeable is another great plus for this flashlight. Also at 45 lumens, this keychain flashlight is bright enough to light up your dark room and is enough light for close up tasks and for searching for those items in between furniture. The 1 lumen mode is perfect for preserving dark-adapted vision. I believe this is a must have flashlight for everyone as you can't go wrong with its size. It will save your phone's battery along with providing you with a brighter and more reliable light than that of your smartphone's. It also makes a great back-up light for those who are already carrying a larger 18650 EDC flashlight since it will always be on your keys when you leave home.

The Nitecore Tube does not come with the Micro USB cable to charge it, however since it is a common cable, the exclusion of it probably was done to lower costs.

Pros:
Keychain-friendly
Very Small and Lightweight
Bright for its size
USB rechargeable
Adjustable Brightness

Cons:
Does not include Micro USB Cable.",canada,"July 19, 2016",Cuyut,5.0,1,2020-11-12 14:39:10.565471,2020-11-12 14:39:10.825080,NiteCore Tube Keychain Light T Series 45 Lumen Multi Color Pocket Flashlight,3.9,20.11,,Tools & Home Improvement,B06ZZ65855,,"#20,482 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#216 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51067T3GZgL._AC_SX425_.jpg
7,R13XLJGP7CQW5Y,True,"Disposable, overpriced junk","It's small, light, keychainable in a pinch. Is it worth it? In a word: no.

1. It runs off a non-replaceable Li-ion battery. Battery goes dead? The whole thing needs to be replaced. This whole Apple-esque philosophy needs to go.
2. The rubber flap covering the micro-USB charging port often gets in the way and doesn't like being put back into its place. Besides offering *no* actual protection against water damage!

I've actually gone back to my last-surviving LRI Photonlight (red with covert housing) after killing this Tube with a trip to the washer. Replace the CR2032 on the Photonlight and it works again! Way better than this.",canada,"July 31, 2018",ritualm,2.0,0,2020-11-12 14:39:10.837063,2020-11-12 14:39:11.155792,NiteCore Tube Keychain Light T Series 45 Lumen Multi Color Pocket Flashlight,3.9,20.11,,Tools & Home Improvement,B06ZZ65855,,"#20,482 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#216 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51067T3GZgL._AC_SX425_.jpg
8,R2UIBMP4J2XQRT,True,You won't find anything more bright or tougher in such ...,"You won't find anything more bright or tougher in such a thin lightweight package, or at least not without paying 5x more. ⭐⭐⭐⭐⭐⭐

Update: over a year later, one that i bought the battery is almost dead from too much use. The second one i bought 2 weeks later stated developing massive button issues. Both are now in the garbage. Each failed not long after the 1 year warranty was up. Rats! I was however fairly abusive on these lights, used 20 to 40 times per day doing all sorts of projects, swam in the lake with them, slept on them, etc, etc, etc.
Conclusion, if you want the perfect compact light, buy this, but dont expect a long life.",canada,"June 17, 2017",A.D.,5.0,0,2020-11-12 14:39:11.167778,2020-11-12 14:39:11.359914,NiteCore Tube Keychain Light T Series 45 Lumen Multi Color Pocket Flashlight,3.9,20.11,,Tools & Home Improvement,B06ZZ65855,,"#20,482 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#216 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51067T3GZgL._AC_SX425_.jpg
9,RUZOOV2BHG1MH,True,A well designed product!,"The size is right - not too large to be a nuisance on your key ring. The materials (polycarbonate) and construction are good. The button works well and the micro USB charging port is well sealed from dirt/moisture. A blue LED shows charging and goes out when complete. There several useful modes for the light and thankfully, the now seemingly mandatory SOS and strobe are not included! Press and hold for the 45 lumen mode. Press & release once for the low 1 lumen mode which is nice for looking for a keyhole or in movie theater (won't disturb anyone with a blast of light). Two presses is standard 45 lumens, press once and release and press and hold for variable output - interesting but not something I use. And the very useful press once - wait a couple of seconds and press and hold for 4 seconds - it will flash once and turn off. This locks the light from accidentally being turned on while in your pocket etc. To unlock, press and hold the button for 4 seconds - the light will turn in at 45 lumen level. Nothing worse than thinking you have a light to only find its discharged/dead!

Watch for fakes! The fakes have small batteries and lack the IP65 water resistance.",canada,"December 10, 2017",IAMC,5.0,0,2020-11-12 14:39:11.379708,2020-11-12 14:39:11.627219,NiteCore Tube Keychain Light T Series 45 Lumen Multi Color Pocket Flashlight,3.9,20.11,,Tools & Home Improvement,B06ZZ65855,,"#20,482 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#216 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51067T3GZgL._AC_SX425_.jpg
