,author_id,verified_purchase,review_title,reviews,country,date,reviewer_name,ratings,people_find_helpful,start_time,end_time,product_name,average_rating,price,total_reviews,product_category,product_id,meta_data,rank,product_image_url
0,R1Q2QTH6VLPRYL,True,Exceeded expectations,"After 30 years in EMS, often working disasters at night, I’m an LED fanatic. This baby exceeds my expectations.

Build is solid, just as described. Even the case, many of which are junk, is solidly built, well thought out. I got the 5000k model because I didn’t contact seller to request cooler tone (6000K). Still, tone is better (for my eyes) than other 5000 LED’s I have & this can be a present to one of my EMS crew as most prefer warmer anyway. Shipped correctly & fast.

When they found I preferred cooler model, they called me! Offered to work with me in any way needed- GREAT CUSTOMER SERVICE!
They also discussed other models & were knowledgeable about LED’s, batteries, EMS needs. If I had a problem, the vender, Colonel Mustard would make it right. Just outstanding. They were also $20 less than other vendors.

The light is in my pocket now, not too big at all. Operation is intuitive with easy access to blinding 4000 lumins. Good throw from smooth reflector (200-300 meters) yet retains plenty of spill. My trusty O-light M2 Warrior will be retired. Oh, and the 1 lumin mode is perfect for checking eyes & retaining night vision.",canada,"August 29, 2018",Det,5.0,0,2020-11-12 15:32:38.599926,2020-11-12 15:32:38.753763,"ACEBEAM L30 Gen II Tactical Flashlight 4000 Lumens Cree XHP70.2 LED Micro-USB Rechargeable Flashlights High Lumens, 6500K",4.2,,,Tools & Home Improvement,B075TYB67V,"{'manufacturer': 'ZENBON', 'part number': 'L30-1X', 'product dimensions': '16.26 x 4.83 x 2.54 cm; 500 Grams', 'batteries': '1 Lithium ion batteries required. (included)', 'item model number': 'L30-1X', 'is discontinued by manufacturer': 'No', 'colour': 'Black', 'material': 'Aluminum', 'power source': 'Battery-powered', 'item package quantity': '1', 'type of bulb': 'LED', 'batteries included?': 'Yes', 'batteries required?': 'Yes', 'battery cell type': 'Lithium Ion', 'item weight': '500 g'}","#218,165 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,983 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71DawSuv6qL._AC_SY355_.jpg
1,RR3WJ1ADG3IR2,True,Product description is wrong (title it correct),"bought this thinking it was the L30 gen 2 as per the product description. It is not, and I'm not sure I want to keep the gen 1. Returned it and went elsewhere as I could spend a little more and get the 2nd generation model!

Gave it 2 stars because the description is wrong and is not what I wanted! I now have a 2nd gen one, bought through another seller, and would give it 5 stars as a first impression! really powerful, larger battery than 1st gen, and feels like a solid build!",canada,"May 12, 2019",Ryan,2.0,0,2020-11-12 15:32:38.758232,2020-11-12 15:32:38.874126,"ACEBEAM L30 Gen II Tactical Flashlight 4000 Lumens Cree XHP70.2 LED Micro-USB Rechargeable Flashlights High Lumens, 6500K",4.2,,,Tools & Home Improvement,B075TYB67V,,"#218,165 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,983 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71DawSuv6qL._AC_SY355_.jpg
2,R1DJZO8TFKTEPX,True,It is a good quality Tactical Flashlight,I just got one so I still have to get used to it. Pros...It is a good quality Tactical Flashlight. I live and work in the country in Security. I like the throw on this light and meets all of my expectations. I can get excellent visibility out to about 100 to 200 yards. over that not so good. So it doesn't live up to the hype of 300yards. That's okay with me as I was skeptical anyways. Feels good in your hands and works as advertised. Cons....Had it strapped to my web belt and it has several problems with it . 1) the flap for USB charging catches when you place it the holder. I don't expect it to last long before it pulls out. 2). I have had it turn on several times while on my belt due to the design of the switch. Its not recessed enough into the body. It has a lockout but the feature seems a bit of a hassle. 3). You have to fumble around to locate the switch as it smooth against the body and difficult to locate if you are in the dark and going by feel. mentally reference it to the opposite side of the clip. I took it off my belt and put it in a side pocket on my jacket where it fits nicely and is more convenient with less chance of it turning on by itself. The charging LED is a handy feature and is conveniently located by the USB port... Hopefully I will never have to use the Strobe or Turbo mode for self defense but I am confident that in close quarters it is up to the task. Overall a good product and I am not sorry I bought it although it is a little pricey due to the switch.,canada,"January 14, 2018",Robert Lefurgey,4.0,0,2020-11-12 15:32:38.879603,2020-11-12 15:32:38.980589,"ACEBEAM L30 Gen II Tactical Flashlight 4000 Lumens Cree XHP70.2 LED Micro-USB Rechargeable Flashlights High Lumens, 6500K",4.2,,,Tools & Home Improvement,B075TYB67V,,"#218,165 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,983 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71DawSuv6qL._AC_SY355_.jpg
3,RX60W4RG9P79K,True,Overpriced novelty junk,"This is just a novelty item. I liked how bright it was when I first got it. I don't like the fact that after a few uses, it doesn't charge and only runs when plugged in. This is a torch to show your friends early in its lifespan, not something to be relied on.",canada,"December 3, 2018",Zak,1.0,1,2020-11-12 15:32:38.999296,2020-11-12 15:32:39.130794,"ACEBEAM L30 Gen II Tactical Flashlight 4000 Lumens Cree XHP70.2 LED Micro-USB Rechargeable Flashlights High Lumens, 6500K",4.2,,,Tools & Home Improvement,B075TYB67V,,"#218,165 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,983 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71DawSuv6qL._AC_SY355_.jpg
4,R2ZHUHW2K772L1,True,"It's bright, it's rechargable, it doesn't have a focus for the beam","Yup it's bright. Yup it's rechargeable, no there is not a focus on the reflector. Six months in, I still really dig this light.",canada,"December 18, 2018",Shayne Johnson,5.0,0,2020-11-12 15:32:39.136766,2020-11-12 15:32:39.252528,"ACEBEAM L30 Gen II Tactical Flashlight 4000 Lumens Cree XHP70.2 LED Micro-USB Rechargeable Flashlights High Lumens, 6500K",4.2,,,Tools & Home Improvement,B075TYB67V,,"#218,165 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,983 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71DawSuv6qL._AC_SY355_.jpg
5,R20JOACZCQXEUC,True,great lamp,4000 lumens of pure power :) its like daylight,canada,"September 6, 2018",adis,5.0,0,2020-11-12 15:32:39.257486,2020-11-12 15:32:39.370546,"ACEBEAM L30 Gen II Tactical Flashlight 4000 Lumens Cree XHP70.2 LED Micro-USB Rechargeable Flashlights High Lumens, 6500K",4.2,,,Tools & Home Improvement,B075TYB67V,,"#218,165 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,983 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71DawSuv6qL._AC_SY355_.jpg
6,R2XBUO5XQA0SLV,True,Epic!!,Epic!!,canada,"August 26, 2018",Elmocall911,5.0,0,2020-11-12 15:32:39.375564,2020-11-12 15:32:39.491560,"ACEBEAM L30 Gen II Tactical Flashlight 4000 Lumens Cree XHP70.2 LED Micro-USB Rechargeable Flashlights High Lumens, 6500K",4.2,,,Tools & Home Improvement,B075TYB67V,,"#218,165 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,983 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71DawSuv6qL._AC_SY355_.jpg
7,R2AM82S4IXFB3U,True,2x Defekt nach wenigen Tagen,"Ich habe jetzt zum zweiten Mal diese Lampe gekauft, da sie sich einfach nicht mehr einschalten lies, obwohl der Akku vollgeladen war.

Leider gibt es von AceBeam kein Richtiges Beiblatt, woran dies liegen kann.

Die Erste Taschenlape hat eine ganze Woche funktioniert. Die zweite Lampe hat es einen ganzen Tag geschafft.

Ich bin sehr enttäuscht darüber, dass eine Taschenlampe die so teuer ist auch so fehleranfällig ist. Ich werde nun definitiv auf einen Hersteller umsteigen. Eigentlich sehr schade, da die Lampe ein sehr helles Licht liefert. Nur bringt das nichts, wenn die Lebensdauer der Lampe so gering ist. Ich hoffe nur, dass die Rückerstattung nun Problemlos abläuft, da 240€ schon viel Geld sind.

Auch der Kundenservice von AceBeam ist in Deitschland kaum erreichbar.",germany,"July 7, 2018",David,1.0,0,2020-11-12 15:32:39.496547,2020-11-12 15:32:39.635852,"ACEBEAM L30 Gen II Tactical Flashlight 4000 Lumens Cree XHP70.2 LED Micro-USB Rechargeable Flashlights High Lumens, 6500K",4.2,,,Tools & Home Improvement,B075TYB67V,,"#218,165 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,983 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71DawSuv6qL._AC_SY355_.jpg
8,R2963M5MVA6BG0,True,Good torch but some safety concerns to consider,The torch is extremely bright but doesn’t have the long distance range I had hoped for. It also gets dangerously hot if left turned on for any length of time. This is somewhat disconcerting as it was my granddaughters who first noticed how hot it was.,the united kingdom,"February 13, 2019",Martyn,3.0,0,2020-11-12 15:32:39.641009,2020-11-12 15:32:39.771506,"ACEBEAM L30 Gen II Tactical Flashlight 4000 Lumens Cree XHP70.2 LED Micro-USB Rechargeable Flashlights High Lumens, 6500K",4.2,,,Tools & Home Improvement,B075TYB67V,,"#218,165 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,983 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71DawSuv6qL._AC_SY355_.jpg
9,R4S63BIRGZDX4,True,Wow! Was für eine Lichtleistung!,"Erstaunlich, was heute dank LED-Technik an Lichtleistung aus so einer recht kleinen und handlichen Taschenlampe herauszuholen ist. Als ich die Lampe erstmals nachts in meinem Garten ausprobiert habe, hat es mich fast umgehauen. Wie Flutlicht! Ich habe bei mir unter hohen Bäumen zur gelegentlichen Kronenausleuchtung einen 2000 Watt-Fluter installiert - und da steht die Acebeam L30 keinesfalls hinter zurück!
Die Bezeichnung ""Taschen""-lampe ist hier so gerade noch gerechtfertigt. Ansonsten gibt's ja den Gürtelholster. Ich weiß nicht warum diese Tasche von vielen anderen Rezensoren hier so niedergemacht wird. Auf mich macht sie einen hochwertigen und sehr stabilen Eindruck. Wohl kaum kaputtzukriegen.
Einzigster Wermutstropfen: diese enorme Lichtleistung hält nicht allzu lange an, dann fährt die Lampe ihre Leistung auf die Hälfte zurück. Aber trotzdem super! Wer eine länger andauernde hohe Lichtleistung benötigt, muss dann wohl auf eine wesentlich größere und unhandlichere Lampe mit drei Akkus zurückgreifen. Ein Zweitakku in Reserve wäre ja auch eine Lösung.",germany,"September 23, 2018",F.N.,5.0,0,2020-11-12 15:32:39.776671,2020-11-12 15:32:39.896900,"ACEBEAM L30 Gen II Tactical Flashlight 4000 Lumens Cree XHP70.2 LED Micro-USB Rechargeable Flashlights High Lumens, 6500K",4.2,,,Tools & Home Improvement,B075TYB67V,,"#218,165 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#1,983 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71DawSuv6qL._AC_SY355_.jpg
