,author_id,verified_purchase,review_title,reviews,country,date,reviewer_name,ratings,people_find_helpful,start_time,end_time,product_name,average_rating,price,total_reviews,product_category,product_id,meta_data,rank,product_image_url
0,R7CC4DEA4KEZ9,True,No charge cable,"No charge cable included
Box was opened",canada,"January 18, 2020",Larry Wellspring,3.0,0,2020-11-12 14:21:56.367042,2020-11-12 14:21:56.637012,"Nitecore TINI 380 Lumens USB Rechargeable Keychain Flashlight with Lumen Tactical Charging Cable - Available in 7+ Colors, Aluminum, Copper or Stainless Steel",4.3,53.19,,Tools & Home Improvement,B076QJMK4X,"{'product dimensions': '4.32 x 2.54 x 1.14 cm; 13.32 Grams', 'batteries': '1 Lithium ion batteries required. (included)', 'manufacturer reference': '43239-15388', 'is discontinued by manufacturer': 'No', 'color': 'Black', 'height': '0.45 inches', 'length': '1.7 inches', 'weight': '13 Grams', 'width': '1 inches', 'bulb type': 'LED', 'material': 'Aluminum alloy', 'power source': 'Rechargeable-battery', 'batteries included?': 'Yes', 'brand': 'Nitecore', 'item weight': '13.3 g'}","#321,393 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,878 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61926NzFh4L._AC_SX425_.jpg
1,R2AI82CS6X7SJX,True,"Great Key chain Flashlight, but didn't receive USB charging cable!",Didn't receive USB charging cable as stated in product description.,canada,"January 19, 2020",Kurt,2.0,0,2020-11-12 14:21:56.648513,2020-11-12 14:21:56.831948,"Nitecore TINI 380 Lumens USB Rechargeable Keychain Flashlight with Lumen Tactical Charging Cable - Available in 7+ Colors, Aluminum, Copper or Stainless Steel",4.3,53.19,,Tools & Home Improvement,B076QJMK4X,,"#321,393 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,878 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61926NzFh4L._AC_SX425_.jpg
2,R1RFU0WOU8R100,True,Four Stars,Expensive but good,the united kingdom,"February 27, 2018",Carl,4.0,0,2020-11-12 14:21:56.838182,2020-11-12 14:21:57.013675,"Nitecore TINI 380 Lumens USB Rechargeable Keychain Flashlight with Lumen Tactical Charging Cable - Available in 7+ Colors, Aluminum, Copper or Stainless Steel",4.3,53.19,,Tools & Home Improvement,B076QJMK4X,,"#321,393 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,878 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61926NzFh4L._AC_SX425_.jpg
3,R20CPHZBVMPUA0,True,"Super Bright Tiny Light, but it's not waterproof","I always carry two lights - a big one for daily use and a tiny one as a backup. You never know when your big light will fail. So I was very pleased that Nitecore put together this minuscule half-ounce powerhouse of a flashlight. It's good enough to use as a daily light while being only half the size of a Bic lighter.

The 380 lumen turbo mode is activated as long as you hold the top button. Three other well-spaced light levels are available by holding the bottom button for 2 seconds. You switch between the levels by tapping the top button. The light remembers the level between activations, so if you turn it off on low, it turns on in low. The lowest light level is more than enough to read by, and with 2-1/2 days of run-time it's like the Energizer bunny. If you tap the top button while the light is off, it flashes the battery level - once for +25%, twice for +50%, and three times for +75%.

The beam pattern gives a smooth 170-degree flood pattern with an evenly bright spot about one foot wide at 3-feet. It has a nice linear fall off from there and no color fringes. The light color of the CW version is essentially the same as a standard florescent lamp.

I gave it 5 stars, but there are a two negatives. It has turned on in my pocket several times. I have to leave it in demo mode, which automatically turns off the light after 30 seconds. At least it's easy to shift to normal mode by pressing both buttons for two seconds, but I wish Nitecore would change the turn on behavior. Instead of having to press the ON button for two seconds, make it three quick presses in less than a second. That should stop accidental activation and significantly speed up the turn-on time.

The second reason is that this light is only water resistant, not waterproof, which means if you fall in the pool with it, it's probably not going to end well for the light. If my cell phone can be waterproof, I don't know why this little light can't pull off the same feat. Now everything in my daily carry is waterproof, so this light can't be the exception. I keep it in a waterproof sleeve I made from two pieces of heat-shrink tubing.

If you are looking for an unobtrusive backup light for your everyday carry, this is a great candidate for it's price, size, and performance. If the folks at Nitecore keep innovating like this, I will keep buying their products.",the united states,"January 20, 2018",J. Okamura,5.0,0,2020-11-12 14:21:57.020795,2020-11-12 14:21:57.199852,"Nitecore TINI 380 Lumens USB Rechargeable Keychain Flashlight with Lumen Tactical Charging Cable - Available in 7+ Colors, Aluminum, Copper or Stainless Steel",4.3,53.19,,Tools & Home Improvement,B076QJMK4X,,"#321,393 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,878 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61926NzFh4L._AC_SX425_.jpg
4,R3E0M6PO08IAIF,True,Better than previous keychain lights by nitecore,The main problem with the other models of nitecore keychain lights was that they kept coming on while inside my pocket. Battery life would drain and you’re left with a dead battery. This model does not seem to have that problem. You need to push the button for 2 seconds before the light activates. Much less chance of accidentally activating the light. My only negative thing I have to say is that the light is not as bright as my previous nitecore keychain light that was actually rated at lower lumens. Don’t get me wrong... this is still an extremely bright light that will amaze anyone standing around when they see it came from a keychain light. It’s also much smaller than the previous models too. 👍🏼,the united states,"May 28, 2018",Mike S.,5.0,0,2020-11-12 14:21:57.205359,2020-11-12 14:21:57.351406,"Nitecore TINI 380 Lumens USB Rechargeable Keychain Flashlight with Lumen Tactical Charging Cable - Available in 7+ Colors, Aluminum, Copper or Stainless Steel",4.3,53.19,,Tools & Home Improvement,B076QJMK4X,,"#321,393 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,878 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61926NzFh4L._AC_SX425_.jpg
5,R2IGBAD6E0Y4A4,True,I love it BUT...,"I love it BUT... This little light would be perfect if it had a small switch to lock the light so it wouldn't come on in ones pocket. If this light is in your pocket along with other things like keys, this light will be turned on, and when you need to use it; the battery will be dead. It's too bad Nitecore didn't think of that and include a lockout switch. So, only 3 stars because of the light not being practical for pocket carry.",the united states,"December 24, 2017",John Campbell,4.0,0,2020-11-12 14:21:57.357504,2020-11-12 14:21:57.506394,"Nitecore TINI 380 Lumens USB Rechargeable Keychain Flashlight with Lumen Tactical Charging Cable - Available in 7+ Colors, Aluminum, Copper or Stainless Steel",4.3,53.19,,Tools & Home Improvement,B076QJMK4X,,"#321,393 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,878 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61926NzFh4L._AC_SX425_.jpg
6,R2IDZ1TP230D0L,True,Amazing little light.,"Amazing little flashlight. It has three brightness levels plus the extra bright ""turbo"" mode. It charges with a USB cable which is included by the seller as it's packed separately from the flashlight. You hold the power button for two seconds. This helps to prevent it from turning on and remaining on while in your pocket. The mode button activates ""turbo"" which only stays on while you hold the button. While charging the the buttons will flash ib blue. When the battery gets low the buttons will flash to let you know it's time for a charge. I haven't run it through a full cycle yet. It's all on the instruction sheet which explains the operation fully.

Well, now that I've had it for while I find it gets turned on in my pocket sometimes and if you don't see your pocket illuminating you will feel it getting hot. So I'm not so happy with this light any more. I'll look for something that doesn't get turned on by itself (different type of switch).",the united states,"April 2, 2018",Mike C.,3.0,0,2020-11-12 14:21:57.512233,2020-11-12 14:21:57.687947,"Nitecore TINI 380 Lumens USB Rechargeable Keychain Flashlight with Lumen Tactical Charging Cable - Available in 7+ Colors, Aluminum, Copper or Stainless Steel",4.3,53.19,,Tools & Home Improvement,B076QJMK4X,,"#321,393 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,878 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61926NzFh4L._AC_SX425_.jpg
7,R284YAH8C1CJXP,True,What a disappointment! I want a TIP instead.,"I bought this light to replace my NITECORE TIP. I used my TIP in a dark room to light stuff up obviously because it is a flashlight. My TIP was instant on/off and when i need to read something it was fast. This light is not instant, it has a 2-3 second delay before the light comes on. It may not be a problem for most but makes this a piece of crap to me. I bought the copper unit and it looks great. But this 2-3 second delay before the light comes on is ridiculous. Aside from the delay it is a nice unit but my recommendation is a TIP. The extra battery life and smaller size is not worth the trade off for the crappy programming of the switch.",the united states,"October 2, 2018",Alex Gore,1.0,0,2020-11-12 14:21:57.694987,2020-11-12 14:21:57.837770,"Nitecore TINI 380 Lumens USB Rechargeable Keychain Flashlight with Lumen Tactical Charging Cable - Available in 7+ Colors, Aluminum, Copper or Stainless Steel",4.3,53.19,,Tools & Home Improvement,B076QJMK4X,,"#321,393 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,878 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61926NzFh4L._AC_SX425_.jpg
8,RSXDQ7XX8HNWG,True,"Nice light, but overpriced considering the features it lacks.","Purchased to replace my Manker LAD, which disappointingly died after 1 year with light use. The LAD had red lights as well as white, strobe/SOS/beacon function - Nitecore should add this to be competitive. Turbo mode cannot be left on - you can only use it while holding down a button.

One nice feature is that you can use it while it is being charged.

The owner's manual lists the USB charging cable as a semi-rigid, flexible type - the sort that would have been useful if using this light while working on a laptop in the dark and simultaneously powering/charging it with the USB port on the laptop, as it allows you to ""stand"" the light up and aim it in any direction, which the Tini could do because it is so lightweight. However, Nitecore instead sends it with a short, cheap charging cable, in a separate package, indicating that they intended to manufacture and ship it with a better cable but changed their minds. This is disappointing.",the united states,"February 2, 2018",D,4.0,0,2020-11-12 14:21:57.843690,2020-11-12 14:21:57.994826,"Nitecore TINI 380 Lumens USB Rechargeable Keychain Flashlight with Lumen Tactical Charging Cable - Available in 7+ Colors, Aluminum, Copper or Stainless Steel",4.3,53.19,,Tools & Home Improvement,B076QJMK4X,,"#321,393 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,878 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61926NzFh4L._AC_SX425_.jpg
9,RA231F2BHCSJA,True,Another great leap in keychain lights from Nitecore.,"Wow. Just when you thought Nitecore couldn't up their game after the TIP series... These light are really not much bigger than the button battery plastic Protons. They put out an amazingly bright, well diffused beam. They really couldn't be any smaller and still be easy to operate with human hands. There is a 2 second delay before the light comes on after you push the button but I personally do not find this to be an issue. If you need quicker light, there is a half second delay when you push and hold the mode button before the very bright turbo mode comes on. It goes off as soon as you release the button and this too is a feature to prevent accidental discharge which was an initial problem for the Tip series. There is now a small rubber insert over the charging port to improve waterproofness, but looks like great care should be exercised in order not to damage it. As with the previous model I don't believe the color finish will last very long jiggling around in you pocket with your keys, but the metal is strong enough to resist any real damage. Is it perfect? No. But it represents a real value at its price and Nitecore deserves praise for its design efforts and continuing improvement of this concept.",the united states,"December 1, 2017",Steven Schwartz,5.0,0,2020-11-12 14:21:57.999968,2020-11-12 14:21:58.149314,"Nitecore TINI 380 Lumens USB Rechargeable Keychain Flashlight with Lumen Tactical Charging Cable - Available in 7+ Colors, Aluminum, Copper or Stainless Steel",4.3,53.19,,Tools & Home Improvement,B076QJMK4X,,"#321,393 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,878 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61926NzFh4L._AC_SX425_.jpg
10,RMVKN2NFONOW9,True,Noisy Cricket of the Flashlight World.,"The light is BRIGHT!
The copper is ACTUALLY COPPER!
The weight is A BIT DISAPPOINTING. It is feather light.
The UI is PRETTY GOOD. Just don't forget to hold both buttons down at the same time or else it will stay in display mode where it will only stay switched on for like 20 seconds and then shut off.
The fit and finish is LACKING - The silver plastic is a terrible choice and the buttons just don't do it for me. You can see a gang of photons leaking out through cracks in the body where things aren't lining up like proper NITECORE things should.
The battery life is GREAT.
USB Charging is NOT MY CUP OF TEA BUT WOULD PROBABLY WORK REALLY WELL FOR MOST EDC NEEDS.
I would also like to say that turbo mode on this thing is REALLY, REALLY BRIGHT.

This is a nice keychain light and any complaints of mine are essentially negated by the price.",the united states,"June 28, 2018",Emily,4.0,0,2020-11-12 14:22:00.326104,2020-11-12 14:22:00.543483,"Nitecore TINI 380 Lumens USB Rechargeable Keychain Flashlight with Lumen Tactical Charging Cable - Available in 7+ Colors, Aluminum, Copper or Stainless Steel",4.3,53.19,,Tools & Home Improvement,B076QJMK4X,,"#321,393 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,878 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61926NzFh4L._AC_SX425_.jpg
11,R25U5JAL6AYR4C,True,Wonderful light but fatal operational flaw. Not for me.,"I have carried the Nitecore TIP for a long time and consider it one of the BEST small lights available. I thought I would also try the smaller TINI 360, and ordered two - one for myself and one for a gift. Well. As for the performance of this little light, it is superb after you get used to holding the ""ON' button down for a few seconds before the light actually illuminates. The levels of brightness and the internal battery life make this an exceptionally nice piece of gear. HOWEVER- it will never be an EDC for me. REASON- the two very very tiny buttons which control on/off and brightness levels, are so close together that it is all too easy to hit both at once, without even realizing it. Why does this matter? Well- if you hit both at once, the light goes into a 'demo mode'- which means that after 30 seconds, the light goes off. Dark. Not good. Now, it IS easy to get it back to the operational mode by holding both buttons down until the light flashes twice. THEN you can use it as you intended to. I am not certain why this feature was built in, and I know of no way to disable it - which would be great! But as it is, if youa re in any critical situation - working under the hood of a car at night looking for a leak, walking through a totally dark house, whatever - having the light unexpectedly turn off, then having to have the presence of mind to hold both buttons down and wait for the two flashes, then pressing the on button and waiting those few more seconds for it to light- it is nust not something I am comfortable relying on. So if, knowing these details, you opt for this little micro-light, go for it. For me, I am staying with the slightly larger but utterly dependable TIP.",the united states,"November 25, 2019",J3,3.0,0,2020-11-12 14:22:00.549609,2020-11-12 14:22:00.699259,"Nitecore TINI 380 Lumens USB Rechargeable Keychain Flashlight with Lumen Tactical Charging Cable - Available in 7+ Colors, Aluminum, Copper or Stainless Steel",4.3,53.19,,Tools & Home Improvement,B076QJMK4X,,"#321,393 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,878 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61926NzFh4L._AC_SX425_.jpg
12,RX9YBM1KRG6VT,True,I have a new EDC light,"I have carried a Foursevens Preon, with 10440 LiIon. This combo outputs close to the same output as the TINI, but the 10440 requires a dedicated external charger, and there's no over-discharge protection, so I've killed bunches of those cells. It's a hassle.

The TINI is smaller and lighter than the Preon, it has more modes, a better UI, and is more ergonomic in every way. No brainer.

Still, there are some things not to love about the TINI.
1. I hate mode memory. It means when you turn it on you never know what level it will come on at, it'll be whatever level you left it at, probably days or weeks ago.
2. There is a substantial delay from the time you begin pressing the power button to the time the light comes on. This is understandable, so as to avoid accidental power-on in your pocket, nonetheless, it's an annoyance.

(Semi-)instant-on turbo mode is great, though.

I like the tint of the Preon better, and the beam shape, but you know what, I don't obsess about those things anymore. I just need to see, and I can't be hassled with unprotected 10440's and external chargers, anymore. I'm super happy with my new EDC light.",the united states,"January 5, 2019",sudonym,5.0,0,2020-11-12 14:22:00.704298,2020-11-12 14:22:00.859676,"Nitecore TINI 380 Lumens USB Rechargeable Keychain Flashlight with Lumen Tactical Charging Cable - Available in 7+ Colors, Aluminum, Copper or Stainless Steel",4.3,53.19,,Tools & Home Improvement,B076QJMK4X,,"#321,393 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,878 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61926NzFh4L._AC_SX425_.jpg
13,R2X557FRX39ZUZ,True,I like it overall,"It really is very small. I like it overall. Lots of features for something so small.

I would not recommend for carrying inside a pocket. With just keys in the pocket with it, the Tini came on multiple times. If you let it dangle from your keys on the outside of a pocket, it might be fine.

Even with that, it's rechargeable so it's not like you're wasting batteries. It also has a setting where it will turn itself off after 30 seconds or you can choose to manually turn it off.

Easy to use, small, several people I have talked to like the different colors.

If they make a buttons a bit stiffer, it would probably help with the accidental activation some.",the united states,"June 3, 2018",Ron Schmon,4.0,0,2020-11-12 14:22:00.865675,2020-11-12 14:22:01.008629,"Nitecore TINI 380 Lumens USB Rechargeable Keychain Flashlight with Lumen Tactical Charging Cable - Available in 7+ Colors, Aluminum, Copper or Stainless Steel",4.3,53.19,,Tools & Home Improvement,B076QJMK4X,,"#321,393 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#2,878 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61926NzFh4L._AC_SX425_.jpg
