,author_id,verified_purchase,review_title,reviews,country,date,reviewer_name,ratings,people_find_helpful,start_time,end_time,product_name,average_rating,total_reviews,product_category,product_id,meta_data,rank
0,R1K2DGXB4ROURJ,True,Buy it,"Great pocket light. Good light disbursement, simple operation, compact. Not super bright, but plenty for its typical uses, balanced with reasonable battery life (which might be better than i think, considering my well lit pocket)

Pocket clip snapped immediately, but the vendor arranged for a replacement part to be shipped directly to me from Singapore with little hassle.

I use it every day in the dark season, more usable form factor than my H1R(too short) for EDC. Occasionally I find it turned on while clipped in my pocket, a hazard of the tail cap button. Not a deal breaker, I still prefer it to other options, and I have examples of pretty much everything out there. I hardly use the 13E on my keychain anymore.

OLIGHT. Enough said.
Skyben. Service +

Edit: 11/26/19 If you want to void your warranty, and blow your mind, run a 10440 3.7v lithium battery (AAA format). Astounding output, does not burn your hand (much), and reduced longevity. What more could you want!?",canada,"October 8, 2019",Anonymous4,4.0,0,2020-10-27 22:14:43.231362,2020-10-27 22:14:43.348154,"Olight I3T EOS 180 Lumens Dual-Output Slim EDC Flashlight with CW LED,60 Meters Tail Switch,Powered by AAA Battery with SKYBEN Battery Case",4.6,,Tools & Home Improvement,B07DQKV38W,"{'manufacturer': 'Olight Technology Co.Ltd', 'part number': 'Olight I3T Bundle', 'product dimensions': '8.89 x 1.5 x 1.5 cm; 40.82 Grams', 'batteries': '1 AAA batteries required. (included)', 'item model number': 'Olight I3T', 'is discontinued by manufacturer': 'No', 'size': 'Pocket Size', 'colour': 'I3T', 'style': 'Olight I3T Bundle', 'material': 'Aluminum', 'power source': 'Battery-powered', 'item package quantity': '1', 'type of bulb': 'LED', 'performance description': 'Max output up to 180 Lumens', 'switch style': 'Tail switch', 'special features': 'MAX RUNTIME:16 hrs<br/> MAX THROW:60 meters<br/> <br/>', 'usage': 'Outdoors,home', 'included components': '1 x AAA battery; 1 x SKYBEN Battery case', 'batteries included?': 'Yes', 'batteries required?': 'Yes', 'battery cell type': 'Alkaline', 'battery description': 'Battery_type_aaa', 'item weight': '40.8 g'}","#68,151 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#614 in Handheld Flashlights"
1,R3O6PYS6PLLF8H,True,Excellent! Low light setting is very bright. Bright light is VERY bright.,"I was worried when I ordered this that the 5 lumen low-light setting would be too dim to be of any use; that I'd be stuck burning through triple A batteries on the high setting, (which it apparently does, according to the specs, in 20 minutes!). Yikes.

But the low setting, (which offers up to 9 hours of lighting on a single alkaline cell), is entirely sufficient for any basic flashlight task that I'd need it for, such as navigating in a dark room or trying to find stuff at the bottom of a camping backpack in a low light area. Even working at night on a car engine, (as we see advertised in many flashlight ads!), would be quite doable, I am sure, on the low setting with this light.

As for the build quality; it's excellent. I was letting my friend's kids play with it, (just 3 and 4 year old boys), and along with it easily surviving being dropped and bounced around roughly, we also tried it out under water, filling a bowl and tossing it in while lit. (I probably wouldn't have gone to this level of testing if it weren't for the kid's fascination. I told them it was waterproof and this was the coolest thing they'd ever heard. It's easy to impress little kids!). Anyway, the light worked underwater no problem.

The button at the back is quite firm, (almost too much for a 3 year old's fingers to work), so I have no concern that it might accidentally activate while in a pocket or backpack.

Anyway.., while I've not had it for more than a week, and have no proof that it will still be functioning this time next year, I have a very good feeling about it. It doesn't look or feel cheaply made. It has the feel of ""High Quality"". For a $25 flashlight, I'm quite pleased with the purchase.

Side note: the 4 year old kid now wants one for Christmas!",canada,"November 22, 2018",Mark Oakley,5.0,0,2020-10-27 22:14:43.352921,2020-10-27 22:14:43.463000,"Olight I3T EOS 180 Lumens Dual-Output Slim EDC Flashlight with CW LED,60 Meters Tail Switch,Powered by AAA Battery with SKYBEN Battery Case",4.6,,Tools & Home Improvement,B07DQKV38W,,"#68,151 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#614 in Handheld Flashlights"
2,RUGR3ZNKHSX1Z,True,Another winner by Olight,"Another great product from Olight. I like everything about this light - from the functions of the light itself to the spiral grip and pocket clip. Very innovative.

I've seen some negative comments regarding the run-time on high mode, but who wants to use a light like this on high mode all the time? If that's what you want in a light, than this clearly isn't the light for you. Personally, I use it on low mode 95% of the time. When I do use high mode it's only for a few seconds at a time. This isn't some tactical defense flashlight, it's just a penlight, and it does its job wonderfully.

The fact that you can find batteries for it at almost any store or gas station on the planet is a good thing as well.",canada,"December 1, 2018",Graeme,5.0,0,2020-10-27 22:14:43.467721,2020-10-27 22:14:43.581384,"Olight I3T EOS 180 Lumens Dual-Output Slim EDC Flashlight with CW LED,60 Meters Tail Switch,Powered by AAA Battery with SKYBEN Battery Case",4.6,,Tools & Home Improvement,B07DQKV38W,,"#68,151 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#614 in Handheld Flashlights"
3,R39FB3QVLO19GS,True,Love it!,"I have the regular black coated aluminum version of this light and really like it, so I wanted to try the copper one and see what type of patina it develops.

Thus far I haven't carried it enough to really notice much of a colour change, but I must say I really enjoy the feel and functionality of this light. It's an excellent EDC light with great light output and very nice fit and finish.

The copper version is quite a bit heavier than the aluminum one, and I like that. It has some heft to it. It has the feel of a well made, substantial light. That, plus the cool copper colour, makes for a very aesthetically appealing light.",canada,"December 9, 2018",Graeme,5.0,0,2020-10-27 22:14:43.586292,2020-10-27 22:14:43.699027,"Olight I3T EOS 180 Lumens Dual-Output Slim EDC Flashlight with CW LED,60 Meters Tail Switch,Powered by AAA Battery with SKYBEN Battery Case",4.6,,Tools & Home Improvement,B07DQKV38W,,"#68,151 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#614 in Handheld Flashlights"
4,RRAGHSOT6V735,True,Robust Bright and Water Proof/Resistant,"surprisingly bright and steady beam of light. I’ve had it going 4 months now and I’ve ran it through the wash several times with no leaks. I work security and beat the heck out of my gear but love this little light for its price and quality. One downside although not really even a downside is the clip although very rugged is kinda bulky. I also tend to accidentally turn the light on well it’s clipped on my pocket and then it dies, this is easily solved though, seeing as it takes AAA’s!",canada,"May 13, 2020",Kylen,4.0,1,2020-10-27 22:14:43.703284,2020-10-27 22:14:43.818914,"Olight I3T EOS 180 Lumens Dual-Output Slim EDC Flashlight with CW LED,60 Meters Tail Switch,Powered by AAA Battery with SKYBEN Battery Case",4.6,,Tools & Home Improvement,B07DQKV38W,,"#68,151 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#614 in Handheld Flashlights"
5,RPPN0PYKFBMQI,True,Pocket clip problems,"Super light! The pocket clip caught on everything and was pulled and bent out of shape several times. The clip was one of the reasons I chose this light, thinking I could clip it on my hat if I needed to. I didnt get the chance though. The clip snagged on something while out for a walk and it was lost.
It's a really good light though so I bought another one.",canada,"January 2, 2019",DC,4.0,0,2020-10-27 22:14:43.822871,2020-10-27 22:14:43.935851,"Olight I3T EOS 180 Lumens Dual-Output Slim EDC Flashlight with CW LED,60 Meters Tail Switch,Powered by AAA Battery with SKYBEN Battery Case",4.6,,Tools & Home Improvement,B07DQKV38W,,"#68,151 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#614 in Handheld Flashlights"
6,R2PL31GHJU930W,True,Great EDC,"This torch hits all the marks for an EDC:
> solid, IPX-rated construction
> small & versatile form (great pocket/belt clip)
> inexpensive & uses common battery size (AAA)
> simple controls - low/high beam only (no cycling through several options)

So far, so good! It produces bright, solid beam. Will update review if I run into issues.

TROY S",canada,"October 1, 2018",Troy,5.0,0,2020-10-27 22:14:43.940838,2020-10-27 22:14:44.053091,"Olight I3T EOS 180 Lumens Dual-Output Slim EDC Flashlight with CW LED,60 Meters Tail Switch,Powered by AAA Battery with SKYBEN Battery Case",4.6,,Tools & Home Improvement,B07DQKV38W,,"#68,151 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#614 in Handheld Flashlights"
7,RLA88NFA8VCRK,True,Great every day carry flashlight,The flashlight has to good power settings with a low in a bright setting. Flashlight is a awesome color due to its made out of copper. I enjoy the fact the faucet looks different with use and exposure to the elements.,canada,"March 18, 2019",Alec,5.0,0,2020-10-27 22:14:44.058080,2020-10-27 22:14:44.169786,"Olight I3T EOS 180 Lumens Dual-Output Slim EDC Flashlight with CW LED,60 Meters Tail Switch,Powered by AAA Battery with SKYBEN Battery Case",4.6,,Tools & Home Improvement,B07DQKV38W,,"#68,151 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#614 in Handheld Flashlights"
8,R2NZVKEEJ5WSIT,True,Pocket clip fail.,Excellent EDC flashlight. However it gets a 2 star rating because the part of the clip for the pocket is rather loose and the part that is supposed to be for clipping on the beak of a cap is too tight. Mine broke from clipping it to my ball cap.,canada,"December 21, 2019",Eric,2.0,0,2020-10-27 22:14:44.173886,2020-10-27 22:14:44.285311,"Olight I3T EOS 180 Lumens Dual-Output Slim EDC Flashlight with CW LED,60 Meters Tail Switch,Powered by AAA Battery with SKYBEN Battery Case",4.6,,Tools & Home Improvement,B07DQKV38W,,"#68,151 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#614 in Handheld Flashlights"
9,R3RCQMD4IT6HUA,True,Small but powerful,"Very powerful tiny flashlight. I love the 2 way Clip too. Its great that you d'ont need a sheath. It's has a very practicle 2 way, up or down solid belt clip.",canada,"March 3, 2020",Alessandro,5.0,0,2020-10-27 22:14:44.290299,2020-10-27 22:14:44.402132,"Olight I3T EOS 180 Lumens Dual-Output Slim EDC Flashlight with CW LED,60 Meters Tail Switch,Powered by AAA Battery with SKYBEN Battery Case",4.6,,Tools & Home Improvement,B07DQKV38W,,"#68,151 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#614 in Handheld Flashlights"
