,author_id,verified_purchase,review_title,reviews,country,date,reviewer_name,ratings,people_find_helpful,start_time,end_time,product_name,average_rating,total_reviews,product_category,product_id,meta_data,rank
0,RZWNRC8TR68LR,True,"Small, very bright, versatile and a snap to charge","I was looking for a second EDC flashlight and I decided to go for the S1R II because I was impressed with the size and performance of my S1 Mini.

Reading about the improvements made to the S1R model with the S1R II made me decide to spend a bit of extra money for this new model and here is why I’m happy I did.

So clearly the new flashlight is brighter than the mini version. Charging the S1R II is so much more practical than the S1 Mini. No need to open up the flashlight to remove the battery for charging. The magnetic charging adaptor just snaps in place and begins charging.

The tail-cap of the S1R II has a stronger magnet as well, this holds the flashlight in place with more tenacity when securing to a metal surface.

The one negative I found about my older S1 Mini is that the light spot created is not perfectly even, it has a hotspot because of the way the S1 Mini lens is frosted. In the attached picture you can see that the S1R II does not have this frosting ont he lens and the spot it creates is a bit tighter, brighter and more even than the S1 Mini.

Finally the only downside to the S1R II in comparison to the S1 Mini is it’s run time. Considering that it has a higher lumen output, 1000 to 600, and also a slightly smaller capacity battery, 550 mAh compared to 650 mAh, it cannot keep up with the S1 Mini. It does make up for this however. During operation the power button glows either Green, Orange, or Red to warn user of battery capacity so that you can charge it when needed, It also easy to setup the charge with the magnetic adaptor but more importantly it charges much quicker, more than twice the rate of charge of the mini.

Neither of these EDC flashlights are ideal as your only light source on a prolonged activity in the dark, but as an occasional flashlight they are just perfect. If for some reason you are in a bind and need to use it for a prolonged period just reduce the light output to a lower setting to get a longer run time.

The S1R II is an easy choice for a every day carry flashlight that is small, yet very bright, versatile and a snap to charge.

In the attached pictures the S1R II is to the left and S1 Mini is to the right.

I've recently purchased the S2R II and have compared it with this model for those interested. It's larger than this one, but has massive run time in comparison.",canada,"October 29, 2018",Eric,5.0,2,2020-10-27 22:11:08.149689,2020-10-27 22:11:08.285327,Olight S1R II 1000 Lumens High Performance CW LED Single IMR16340 Powered Upgraded Magnetic USB Rechargeable Side-Switch EDC Flashlight with Battery and SKYBEN Battery Case,4.7,,Tools & Home Improvement,B07G3SJPLZ,"{'manufacturer': 'Olight Co,.Ltd', 'part number': 'RYAE-OLS1RII01', 'product dimensions': '6.3 x 2.11 x 2.11 cm; 49.9 Grams', 'batteries': '1 CR123A batteries required. (included)', 'manufacturer reference': 'RYAE-OLS1RII01', 'is discontinued by manufacturer': 'No', 'colour': 'S1R II', 'style': 'Handheld Flashlight', 'finish': 'Aluminum Alloy', 'material': 'Aluminum Alloy', 'pattern': 'Small squared texture milling', 'shape': 'Small squared texture milling', 'power source': 'Battery-Powered:1 x IMR16340', 'voltage': '3.7 Volts', 'wattage': '1.85 watts', 'installation method': 'Screw-In', 'item package quantity': '1', 'type of bulb': 'High Performance CW LED', 'brightness': '6', 'performance description': '* Max Beam Distance (m):145', 'tool tip description': '*Max Beam Intensity (cd): 5250', 'laser beam color': 'Cool white', 'switch style': 'Side switch', 'special features': 'Body built for grip: Small squared texture milling for a perfect grip and feel. <br> Premium beam: Perfectly balanced hot spot for optimal clarity and a soft transition to maintain comfortable vision during use. <br> Three-color power level indication: Once the light is turned on, the power indicator located in the center of the side switch shows the power level in three colors (Green: Power>60%, Yellow: Power is between 10% and 60%; Red: Power<10%).<br> Highly efficient MCC II charger', 'usage': 'Camping Hiking Mountaineering Home', 'included components': 'S1R II Flashlight<br> 550mAh 3.7V 10C IMR163401 x 1<br> MCC Charging Cable x 1<br> Pouch x 1<br> Lanyard x 1<br> SKYBEN Batetry Case x 2', 'batteries included?': 'Yes', 'batteries required?': 'Yes', 'battery cell type': 'Lithium Ion', 'battery description': 'Battery-Powered:1 x IMR16340 (included)', 'item weight': '49.9 g'}","#36,174 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#321 in Handheld Flashlights"
1,R2907UL8J3SFS5,True,Terrible Customer Service & Poor QC,"I don't normally leave reviews but I felt compelled to leave one about my experience so other people avoid having to put up with the same BS I had to go through. I bought this light a year ago. Light is great when it works. Started giving me trouble around a month ago. Wouldn't turn on or was delayed turning on occasionally. Then one day it died completely. I've spent two weeks emailing O-Light customer service back and forth trying to get it repaired. My case has been handed off to three different people. I decided to search the O-light subreddit to see what other people had to say. Quickly found out that many others had similar experiences. I ended up buying a new light and returning the old one.
TL;DR Poor customer service and quality control. Light is great but definitely not worth the money and headache.",canada,"July 16, 2020",Nathan,2.0,0,2020-10-27 22:11:08.290314,2020-10-27 22:11:08.420965,Olight S1R II 1000 Lumens High Performance CW LED Single IMR16340 Powered Upgraded Magnetic USB Rechargeable Side-Switch EDC Flashlight with Battery and SKYBEN Battery Case,4.7,,Tools & Home Improvement,B07G3SJPLZ,,"#36,174 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#321 in Handheld Flashlights"
2,R2J3FWVQZ1WZKS,True,I like this product a lot,"Pros:
- It's made in Shenzhen, which is the city where the high quality Chinese goods are made, such as DJI, Huawei, Lenovo... the quality of the material and build feels very good.
- Wireless charger works very well. Strong magnet and indication on charger, also, green/orange/red indication on the flashlight.
- Good enough brightness. I didn't measure it, but it seems close to what was rated.
- Great size that it can be a keychain flashlight. It's almost the size of an AA battery. I store it in my pocket all the time and didn't feel anything.

Con:
- It might be too small for someone may not feel comfortable holding it with little grip. I know there is a bigger version of this.
- Battery life is good enough, but I find it burns out very quickly with turbo mode.
-",canada,"April 30, 2020",Win Sun,5.0,0,2020-10-27 22:11:08.424953,2020-10-27 22:11:08.537652,Olight S1R II 1000 Lumens High Performance CW LED Single IMR16340 Powered Upgraded Magnetic USB Rechargeable Side-Switch EDC Flashlight with Battery and SKYBEN Battery Case,4.7,,Tools & Home Improvement,B07G3SJPLZ,,"#36,174 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#321 in Handheld Flashlights"
3,R2UKEMPS15XNXB,True,Compact & a Bright Dud,"I love the size of this light and the build quality
What I did not like was the Turbo mode would stay on for only 1-2 seconds and cycle down ( should be a minute +)
Tried again after a full recharge was working fine and the same issue after a while. My other Olights work flawlessly.
I'm returning this dud. I like that Olight Canada was quick to repsond but not this seller.",canada,"December 27, 2019",Louie P,2.0,0,2020-10-27 22:11:08.541642,2020-10-27 22:11:08.654341,Olight S1R II 1000 Lumens High Performance CW LED Single IMR16340 Powered Upgraded Magnetic USB Rechargeable Side-Switch EDC Flashlight with Battery and SKYBEN Battery Case,4.7,,Tools & Home Improvement,B07G3SJPLZ,,"#36,174 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#321 in Handheld Flashlights"
4,R2AHBYL4NIM7LU,True,The Olight S1 Series just keeps getting better with the S1r II.,"I have the original Light S1 and S1 mini. The S1R II improves on all its predecessors making it the ideal EDC flashlight. It is very bright, compact, good user interface/modes and simple to charge. If you want the best flashlight in its class, skip the others and buy the Olight S1R II.",canada,"April 30, 2019",Amazon Customer,5.0,1,2020-10-27 22:11:08.658329,2020-10-27 22:11:08.784992,Olight S1R II 1000 Lumens High Performance CW LED Single IMR16340 Powered Upgraded Magnetic USB Rechargeable Side-Switch EDC Flashlight with Battery and SKYBEN Battery Case,4.7,,Tools & Home Improvement,B07G3SJPLZ,,"#36,174 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#321 in Handheld Flashlights"
5,R2X4J769FD742T,True,Small and Powerful,Smaller than you realize and very veey powerful. Only drawback is battery life is terrible when light is on higher settings. That's to be expected though with such a tiny light and battery.,canada,"June 20, 2019",Paul,4.0,0,2020-10-27 22:11:08.789979,2020-10-27 22:11:08.906666,Olight S1R II 1000 Lumens High Performance CW LED Single IMR16340 Powered Upgraded Magnetic USB Rechargeable Side-Switch EDC Flashlight with Battery and SKYBEN Battery Case,4.7,,Tools & Home Improvement,B07G3SJPLZ,,"#36,174 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#321 in Handheld Flashlights"
6,R3SVDIHZKYVG4O,True,I will buy again,"Very good quality and useful flashlight, good battery and balanced in the hand.
Very high brightness.",canada,"December 23, 2019",Solomongti,5.0,0,2020-10-27 22:11:08.911653,2020-10-27 22:11:09.029338,Olight S1R II 1000 Lumens High Performance CW LED Single IMR16340 Powered Upgraded Magnetic USB Rechargeable Side-Switch EDC Flashlight with Battery and SKYBEN Battery Case,4.7,,Tools & Home Improvement,B07G3SJPLZ,,"#36,174 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#321 in Handheld Flashlights"
7,R1XP2KPA9EOGVJ,True,Small and powerful flash light!,Great flash light. You can put it anywhere. Small nut powerful.,canada,"December 25, 2019",Mando41,5.0,0,2020-10-27 22:11:09.033327,2020-10-27 22:11:09.180932,Olight S1R II 1000 Lumens High Performance CW LED Single IMR16340 Powered Upgraded Magnetic USB Rechargeable Side-Switch EDC Flashlight with Battery and SKYBEN Battery Case,4.7,,Tools & Home Improvement,B07G3SJPLZ,,"#36,174 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#321 in Handheld Flashlights"
8,R3BJ10HE1AB6YY,True,"good flashlight , until it breaks","its a really good flashlight , until it stopped charging after a month or so ...",canada,"January 8, 2019",Guillaume,1.0,0,2020-10-27 22:11:09.184922,2020-10-27 22:11:09.285653,Olight S1R II 1000 Lumens High Performance CW LED Single IMR16340 Powered Upgraded Magnetic USB Rechargeable Side-Switch EDC Flashlight with Battery and SKYBEN Battery Case,4.7,,Tools & Home Improvement,B07G3SJPLZ,,"#36,174 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#321 in Handheld Flashlights"
9,R1DXWAYDR1EZF9,True,AWESOME FLASHLIGHT!,Very well worth the money. This unit is QUALITY!,canada,"March 26, 2019",Amazon Customer,5.0,0,2020-10-27 22:11:09.290640,2020-10-27 22:11:09.393366,Olight S1R II 1000 Lumens High Performance CW LED Single IMR16340 Powered Upgraded Magnetic USB Rechargeable Side-Switch EDC Flashlight with Battery and SKYBEN Battery Case,4.7,,Tools & Home Improvement,B07G3SJPLZ,,"#36,174 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#321 in Handheld Flashlights"
10,R1GYWCOMMMYE5W,True,Excellent light for everyday carry.,"Great product. Use it everyday. Would recommend this seller, had an issue and he went above and beyond to resolve it.",canada,"January 19, 2020",paul,5.0,0,2020-10-27 22:11:13.560183,2020-10-27 22:11:13.709921,Olight S1R II 1000 Lumens High Performance CW LED Single IMR16340 Powered Upgraded Magnetic USB Rechargeable Side-Switch EDC Flashlight with Battery and SKYBEN Battery Case,4.7,,Tools & Home Improvement,B07G3SJPLZ,,"#36,174 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#321 in Handheld Flashlights"
11,R2VYDTB3QA5RYL,True,very convenient to charge,I keep this in my pocket. a recessed power button would prevent accidental activation - other than that it is a fantastic flashlight,canada,"December 10, 2018",Andrew Brousseau,4.0,0,2020-10-27 22:11:13.713909,2020-10-27 22:11:13.815662,Olight S1R II 1000 Lumens High Performance CW LED Single IMR16340 Powered Upgraded Magnetic USB Rechargeable Side-Switch EDC Flashlight with Battery and SKYBEN Battery Case,4.7,,Tools & Home Improvement,B07G3SJPLZ,,"#36,174 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#321 in Handheld Flashlights"
12,R3K2NQ1WMD4GEN,True,Great little thing,Just a great little thing,canada,"June 28, 2020",Amazon Customer,5.0,0,2020-10-27 22:11:13.819627,2020-10-27 22:11:13.922352,Olight S1R II 1000 Lumens High Performance CW LED Single IMR16340 Powered Upgraded Magnetic USB Rechargeable Side-Switch EDC Flashlight with Battery and SKYBEN Battery Case,4.7,,Tools & Home Improvement,B07G3SJPLZ,,"#36,174 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#321 in Handheld Flashlights"
