,author_id,verified_purchase,review_title,reviews,country,date,reviewer_name,ratings,people_find_helpful,start_time,end_time,product_name,average_rating,total_reviews,product_category,product_id,meta_data,rank
0,R3UTWGIIZ2JMXK,True,"Really Bright Modes, Good Price, No Extra Features","The TC15 is a great light. All modes output as specified. As another reviewer said, in Turbo mode (2300 lumen) the button area and head of flashlight gets really hot within 30 to 40 seconds of use. High mode (1050 lumen) gets warm after a few minutes of use. Medium (250 lumen) is stable, this is where you get 6.5 hour run time. Then low, firefly, and strobe. There is no tail cap button, magnetic base or reversible clip, but what you get is useful bright lighting modes for a good price.",canada,"June 26, 2019",Eric,5.0,17,2020-10-28 00:39:59.556435,2020-10-28 00:39:59.676117,"ThruNite TC15 2300 Lumens LED Flashlight, Ultra-Bright USB Rechargeable Flashlight with CREE XHP 35 LED, EDC Handheld Flashlight for Camping, Hiking, Security and Emergency Use (TC15 NW)",4.5,,Tools & Home Improvement,B07JCFY3N4,"{'manufacturer': 'ThruNite', 'part number': 'TC15 CW', 'product dimensions': '12.25 x 2.7 x 2.4 cm; 238 Grams', 'batteries': '1 Lithium ion batteries required. (included)', 'item model number': 'TC15 CW', 'is discontinued by manufacturer': 'No', 'size': 'Pocket Size', 'colour': 'Black', 'material': 'Aluminum', 'pattern': 'TC15 NW', 'power source': 'Battery-powered', 'item package quantity': '1', 'type of bulb': 'Led', 'batteries included?': 'Yes', 'batteries required?': 'Yes', 'battery cell type': 'Lithium Ion', 'battery description': 'Battery_type_lithium_ion', 'item weight': '238 g'}","#2,116 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#20 in Handheld Flashlights"
1,RZUO4B01CFZV2,True,Thank s sellar man,"Hi
It's expensive
But very high quality and very strong
Power 2300
It needs to recharge the battery when using high light Every 3 hours
I'm happy with it
Good for my work
Thank s",canada,"November 26, 2019",muhannad,5.0,18,2020-10-28 00:39:59.680105,2020-10-28 00:39:59.790808,"ThruNite TC15 2300 Lumens LED Flashlight, Ultra-Bright USB Rechargeable Flashlight with CREE XHP 35 LED, EDC Handheld Flashlight for Camping, Hiking, Security and Emergency Use (TC15 NW)",4.5,,Tools & Home Improvement,B07JCFY3N4,,"#2,116 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#20 in Handheld Flashlights"
2,RE8EP1NFP1LHR,True,"Wow, what a light",Once I worked out that you had to remove the shipping insulator disk inside the light I could get the light ot charge without flashing purple. Could not find that heads up in the instructions. Any way great light and seems well built.,canada,"February 24, 2019",cmack,5.0,13,2020-10-28 00:39:59.795795,2020-10-28 00:39:59.910488,"ThruNite TC15 2300 Lumens LED Flashlight, Ultra-Bright USB Rechargeable Flashlight with CREE XHP 35 LED, EDC Handheld Flashlight for Camping, Hiking, Security and Emergency Use (TC15 NW)",4.5,,Tools & Home Improvement,B07JCFY3N4,,"#2,116 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#20 in Handheld Flashlights"
3,R3HMMN7KP7ZJ0K,True,Solid,"Had a chance to use this for a few weeks...

Pros: insanely bright, great size, built solid, good battery life and generally easy to use. Fantastic value at this price point. Comes with accessories and replacement pieces for years of use. Feels well made. Throws an awesome, wide beam. I went with the CW and have zero regrets.

Cons: Easy to accidentally turn on based on the location of the power button, difficult to locate the power button in the dark - doesn’t have much feel, the unit will run hot if you have it on high...will feel even warmer on turbo, the click/hold mechanism to adjust between settings can be finicky.

The cons are trivial and do not take aware from what this flashlight can do for $60. Highly recommended. I will buy more.",canada,"May 25, 2020",Zlatko,5.0,10,2020-10-28 00:39:59.914478,2020-10-28 00:40:00.030200,"ThruNite TC15 2300 Lumens LED Flashlight, Ultra-Bright USB Rechargeable Flashlight with CREE XHP 35 LED, EDC Handheld Flashlight for Camping, Hiking, Security and Emergency Use (TC15 NW)",4.5,,Tools & Home Improvement,B07JCFY3N4,,"#2,116 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#20 in Handheld Flashlights"
4,R19ZSC9EMX766M,True,B R I G H T,"Holy heck is it ever. Lasts longer than it ought to, excellent form-factor with rock -solid construction.
Warning: on turbo, it gets H O T.",canada,"September 8, 2019",Nicholas Asquin,5.0,14,2020-10-28 00:40:00.037150,2020-10-28 00:40:00.154835,"ThruNite TC15 2300 Lumens LED Flashlight, Ultra-Bright USB Rechargeable Flashlight with CREE XHP 35 LED, EDC Handheld Flashlight for Camping, Hiking, Security and Emergency Use (TC15 NW)",4.5,,Tools & Home Improvement,B07JCFY3N4,,"#2,116 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#20 in Handheld Flashlights"
5,R28ZF77SCM7Q1L,True,Good light great battery,"5 stars for the battery,4 stars for the flashlight.I am harder on the light because all though very bright and small it gets extremely hot in about 30 to 40 seconds.Not very practical in normal use.Great for collectors.
(A little extra, well made easy to use)",canada,"February 23, 2019",Douglas Buchanan,4.0,4,2020-10-28 00:40:00.159822,2020-10-28 00:40:00.272521,"ThruNite TC15 2300 Lumens LED Flashlight, Ultra-Bright USB Rechargeable Flashlight with CREE XHP 35 LED, EDC Handheld Flashlight for Camping, Hiking, Security and Emergency Use (TC15 NW)",4.5,,Tools & Home Improvement,B07JCFY3N4,,"#2,116 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#20 in Handheld Flashlights"
6,R292H4K7S1MSNN,True,Turns on in pocket no good,One of my biggest gripes with flashlights is when they are accidentally discharged to say in your pocket this late unfortunately though I like just about everything about it except the most important thing it turns on in my pocket that’s right I have had multiple instances where it has turned on in my pocket by itself or by being bumped or whatever and one time it was on for so long that it became incredibly hot to the point where you couldn’t even touch the entire length of the light for at least 20 minutes not convenient at all over the years having purchased many flashlights I can tell you that the one thing that makes me not want to carry a flashlight is if it turns on accidentally,canada,"October 19, 2019",trevor ralph,3.0,1,2020-10-28 00:40:00.277508,2020-10-28 00:40:00.385219,"ThruNite TC15 2300 Lumens LED Flashlight, Ultra-Bright USB Rechargeable Flashlight with CREE XHP 35 LED, EDC Handheld Flashlight for Camping, Hiking, Security and Emergency Use (TC15 NW)",4.5,,Tools & Home Improvement,B07JCFY3N4,,"#2,116 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#20 in Handheld Flashlights"
7,R28EVBODX3PL9P,True,Quit working after about 1 month of buying it,"The online reviews of this flashlight prompted me to make the purchase. I was especially interested in the impact and water resistant features as well as levels of brightness. Initially the flash light wouldn't turn on after a few uses. I was going to return it but I took the battery out and made sure all contact were in good order and tried again. It worked wonderfully for a couple of weeks of very little use, however then all of a sudden it quit working. Since I'm past the return date, I have paper weight instead of a flashlight.......an expensive paper weight for EDC........Very disappointed, would not recommend buying this item.

UPDATE: ThruNite stepped up and replaced the flashlight for me.....it’s a good light but I don’t like how hot it gets very quickly on brightest setting.....",canada,"February 12, 2020",ManyMonkeysLooking,4.0,1,2020-10-28 00:40:00.389210,2020-10-28 00:40:00.498938,"ThruNite TC15 2300 Lumens LED Flashlight, Ultra-Bright USB Rechargeable Flashlight with CREE XHP 35 LED, EDC Handheld Flashlight for Camping, Hiking, Security and Emergency Use (TC15 NW)",4.5,,Tools & Home Improvement,B07JCFY3N4,,"#2,116 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#20 in Handheld Flashlights"
8,R14NTR07WLWM73,True,"Super light, rugged, bright, all around solid, worth the price!","Great first impressions. I haven't consciously tested the battery life but it doesn't need to be charged after every camping trip (though it's a good idea to get it to full charge for each trip). The flashlight is so lightweight yet is solidly built. I tried it in water (briefly) and when I opened it up it was dry. They give you extra o rings and also 2 extra rubbers to replace the one covering the charger, great idea! The belt hook is super solid for how light it is. The strap is solid, it was hard to get on. I used a piece of thread to pull the cord of the strap through. Each setting is nice, while the brightest setting is great I think the lowest setting is underrated, it's perfect for searching in a tent and uses virtually no battery life. The battery life indicator is nice too. Also, you could buy a spare battery from them and change it out like a AA (note this will NOT also take a AA batteries like some of their other models). I'm happy so far!",canada,"June 20, 2020",Ryan Bianchini,5.0,10,2020-10-28 00:40:00.502905,2020-10-28 00:40:00.612612,"ThruNite TC15 2300 Lumens LED Flashlight, Ultra-Bright USB Rechargeable Flashlight with CREE XHP 35 LED, EDC Handheld Flashlight for Camping, Hiking, Security and Emergency Use (TC15 NW)",4.5,,Tools & Home Improvement,B07JCFY3N4,,"#2,116 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#20 in Handheld Flashlights"
9,RM6RZPPZ6W6RO,True,Outstanding med sized EDC flashlight,"Absolute Beast! And a real joy to use. I manly keep it on low since the other options can be blinding. I can light up cars over a block away and can see if anyone is in the vehicles! Lol! Its that bright and has a great battery. Also has a clip and lanyand hole. Quite smaller than I though. Perfect for EDC, neighbourhood watch! Lol",canada,"October 28, 2019",Mahalkita,5.0,4,2020-10-28 00:40:00.617599,2020-10-28 00:40:00.727332,"ThruNite TC15 2300 Lumens LED Flashlight, Ultra-Bright USB Rechargeable Flashlight with CREE XHP 35 LED, EDC Handheld Flashlight for Camping, Hiking, Security and Emergency Use (TC15 NW)",4.5,,Tools & Home Improvement,B07JCFY3N4,,"#2,116 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#20 in Handheld Flashlights"
