,author_id,verified_purchase,review_title,reviews,country,date,reviewer_name,ratings,people_find_helpful,start_time,end_time,product_name,average_rating,price,total_reviews,product_category,product_id,meta_data,rank,product_image_url
0,R1CJRN4C500SK1,True,"Lampe Top, Holster Flop","Zuerst das negative, das Holster hat den Namen Holster bei einer 100€TaLa nicht verdient.
Ich empfehle das Holster von Wuben, das passt perfekt und ist wesentlich hochwertiger.
Die Lampe selbst überzeugt mit enormer Leistung und Ausdauer.
Anodisierung ist perfekt.
Druckpunkt beider Schalter ebenso.
Der Akku mit 5000mah ist etwas größer als ein normaler 21700,in meine Ladestation passt er leider nicht, aber zum Glück kann man die Lampe selbst über USB C aufladen",germany,"January 14, 2020",Robert,5.0,0,2020-11-12 11:41:28.287508,2020-11-12 11:41:28.419436,Fenix PD36R 1600 Lumen USB-C Rechargeable Tactical Flashlight with Fenix Battery and LumenTac Battery Organizer,4.8,,,Tools & Home Improvement,B07TKDJ5Q7,"{'product dimensions': '13.59 x 2.64 x 2.54 cm; 86.18 Grams', 'batteries': '1 Lithium ion batteries required. (included)', 'item model number': 'PD36R', 'color': 'Black', 'size': 'Small', 'bulb type': 'LED', 'material': 'Anodized Aluminum', 'power source': 'Batteries', 'usage': 'Duty light,', 'included components': 'Battery, charging cable, holster', 'batteries included?': 'Yes', 'battery description': 'Battery_type_lithium_ion', 'brand': 'Fenix Flashlights', 'item weight': '86.2 g'}",,https://images-na.ssl-images-amazon.com/images/I/71Ov57Lfp3L._AC_SX425_.jpg
1,R3TZJ4DE3H1YAL,True,Sehr praktisch,"Klein, stark, handlich. Zuerst war ich überrascht, wie klein die Lampe ist, aber dann restlos von der Leistung überzeugt.
Der Lichtstrahl ist etwas breiter, daher leuchtet sie nicht so weit und so grell wie andere Lampen, dafür hat sie aber eine sehr schöne Ausleuchtung der Umgebung und ein angenehmes Licht. Ideal für Wanderungen und bei Reparaturen. Was nutzt mir 400 m Reichweite, wenn der Strahl nur blendet und einen Leuchtkreis von 2-3 m abdeckt?",germany,"March 7, 2020",Dr. Gerhard Jonschker,5.0,0,2020-11-12 11:41:28.424422,2020-11-12 11:41:28.559084,Fenix PD36R 1600 Lumen USB-C Rechargeable Tactical Flashlight with Fenix Battery and LumenTac Battery Organizer,4.8,,,Tools & Home Improvement,B07TKDJ5Q7,,,https://images-na.ssl-images-amazon.com/images/I/71Ov57Lfp3L._AC_SX425_.jpg
2,R1YVE64NBFFBEI,True,Excellent light,"I've heard about this light and decided to try it. I'm definitely pleased with it. My only complaint is that to enter strobe mode, the light already has to be turned on. Otherwise an excellent product.",germany,"April 25, 2020",Randall ,5.0,0,2020-11-12 11:41:28.564071,2020-11-12 11:41:28.694000,Fenix PD36R 1600 Lumen USB-C Rechargeable Tactical Flashlight with Fenix Battery and LumenTac Battery Organizer,4.8,,,Tools & Home Improvement,B07TKDJ5Q7,,,https://images-na.ssl-images-amazon.com/images/I/71Ov57Lfp3L._AC_SX425_.jpg
3,RPW0UFSG9NXOR,True,Good flashlight,"Bought this flashlight second time, because I lostbmy first one after half a year of using. This is quite a good stuff, the battery is excellent. I use it everyday in my work. I only wish it had adjustable light angle, but you can't get everything.
Good product, worth this money.",germany,"October 19, 2020",Watson,5.0,0,2020-11-12 11:41:28.699130,2020-11-12 11:41:28.831323,Fenix PD36R 1600 Lumen USB-C Rechargeable Tactical Flashlight with Fenix Battery and LumenTac Battery Organizer,4.8,,,Tools & Home Improvement,B07TKDJ5Q7,,,https://images-na.ssl-images-amazon.com/images/I/71Ov57Lfp3L._AC_SX425_.jpg
4,RCOMPZCTWBEKF,True,Nice bright beam,I like the brightness the product provided,germany,"April 19, 2020",herb self,5.0,0,2020-11-12 11:41:28.836309,2020-11-12 11:41:28.965962,Fenix PD36R 1600 Lumen USB-C Rechargeable Tactical Flashlight with Fenix Battery and LumenTac Battery Organizer,4.8,,,Tools & Home Improvement,B07TKDJ5Q7,,,https://images-na.ssl-images-amazon.com/images/I/71Ov57Lfp3L._AC_SX425_.jpg
5,R2RXBIDGDC1DM6,True,topteil,topteil sehr empfehlensert,germany,"April 15, 2020",VORSICHT ACHTUNG,5.0,0,2020-11-12 11:41:28.970949,2020-11-12 11:41:29.097574,Fenix PD36R 1600 Lumen USB-C Rechargeable Tactical Flashlight with Fenix Battery and LumenTac Battery Organizer,4.8,,,Tools & Home Improvement,B07TKDJ5Q7,,,https://images-na.ssl-images-amazon.com/images/I/71Ov57Lfp3L._AC_SX425_.jpg
6,R3VL5OYQD5BYXK,True,Horrible Customer Service,"I purchased this flashlight while in the USA. We travel a lot so having a good quality flashlight is paramount. We left the product in its original package as we headed to the South Pacific. Upon arrival we removed the protective tab and left the flashlight on charge for 24 hours. Sadly the light did not work. My husband is a mechanic and noted the battery was not at all charged. We contacted the company via email and phone, but they have not responded at all!!! Ver very disappointing. So there goes $100+ dollars down the toilet. I do not at all recommend this company or any of their products due to horrible customer service.",the united states,"January 25, 2020",BreAmazon,1.0,0,2020-11-12 11:41:29.103558,2020-11-12 11:41:29.236917,Fenix PD36R 1600 Lumen USB-C Rechargeable Tactical Flashlight with Fenix Battery and LumenTac Battery Organizer,4.8,,,Tools & Home Improvement,B07TKDJ5Q7,,,https://images-na.ssl-images-amazon.com/images/I/71Ov57Lfp3L._AC_SX425_.jpg
7,R3O5L6W3S66NAS,True,good so far BUT,"So far it seems good but I just had a different Fenix flashlight quit working that was nearly new and hardly used. so now I have to spend money to send it to Fenix after paying $60 and basically getting to use it maybe like 7 times, it was the model RC05, lets just hope that warrante department treats me right, and lets hope that this model pd36r does too or I will be done with Fenix, out of 8 different flashlights I own it doesn't show well when the second most expensive one from a top maker quits with nearly no use, and a couple cheap china mades are going strong after several years of hard abuse. so you caught me at a bad time to ask what I think.",the united states,"September 26, 2019",Amazon Customer,4.0,0,2020-11-12 11:41:29.241903,2020-11-12 11:41:29.378257,Fenix PD36R 1600 Lumen USB-C Rechargeable Tactical Flashlight with Fenix Battery and LumenTac Battery Organizer,4.8,,,Tools & Home Improvement,B07TKDJ5Q7,,,https://images-na.ssl-images-amazon.com/images/I/71Ov57Lfp3L._AC_SX425_.jpg
8,R1LKVDLR0VWQY6,True,YESSS! My new Favorite flashlight,"Fenix PD36R 1600 Lumen USB-C Rechargeable Tactical Flashlight.
I love flashlights - don't know why. I attach a lanyard to each new one and string it from a peg hanger with all the others. I like being able to instantly grab one, race outside and blast light on something needing immediate attention. And I want to see very well when the object is close, the far side of the lawn or across the street. I HATE clicking a flashlight and getting very dim or no light at all when new batteries were added a few weeks earlier.
This is the best I've used. I received it July 1 and it took longer than I expected for a 1st time charge - maybe a couple of days. But the brightness and distance are amazing. The Fenix website says the turbo setting output is 1600 lumens at just over 900 feet - I haven't measured but that seems right. it is very bright. Per Fenix, it’s waterproof for 30 mins under water 6 feet deep and drop proof from 5 feet. I've used it a number of times at turbo - and for about 45 mins on a middle setting and the battery indicator shows still strong. The body does get hot quickly on turbo – but that’s normal LED heat dissipation in aluminum.
The one thing I’d like it doesn’t have is a turbo brightness setting with a very narrow beam. But this is my first Fenix and I’ll look for that next time. I highly recommend this one.",the united states,"July 22, 2020",catchcan,5.0,0,2020-11-12 11:41:29.384242,2020-11-12 11:41:29.546807,Fenix PD36R 1600 Lumen USB-C Rechargeable Tactical Flashlight with Fenix Battery and LumenTac Battery Organizer,4.8,,,Tools & Home Improvement,B07TKDJ5Q7,,,https://images-na.ssl-images-amazon.com/images/I/71Ov57Lfp3L._AC_SX425_.jpg
9,R1W18CG1ZZI53W,True,The best 2019 EDC flashlight!,"This flashlight is awesome! Love the brightness and battery life out of this thing! It has everything I wanted in an EDC light: deep pocket carry, strike bezel, high lumen output, great tactical button!",the united states,"July 28, 2019",Splurtimus,5.0,0,2020-11-12 11:41:29.551794,2020-11-12 11:41:29.682191,Fenix PD36R 1600 Lumen USB-C Rechargeable Tactical Flashlight with Fenix Battery and LumenTac Battery Organizer,4.8,,,Tools & Home Improvement,B07TKDJ5Q7,,,https://images-na.ssl-images-amazon.com/images/I/71Ov57Lfp3L._AC_SX425_.jpg
