,author_id,verified_purchase,review_title,reviews,country,date,reviewer_name,ratings,people_find_helpful,start_time,end_time,product_name,average_rating,total_reviews,product_category,product_id,meta_data,rank
0,R1VTI7FFWMBBHD,True,Debería ser recargable,"Es una muy buena herramienta, cumple con lo que necesitaba. El único inconveniente es que no es recargable, hay que usar pilas AAA y con el constante uso se agotan muy rápido.",mexico,"October 16, 2020",Adán Canales,4.0,0,2020-10-27 23:51:45.971411,2020-10-27 23:51:46.172290,"LED Tactical Flashlight S3000, WdtPro Ultra Bright LED Flashlights - High Lumen, IP67 Water Resistant, 3 Modes and Zoomable for Camping, Emergency, Hiking, Gift",4.4,,Tools & Home Improvement,B07TZ3BMKW,"{'manufacturer': 'WdtPro', 'part number': 'S3000', 'product dimensions': '18.72 x 4.22 x 4.22 cm; 226.8 Grams', 'manufacturer reference': 'S3000', 'size': '1 PACK', 'material': 'Aluminum', 'power source': 'Battery', 'type of bulb': 'LED', 'brightness': '1600', 'batteries included?': 'No', 'batteries required?': 'Yes', 'item weight': '227 g'}","#21,919 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#206 in Handheld Flashlights"
1,R21ZU09D0UXNZ2,True,"El equipo llego mucho antes de lo esperado, justo lo que pedí justo lo que enviaron,","El equipo llego mucho antes de lo esperado, justo lo que pedí justo lo que enviaron,",mexico,"May 4, 2020",Jose Felix Rios Mesina,5.0,0,2020-10-27 23:51:46.177171,2020-10-27 23:51:46.307773,"LED Tactical Flashlight S3000, WdtPro Ultra Bright LED Flashlights - High Lumen, IP67 Water Resistant, 3 Modes and Zoomable for Camping, Emergency, Hiking, Gift",4.4,,Tools & Home Improvement,B07TZ3BMKW,,"#21,919 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#206 in Handheld Flashlights"
2,R3EFOQKOQF7H8L,True,Powerful flashlight..., The flashlight is powerful and easy to use. Was easy to put in the 4 AA batteries and twist the front for zoom capabilities.,the united states,"October 8, 2019",Leips63,5.0,0,2020-10-27 23:51:46.312760,2020-10-27 23:51:46.457136,"LED Tactical Flashlight S3000, WdtPro Ultra Bright LED Flashlights - High Lumen, IP67 Water Resistant, 3 Modes and Zoomable for Camping, Emergency, Hiking, Gift",4.4,,Tools & Home Improvement,B07TZ3BMKW,,"#21,919 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#206 in Handheld Flashlights"
3,R1HCL6AWPFF3TN,True,Love this light!," Wow! This little flashlight is awesome. So much brighter than regular flashlights. For someone like me with poor night vision, this light will make things much easier to see.",the united states,"December 3, 2019",HorsesBooksGuitars00,5.0,0,2020-10-27 23:51:46.462066,2020-10-27 23:51:46.609413,"LED Tactical Flashlight S3000, WdtPro Ultra Bright LED Flashlights - High Lumen, IP67 Water Resistant, 3 Modes and Zoomable for Camping, Emergency, Hiking, Gift",4.4,,Tools & Home Improvement,B07TZ3BMKW,,"#21,919 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#206 in Handheld Flashlights"
4,RDB633RGSETDZ,True,Good flashlight but 1600 lumens is exaggerated.,"I would say it throws less than 1600 lumens. Even though the lumens are probably exaggerated, the amount of light it throws is pretty good. The twist zoom is awesome. Color of the light is fine not too warm. Its nice that it uses 4 AA because they’re easy to get a hold of.",the united states,"February 12, 2020",KrisQ,5.0,0,2020-10-27 23:51:46.614400,2020-10-27 23:51:46.743247,"LED Tactical Flashlight S3000, WdtPro Ultra Bright LED Flashlights - High Lumen, IP67 Water Resistant, 3 Modes and Zoomable for Camping, Emergency, Hiking, Gift",4.4,,Tools & Home Improvement,B07TZ3BMKW,,"#21,919 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#206 in Handheld Flashlights"
5,R377FN6N6KTS3G,True,Crappy doesn't work properly or even at all,This is the worst flashlight I have ever owned. Problem number 1. When using flashlight if you barely bump it or even set it down the light settings change. 2. After using it for 1 day at work the flashlight would stop turning on and I would have to press the on and of button multiple time or even wiggling the on button to get it to just turn on. Then when you bump the flashlight ever so lightly the settings change or it turns off. I would not recommend this product to anyone.,the united states,"October 14, 2019",Ashley,1.0,0,2020-10-27 23:51:46.748215,2020-10-27 23:51:46.881356,"LED Tactical Flashlight S3000, WdtPro Ultra Bright LED Flashlights - High Lumen, IP67 Water Resistant, 3 Modes and Zoomable for Camping, Emergency, Hiking, Gift",4.4,,Tools & Home Improvement,B07TZ3BMKW,,"#21,919 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#206 in Handheld Flashlights"
6,R307U5GYUOR4KB,True,Great!,"I love it! I live on a farm. It could bright up our whole yard! When I used the zoom though, I could see as far back as the cat ran around our barn. These were just what I needed. Great for emergency response. Just bought an extra one, I was so pleased and surprised.",the united states,"March 13, 2020",Angela,5.0,0,2020-10-27 23:51:46.887339,2020-10-27 23:51:47.017227,"LED Tactical Flashlight S3000, WdtPro Ultra Bright LED Flashlights - High Lumen, IP67 Water Resistant, 3 Modes and Zoomable for Camping, Emergency, Hiking, Gift",4.4,,Tools & Home Improvement,B07TZ3BMKW,,"#21,919 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#206 in Handheld Flashlights"
7,R1TKLIHK7OTG38,True,Great for any kind of purpose light is a bit blinding,"Great purchase, the flashlight is very strong and durable. I have dropped it several times and it is still functional. I have not changed the batteries and I have used it countless times at my post at night. I use rechargeable Energizer batteries but I have not charged them.",the united states,"March 15, 2020",Kiraa,5.0,0,2020-10-27 23:51:47.022223,2020-10-27 23:51:47.181065,"LED Tactical Flashlight S3000, WdtPro Ultra Bright LED Flashlights - High Lumen, IP67 Water Resistant, 3 Modes and Zoomable for Camping, Emergency, Hiking, Gift",4.4,,Tools & Home Improvement,B07TZ3BMKW,,"#21,919 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#206 in Handheld Flashlights"
8,R1PEVWHN00VX1N,True,Good item good price.,"Seems well made, sturdy. Good brightness. Like AA batteries not AAA. Like warranty. Seems like a good purchase for the price. Time will tell re durability, but so far so good.

Only drawback, the ""cooling fins, which appear to be only cosmetic, are a bit sharp to the touch and probably should have been machined with rounded edges.",the united states,"November 9, 2019",B.A.,5.0,0,2020-10-27 23:51:47.186049,2020-10-27 23:51:47.315478,"LED Tactical Flashlight S3000, WdtPro Ultra Bright LED Flashlights - High Lumen, IP67 Water Resistant, 3 Modes and Zoomable for Camping, Emergency, Hiking, Gift",4.4,,Tools & Home Improvement,B07TZ3BMKW,,"#21,919 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#206 in Handheld Flashlights"
9,R1T8YDROV8TW7P,True,Worked for 1 day then broke,"I bought this for walking my dog at night. After just two uses, I noticed strange shadows being cast and the light was noticeable dimmer. When I looked through the lens I could see that something was loose inside (see pic). The tiny circuit board with the actual led light and the ring that surround it were both loose.
I was also not a fan of how the power button functions. A firm press powers on and off. While on, a very very light press changes between high, low, and strobe. When I would power the light on, it would start off in a different mode most of the time. Having the light go immediately into strobe mode even though i last powered it off in low mode, for example, was irritating.",the united states,"November 23, 2019",Ryan O.,1.0,0,2020-10-27 23:51:47.320465,2020-10-27 23:51:47.451289,"LED Tactical Flashlight S3000, WdtPro Ultra Bright LED Flashlights - High Lumen, IP67 Water Resistant, 3 Modes and Zoomable for Camping, Emergency, Hiking, Gift",4.4,,Tools & Home Improvement,B07TZ3BMKW,,"#21,919 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#206 in Handheld Flashlights"
